"Plot Title: PPW1328_10008101"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10008101, SEN S/N: 10008101)","RH, % (LGR S/N: 10008101, SEN S/N: 10008101)","Coupler Detached (LGR S/N: 10008101)","Bad Battery (LGR S/N: 10008101)","End Of File (LGR S/N: 10008101)"
1,05/16/14 11:59:41 AM,79.788,29.580,Logged,,
2,05/16/14 12:29:41 PM,80.625,28.971,,,
3,05/16/14 12:59:41 PM,82.175,27.398,,,
4,05/16/14 01:29:41 PM,82.175,27.260,,,
5,05/16/14 01:59:41 PM,82.753,32.060,,,
6,05/16/14 02:29:41 PM,81.687,33.663,,,
7,05/16/14 02:59:41 PM,80.978,35.908,,,
8,05/16/14 03:29:41 PM,81.597,36.843,,,
9,05/16/14 03:59:41 PM,81.199,38.220,,,
10,05/16/14 04:29:41 PM,79.743,37.673,,,
11,05/16/14 04:59:41 PM,77.464,37.347,,,
12,05/16/14 05:29:41 PM,75.810,39.133,,,
13,05/16/14 05:59:41 PM,73.731,43.375,,,
14,05/16/14 06:29:41 PM,71.317,47.034,,,
15,05/16/14 06:59:41 PM,67.971,55.062,,,
16,05/16/14 07:29:41 PM,64.503,60.257,,,
17,05/16/14 07:59:41 PM,61.677,62.336,,,
18,05/16/14 08:29:41 PM,59.659,65.101,,,
19,05/16/14 08:59:41 PM,57.850,67.894,,,
20,05/16/14 09:29:41 PM,56.815,69.029,,,
21,05/16/14 09:59:41 PM,56.251,69.201,,,
22,05/16/14 10:29:41 PM,55.038,71.101,,,
23,05/16/14 10:59:41 PM,53.865,73.124,,,
24,05/16/14 11:29:41 PM,53.078,74.969,,,
25,05/16/14 11:59:41 PM,52.203,76.894,,,
26,05/17/14 12:29:41 AM,51.589,78.526,,,
27,05/17/14 12:59:41 AM,51.370,79.674,,,
28,05/17/14 01:29:41 AM,50.445,81.350,,,
29,05/17/14 01:59:41 AM,50.180,82.528,,,
30,05/17/14 02:29:41 AM,49.428,83.849,,,
31,05/17/14 02:59:41 AM,48.983,85.330,,,
32,05/17/14 03:29:41 AM,48.227,86.415,,,
33,05/17/14 03:59:41 AM,47.959,87.244,,,
34,05/17/14 04:29:41 AM,47.691,88.042,,,
35,05/17/14 04:59:41 AM,47.154,88.851,,,
36,05/17/14 05:29:41 AM,47.914,89.783,,,
37,05/17/14 05:59:41 AM,48.182,89.588,,,
38,05/17/14 06:29:41 AM,49.338,88.501,,,
39,05/17/14 06:59:41 AM,49.825,88.019,,,
40,05/17/14 07:29:41 AM,52.115,88.067,,,
41,05/17/14 07:59:41 AM,56.035,79.443,,,
42,05/17/14 08:29:41 AM,58.282,74.799,,,
43,05/17/14 08:59:41 AM,60.647,69.860,,,
44,05/17/14 09:29:41 AM,63.090,65.109,,,
45,05/17/14 09:59:41 AM,66.173,59.377,,,
46,05/17/14 10:29:41 AM,68.999,54.681,,,
47,05/17/14 10:59:41 AM,71.748,48.432,,,
48,05/17/14 11:29:41 AM,73.429,44.195,,,
49,05/17/14 11:59:41 AM,75.160,40.144,,,
50,05/17/14 12:29:41 PM,77.464,37.578,,,
51,05/17/14 12:59:41 PM,77.335,38.529,,,
52,05/17/14 01:29:41 PM,77.292,42.137,,,
53,05/17/14 01:59:41 PM,77.117,43.787,,,
54,05/17/14 02:29:41 PM,77.553,43.815,,,
55,05/17/14 02:59:41 PM,80.096,31.357,,,
56,05/17/14 03:29:41 PM,80.713,29.111,,,
57,05/17/14 03:59:41 PM,79.920,30.706,,,
58,05/17/14 04:29:41 PM,76.289,45.255,,,
59,05/17/14 04:59:41 PM,76.507,36.167,,,
60,05/17/14 05:29:41 PM,75.204,34.835,,,
61,05/17/14 05:59:41 PM,73.040,37.561,,,
62,05/17/14 06:29:41 PM,70.803,39.656,,,
63,05/17/14 06:59:41 PM,68.185,44.300,,,
64,05/17/14 07:29:41 PM,65.829,47.221,,,
65,05/17/14 07:59:41 PM,63.390,49.399,,,
66,05/17/14 08:29:41 PM,61.891,50.532,,,
67,05/17/14 08:59:41 PM,59.745,54.455,,,
68,05/17/14 09:29:41 PM,58.541,57.114,,,
69,05/17/14 09:59:41 PM,57.420,58.070,,,
70,05/17/14 10:29:41 PM,56.642,60.240,,,
71,05/17/14 10:59:41 PM,55.690,61.102,,,
72,05/17/14 11:29:41 PM,54.473,63.546,,,
73,05/17/14 11:59:41 PM,53.253,65.610,,,
74,05/18/14 12:29:41 AM,52.335,67.276,,,
75,05/18/14 12:59:41 AM,51.413,69.864,,,
76,05/18/14 01:29:41 AM,50.886,71.587,,,
77,05/18/14 01:59:41 AM,50.445,73.668,,,
78,05/18/14 02:29:41 AM,49.959,75.390,,,
79,05/18/14 02:59:41 AM,49.428,76.762,,,
80,05/18/14 03:29:41 AM,48.895,78.694,,,
81,05/18/14 03:59:41 AM,48.583,80.742,,,
82,05/18/14 04:29:41 AM,48.360,82.031,,,
83,05/18/14 04:59:41 AM,47.691,83.918,,,
84,05/18/14 05:29:41 AM,47.422,85.757,,,
85,05/18/14 05:59:41 AM,48.094,87.000,,,
86,05/18/14 06:29:41 AM,49.249,87.732,,,
87,05/18/14 06:59:41 AM,52.203,86.204,,,
88,05/18/14 07:29:41 AM,55.558,79.414,,,
89,05/18/14 07:59:41 AM,57.807,76.459,,,
90,05/18/14 08:29:41 AM,60.647,70.523,,,
91,05/18/14 08:59:41 AM,62.704,64.954,,,
92,05/18/14 09:29:41 AM,64.375,61.298,,,
93,05/18/14 09:59:41 AM,66.385,58.788,,,
