plot,quad,date,device,,notes
PPW1301,A1,20190514,1799,3.1,
PPW1301,A2,20190514,1799,3.5,
PPW1301,A3,20190514,1799,4.4,
PPW1301,A4,20190514,1799,4.9,
PPW1301,B4,20190514,1799,5.7,
PPW1301,B3,20190514,1799,5.6,
PPW1301,B2,20190514,1799,4.7,
PPW1301,B1,20190514,1799,4.4,
PPW1301,C1,20190514,1799,4.6,
PPW1301,C2,20190514,1799,3.9,
PPW1301,C3,20190514,1799,6.1,
PPW1301,C4,20190514,1799,7.4,
PPW1301,D4,20190514,1799,6.4,
PPW1301,D3,20190514,1799,4.4,
PPW1301,D2,20190514,1799,1.9,
PPW1301,D1,20190514,1799,2.3,
PPW1307,A1,20190514,1799,4.4,
PPW1307,A2,20190514,1799,4.6,
PPW1307,A3,20190514,1799,7.3,
PPW1307,A4,20190514,1799,6.2,
PPW1307,B4,20190514,1799,4.3,
PPW1307,B3,20190514,1799,6.4,
PPW1307,B2,20190514,1799,5.5,
PPW1307,B1,20190514,1799,9.7,
PPW1307,C1,20190514,1799,5.4,
PPW1307,C2,20190514,1799,7.1,
PPW1307,C3,20190514,1799,6.9,
PPW1307,C4,20190514,1799,5.2,
PPW1307,D4,20190514,1799,3.7,
PPW1307,D3,20190514,1799,3.6,
PPW1307,D2,20190514,1799,9.3,
PPW1307,D1,20190514,1799,4.2,
PPW1309,A1,20190514,1799,7.9,
PPW1309,A2,20190514,1799,6.8,
PPW1309,A3,20190514,1799,8.7,
PPW1309,A4,20190514,1799,7.9,
PPW1309,B4,20190514,1799,5.9,
PPW1309,B3,20190514,1799,5.9,
PPW1309,B2,20190514,1799,6.9,
PPW1309,B1,20190514,1799,6.6,
PPW1309,C1,20190514,1799,7.9,
PPW1309,C2,20190514,1799,10.1,
PPW1309,C3,20190514,1799,6.8,
PPW1309,C4,20190514,1799,9.2,
PPW1309,D4,20190514,1799,8.7,
PPW1309,D3,20190514,1799,8,
PPW1309,D2,20190514,1799,5.1,
PPW1309,D1,20190514,1799,5.8,
PPW1310,A1,20190514,1799,13.5,
PPW1310,A2,20190514,1799,16.2,
PPW1310,A3,20190514,1799,11.7,
PPW1310,A4,20190514,1799,10.4,
PPW1310,B4,20190514,1799,10.6,
PPW1310,B3,20190514,1799,9.9,
PPW1310,B2,20190514,1799,11,
PPW1310,B1,20190514,1799,9.2,
PPW1310,C1,20190514,1799,9.7,
PPW1310,C2,20190514,1799,7.2,
PPW1310,C3,20190514,1799,9.3,
PPW1310,C4,20190514,1799,8.3,
PPW1310,D4,20190514,1799,9.9,
PPW1310,D3,20190514,1799,13.2,
PPW1310,D2,20190514,1799,8.5,
PPW1310,D1,20190514,1799,10.7,
PPW1312,A1,20190514,1799,9.4,
PPW1312,A2,20190514,1799,8.6,
PPW1312,A3,20190514,1799,7.9,
PPW1312,A4,20190514,1799,7.3,east of 1385
PPW1312,B4,20190514,1799,8.2,south of 1378
PPW1312,B3,20190514,1799,12.2,
PPW1312,B2,20190514,1799,7.4,
PPW1312,B1,20190514,1799,11.3,
PPW1312,C1,20190514,1799,14.1,
PPW1312,C2,20190514,1799,8.1,
PPW1312,C3,20190514,1799,13.1,
PPW1312,C4,20190514,1799,9.5,
PPW1312,D4,20190514,1799,9.6,
PPW1312,D3,20190514,1799,9.2,
PPW1312,D2,20190514,1799,14.6,
PPW1312,D1,20190514,1799,8.4,
PPW1315,A1,20190514,1799,5.4,
PPW1315,A2,20190514,1799,3.3,
PPW1315,A3,20190514,1799,7.2,
PPW1315,A4,20190514,1799,9.2,
PPW1315,B4,20190514,1799,6.4,
PPW1315,B3,20190514,1799,4.3,
PPW1315,B2,20190514,1799,6.8,
PPW1315,B1,20190514,1799,6.1,
PPW1315,C1,20190514,1799,5.9,
PPW1315,C2,20190514,1799,4.8,
PPW1315,C3,20190514,1799,6.6,
