DATE,PLOT,INITALS,SPECIES,A2_cover,A2_pheno,A3_cover,A3_pheno,A4_cover,A4_pheno,B4_cover,B4_pheno,C4_cover,C4_pheno,D4_cover,D4_pheno,D3_cover,D3_pheno,D2_cover,D2_pheno,D1_cover,D1_pheno,C1_cover,C1_pheno,B1_cover,B1_pheno,A1_cover,A1_pheno,NOTES
20180427,1323,"MFO, RLO",TORARV,2,VEG,1,VEG,5,VEG,,,,,,,1,VEG,1,VEG,1,VEG,2,VEG,4,VEG,1,VEG,
20180427,1323,"MFO, RLO",STARIG,2,VEG,,,,,,,,,,,,,1,VEG,,,,,,,,,
20180427,1323,"MFO, RLO",GALAPA,1,FLR,3,FLR,2,FLR,,,,,,,,,,,1,FLR,2,FRT,2,FLR,2,FLR,
20180427,1323,"MFO, RLO",CHLPOM,,,,,,,,,,,,,,,,,,,,,,,,,
20180427,1323,"MFO, RLO",NEMHET,,,,,,,,,,,,,,,,,,,2,FLR,2,FLR,1,FLR,
20180427,1323,"MFO, RLO",SANCRA,,,,,,,,,,,,,,,1,VEG,,,1,VEG,2,FRT,,,
20180427,1323,"MFO, RLO",MELGEY,,,,,,,,,,,,,,,,,1,FLR,,,1,VEG,1,FLR,
20180427,1323,"MFO, RLO",LATVES,,,,,,,,,,,,,,,,,,,7,VEG,,,,,
20180427,1323,"MFO, RLO",TOXDIV,,,1,VEG,,,,,,,,,,,,,,,,,,,,,
20180427,1323,"MFO, RLO",CALPUR,1,VEG,,,,,,,,,,,,,,,,,,,,,,,ID not certain- heart-shaped leaves
20180427,1323,"MFO, RLO",GALPOR,,,,,1,FLR,,,,,,,,,,,,,,,,,1,FLR,
20180427,1323,"MFO, RLO",IRIMAC,,,,,,,,,,,,,,,,,,,,,1,FLR,,,
20180427,1323,"MFO, RLO",HYPGLA,,,,,,,,,,,,,,,,,,,,,,,,,
20180427,1323,"MFO, RLO",ADIJOR,,,,,,,,,,,1,VEG,,,,,1,VEG,1,VEG,,,,,
20180427,1323,"MFO, RLO",POLYPOCAL,,,,,,,,,,,,,,,,,,,,,,,,,
20180427,1323,"MFO, RLO",PTEQUA,,,,,,,,,,,,,,,,,,,,,,,,,
20180427,1323,"MFO, RLO",CYNGRA,,,,,,,,,,,,,,,,,,,,,,,,,
20180427,1323,"MFO, RLO",LATVES,,,,,,,,,,,,,,,,,,,,,,,,,
20180427,1323,"MFO, RLO",ANIMAD,,,,,,,,,,,,,,,,,,,,,,,,,
20180427,1323,"MFO, RLO",CARCAL,,,,,,,,,,,,,,,,,,,1,VEG,1,FRT,,,
20180427,1323,"MFO, RLO",FRIAFF,,,,,,,,,,,,,,,,,,,,,,,,,
20180427,1323,"MFO, RLO",DICCAP,,,,,,,,,,,,,,,,,,,,,,,,,
20180427,1323,"MFO, RLO",RANOCC,,,,,,,,,,,,,,,,,,,1,FRT,,,,,
20180427,1323,"MFO, RLO",BRODIA,,,,,,,,,,,,,,,,,,,1,FLR,,,,,
20180427,1323,"MFO, RLO",LITAFF,,,,,,,,,,,,,,,,,,,,,1,FLR,,,
20180427,1323,"MFO, RLO",COLSPA,,,,,,,,,,,,,,,,,,,,,,,,,
