DATE,PLOT,INITALS,SPECIES,A2_cover,A2_pheno,A3_cover,A3_pheno,A4_cover,A4_pheno,B4_cover,B4_pheno,C4_cover,C4_pheno,D4_cover,D4_pheno,D3_cover,D3_pheno,D2_cover,D2_pheno,D1_cover,D1_pheno,C1_cover,C1_pheno,B1_cover,B1_pheno,A1_cover,A1_pheno,NOTES
20180426,1312,"MFO, RLO",TOXDIV,10,VEG,,,15,FLR,9,VEG,2,VEG,4,VEG,2,VEG,3,VEG,,,5,VEG,1,VEG,3,VEG,
20180426,1312,"MFO, RLO",PENTRI,2,VEG,,,,,,,,,,,,,,,,,,,1,VEG,,,
20180426,1312,"MFO, RLO",ADIJOR,,,,,,,,,,,,,,,,,,,3,VEG,2,VEG,6,VEG,
20180426,1312,"MFO, RLO",GALAPA,1,FLR,,,,,,,,,,,,,,,,,,,,,,,
20180426,1312,"MFO, RLO",NEMHET,1,FLR,,,,,1,FLR,,,,,,,,,,,,,,,,,
20180426,1312,"MFO, RLO",MELGEY,1,FLR,,,,,1,VEG,,,1,VEG,,,,,,,,,,,,,
20180426,1312,"MFO, RLO",TORARV,1,VEG,,,1,VEG,1,VEG,1,VEG,,,,,,,,,1,VEG,1,VEG,,,
20180426,1312,"MFO, RLO",GALPAR,1,FRT,,,1,FRT,1,FRT,1,FRT,,,,,,,,,1,FRT,,,,,
20180426,1312,"MFO, RLO",SYMALB,,,,,,,,,,,,,,,,,,,,,,,,,
20180426,1312,"MFO, RLO",LONHIS,,,,,,,,,,,,,,,,,,,,,,,,,
20180426,1312,"MFO, RLO",SANCRA,,,1,VEG,1,VEG,2,VEG,2,VEG,2,VEG,,,,,1,VEG,1,VEG,1,VEG,,,
20180426,1312,"MFO, RLO",GALPOR,,,,,,,,,,,,,,,,,1,VEG,,,,,,,
20180426,1312,"MFO, RLO",OSMBER,,,1,VEG,1,VEG,2,FRT,1,VEG,,,,,,,1,VEG,1,VEG,,,,,
20180426,1312,"MFO, RLO",ANIMAD,,,2,FLR,2,VEG,,,,,1,VEG,,,,,1,FLR,2,VEG,2,VEG,,,
20180426,1312,"MFO, RLO",LITHET,,,,,,,,,,,,,,,,,,,,,,,,,
20180426,1312,"MFO, RLO",IRIMAC,,,,,,,,,,,,,,,,,,,,,,,,,
20180426,1312,"MFO, RLO",RANOCC,,,,,,,1,VEG,,,,,,,,,,,,,,,,,
20180426,1312,"MFO, RLO",BRO_SP,,,,,,,,,,,,,,,,,,,,,,,,,UNK BROMUS - COLLECTED LEPIDUS?
20180426,1312,"MFO, RLO",CHLPOM,,,,,,,,,1,VEG,1,VEG,,,,,,,4,VEG,,,,,
20180426,1312,"MFO, RLO",LATVES,,,,,,,,,,,,,,,,,,,,,,,,,
20180426,1312,"MFO, RLO",MELCAL,,,,,,,,,,,,,,,,,,,2,FLR,2,VEG,,,
20180426,1312,"MFO, RLO",POLYPOCAL,,,,,,,,,,,,,,,,,,,,,,,,,
20180426,1312,"MFO, RLO",STARIG,,,,,,,,,,,,,,,,,,,3,VEG,1,VEG,1,VEG,
20180426,1312,"MFO, RLO",CARCAL,,,,,,,,,,,,,,,,,,,1,VEG,1,FRT,,,
20180426,1312,"MFO, RLO",TRIF_SP,,,,,,,,,,,,,,,,,,,,,,,,,UNK TRIFOLIUM
