Plot ID,1305,,Sampler(s),AC/MK/MO/KO,,,,,Date ,20180723,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,Notes
A1,TR,1047,NA,NA,HETARB,0,1,0,0,0,NA,NA,NA,7.4,137.4,41,NO,
A1,TR,1047.1,NA,NA,HETARB,0,0,0,0,0,NA,NA,NA,4.9,NA,NA,NO,
A1,TR,1047.2,NA,NA,HETARB,0,0,0,0,0,NA,4.6,NA,2.63,NA,NA,NO,
A2,TR,1048,NA,NA,UMBCAL,1,1,1,0,2,NA,NA,NA,14.9,66.2,1,NO,
A2,TR,1050,NA,NA,UMBCAL,1,1,1,0,2,NA,NA,NA,21.1,167.1,9,NO,
A2,TR,1050.1,NA,NA,UMBCAL,1,0,1,0,2,NA,NA,NA,19.2,NA,NA,NO,
A2,TS,1050.2,NA,NA,UMBCAL,0,1,NA,NA,NA,NA,2.3,NA,NA,71,1,NO,OG DEAD 
A2,TR,1050.3,NA,NA,UMBCAL,0,1,0,0,0,NA,2.7,NA,2.2,121.2,6,NO,OG DEAD NOW A TR
A2,TR,1052,NA,NA,HETARB,0,0,0,0,0,NA,NA,NA,4.7,126,6,NO,
A2,TR,1052.1,NA,NA,HETARB,0,0,0,0,0,NA,NA,NA,4.3,NA,NA,NO,
A2,TR,1052.2,NA,NA,HETARB,0,1,0,0,0,NA,5.4,NA,2.1,91.4,7,NO,
A2,TS,1052.3,NA,NA,HETARB,0,1,NA,NA,NA,NA,5.8,NA,0.9,95.5,6,NO,
A2,TS,1052.4,NA,NA,HETARB,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,DEAD/GONE TAG NOT FOUND
A3,TR,1054,NA,NA,HETARB,0,1,0,0,0,NA,NA,NA,3.7,97.5,5,NO,
A3,TR,1054.1,NA,NA,HETARB,0,0,0,0,0,NA,2.7,NA,2.1,NA,NA,NO,
A3,TR,1054.2,NA,NA,HETARB,0,0,0,0,0,NA,3.9,NA,1.7,NA,NA,NO,
A3,TR,1054.3,NA,NA,HETARB,0,1,0,0,0,NA,NA,NA,5.08,143.5,7,NO,
A3,TR,1053,NA,NA,QUEAGR,1,0,0,0,4,NA,NA,NA,48,NA,NA,NO,
A4,SA,5828,380,370,UMBCAL,0,1,NA,NA,NA,NA,0.9,NA,NA,11.2,NA,NO,NEW SA OG DEAD
A4,TR,1055,NA,NA,UMBCAL,1,1,1,1,3,NA,NA,NA,33.5,136.2,6,NO,
A4,TR,1055.1,NA,NA,UMBCAL,0,1,0,0,0,NA,NA,NA,8.5,99.8,2,NO,
A4,TR,1055.2,NA,NA,UMBCAL,0,1,0,0,0,NA,NA,NA,5.59,119.4,4,NO,
A4,TR,1055.3,NA,NA,UMBCAL,0,1,0,0,0,NA,NA,NA,4.9,142.7,3,NO,
A4,TR,1055.5,NA,NA,UMBCAL,0,0,0,0,0,NA,3.1,NA,2.1,NA,NA,NO,
A4,SA,1056,NA,NA,UMBCAL,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YES,DEAD/GONE TAG RECOVERED
B4,SA,1058,NA,NA,QUEAGR,0,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NO,
B4,SA,1057,NA,NA,UMBCAL,0,1,NA,NA,NA,NA,1.05,NA,NA,28.3,NA,NO,OG DEAD 
A2,SA,1049,NA,NA,UMBCAL,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YES,DEAD/GONE TAG RECOVERED
C1,SA,1083,NA,NA,ARBMEN,0,1,NA,NA,NA,NA,1.93,0,NA,15.8,NA,NO,
C1,SA,5873,237,413,UMBCAL,1,NA,NA,NA,NA,NA,0.95,0,NA,25,1,NO,NEW SA OG DEAD
C1,TR,1075,NA,NA,QUEAGR,1,0,1,1,5,NA,NA,NA,53.1,NA,NA,NO,
C1,SA,1077,NA,NA,UMBCAL,0,0,NA,NA,NA,NA,1.25,NA,NA,NA,NA,YES,DEAD/GONE TAG RECOVERED
C1,SA,1074,NA,NA,UMBCAL,0,0,NA,NA,NA,NA,2.84,0,NA,NA,NA,NO,
C1,SA,5874,345,3,UMBCAL,0,1,NA,NA,NA,NA,NA,NA,NA,60.3,2,NO,NEW SA OG DEAD
C1,SA,1076,NA,NA,UMBCAL,0,0,NA,NA,NA,NA,0.78,0,NA,NA,NA,YES,DEAD/GONE TAG RECOVERED
C1,SA,1079,NA,NA,UMBCAL,0,1,NA,NA,NA,NA,1.16,NA,NA,56.6,1,NO,
C1,SA,1080,NA,NA,UMBCAL,0,0,NA,NA,NA,NA,1.08,NA,NA,NA,NA,NO,
C1,SA,1078,NA,NA,UMBCAL,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,YES,DEAD/GONE TAG RECOVERED
D1,SA,1182,NA,NA,QUEAGR,1,0,1,1,3,NA,NA,NA,32.2,NA,NA,NO,
C1,SA,9999.1,NA,NA,UMBCAL,0,0,NA,NA,NA,NA,1.33,NA,NA,NA,NA,NO,
D1,SA,1180,NA,NA,UMBCAL,0,1,NA,NA,NA,NA,1.52,0,NA,37.9,NA,NO,OG DEAD
D1,SA,1183,NA,NA,UMBCAL,0,0,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NO,
D1,SA,1181,NA,NA,UMBCAL,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,YES,DEAD/GONE TAG RECOVERED
D1,SA,1184,NA,NA,UMBCAL,0,0,NA,NA,NA,NA,1.26,0,NA,NA,NA,NO,
D2,TR,1188,NA,NA,UMBCAL,0,1,NA,NA,NA,NA,2.56,0,1,108.7,4,NO,BD OF OG
D2,SA,1189,NA,NA,UMBCAL,0,1,NA,NA,NA,NA,1.41,0,NA,60.5,1,NO,OG DEAD
D2,SA,1185,NA,NA,ARBMEN,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,YES,DEAD/GONE TAG RECOVERED
D2,SA,1186,NA,NA,QUEAGR,0,1,NA,NA,NA,NA,NA,NA,NA,25.7,NA,NO,OG DEAD BD UNAVAILABLE
D2,SA,1190,NA,NA,UMBCAL,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,DEAD/GONE TAG NOT FOUND
