"Plot Title: PPW1347_10319258"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10319258, SEN S/N: 10319258)","RH, % (LGR S/N: 10319258, SEN S/N: 10319258)","Coupler Detached (LGR S/N: 10319258)","Bad Battery (LGR S/N: 10319258)","Coupler Attached (LGR S/N: 10319258)","Stopped (LGR S/N: 10319258)","End Of File (LGR S/N: 10319258)"
1,05/25/13 12:00:00 AM,53.078,63.850,Logged,,,,
2,05/25/13 12:30:00 AM,52.903,63.338,,,,,
3,05/25/13 01:00:00 AM,50.445,68.027,,,,,
4,05/25/13 01:30:00 AM,48.227,73.197,,,,,
5,05/25/13 02:00:00 AM,46.661,76.110,,,,,
6,05/25/13 02:30:00 AM,45.806,78.025,,,,,
7,05/25/13 03:00:00 AM,45.489,79.418,,,,,
8,05/25/13 03:30:00 AM,44.582,81.102,,,,,
9,05/25/13 04:00:00 AM,43.579,82.832,,,,,
10,05/25/13 04:30:00 AM,42.939,84.458,,,,,
11,05/25/13 05:00:00 AM,42.341,85.501,,,,,
12,05/25/13 05:30:00 AM,41.508,87.045,,,,,
13,05/25/13 06:00:00 AM,41.043,87.727,,,,,
14,05/25/13 06:30:00 AM,40.719,88.859,,,,,
15,05/25/13 07:00:00 AM,41.230,89.617,,,,,
16,05/25/13 07:30:00 AM,43.122,89.296,,,,,
17,05/25/13 08:00:00 AM,47.422,83.856,,,,,
18,05/25/13 08:30:00 AM,50.797,73.652,,,,,
19,05/25/13 09:00:00 AM,52.817,70.296,,,,,
20,05/25/13 09:30:00 AM,55.081,64.248,,,,,
21,05/25/13 10:00:00 AM,57.074,59.385,,,,,
22,05/25/13 10:30:00 AM,59.056,57.881,,,,,
23,05/25/13 11:00:00 AM,61.547,52.391,,,,,
24,05/25/13 11:30:00 AM,63.262,52.093,,,,,
25,05/25/13 12:00:00 PM,65.059,45.998,,,,,
26,05/25/13 12:30:00 PM,66.301,43.154,,,,,
27,05/25/13 01:00:00 PM,67.543,40.337,,,,,
28,05/25/13 01:30:00 PM,69.427,36.013,,,,,
29,05/25/13 02:00:00 PM,70.029,38.829,,,,,
30,05/25/13 02:30:00 PM,70.459,39.766,,,,,
31,05/25/13 03:00:00 PM,70.543,41.491,,,,,
32,05/25/13 03:30:00 PM,70.243,44.436,,,,,
33,05/25/13 04:00:00 PM,69.685,44.111,,,,,
34,05/25/13 04:30:00 PM,69.085,44.007,,,,,
35,05/25/13 05:00:00 PM,68.614,48.176,,,,,
