"Plot Title: PPW1329_10008102"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10008102, SEN S/N: 10008102)","RH, % (LGR S/N: 10008102, SEN S/N: 10008102)","Coupler Detached (LGR S/N: 10008102)","Coupler Attached (LGR S/N: 10008102)","Stopped (LGR S/N: 10008102)","End Of File (LGR S/N: 10008102)"
1,02/15/18 06:00:00 PM,16.320,23.368,Logged,,,
2,02/15/18 06:30:00 PM,13.329,30.734,,,,
3,02/15/18 07:00:00 PM,13.546,32.157,,,,
4,02/15/18 07:30:00 PM,13.473,32.509,,,,
5,02/15/18 08:00:00 PM,13.497,33.453,,,,
6,02/15/18 08:30:00 PM,12.243,36.779,,,,
7,02/15/18 09:00:00 PM,11.029,39.640,,,,
8,02/15/18 09:30:00 PM,10.590,45.596,,,,
9,02/15/18 10:00:00 PM,10.492,47.681,,,,
10,02/15/18 10:30:00 PM,10.149,50.052,,,,
11,02/15/18 11:00:00 PM,9.361,51.430,,,,
12,02/15/18 11:30:00 PM,8.866,53.407,,,,
13,02/16/18 12:00:00 AM,8.767,52.281,,,,
14,02/16/18 12:30:00 AM,8.668,49.121,,,,
15,02/16/18 01:00:00 AM,8.519,47.485,,,,
16,02/16/18 01:30:00 AM,9.312,43.796,,,,
17,02/16/18 02:00:00 AM,8.965,47.849,,,,
18,02/16/18 02:30:00 AM,7.820,52.205,,,,
19,02/16/18 03:00:00 AM,6.965,52.950,,,,
20,02/16/18 03:30:00 AM,7.268,50.985,,,,
21,02/16/18 04:00:00 AM,8.494,44.748,,,,
22,02/16/18 04:30:00 AM,8.618,43.898,,,,
23,02/16/18 05:00:00 AM,8.568,44.201,,,,
24,02/16/18 05:30:00 AM,6.611,52.481,,,,
25,02/16/18 06:00:00 AM,6.331,51.962,,,,
26,02/16/18 06:30:00 AM,6.889,49.908,,,,
27,02/16/18 07:00:00 AM,8.767,40.741,,,,
28,02/16/18 07:30:00 AM,6.687,49.639,,,,
29,02/16/18 08:00:00 AM,8.070,44.573,,,,
30,02/16/18 08:30:00 AM,8.344,48.895,,,,
31,02/16/18 09:00:00 AM,6.712,58.377,,,,
32,02/16/18 09:30:00 AM,7.066,58.375,,,,
33,02/16/18 10:00:00 AM,8.916,52.182,,,,
34,02/16/18 10:30:00 AM,10.932,47.307,,,,
35,02/16/18 11:00:00 AM,12.389,45.727,,,,
36,02/16/18 11:30:00 AM,13.738,40.732,,,,
37,02/16/18 12:00:00 PM,16.225,32.202,,,,
38,02/16/18 12:30:00 PM,16.392,35.614,,,,
39,02/16/18 01:00:00 PM,17.415,29.434,,,,
40,02/16/18 01:30:00 PM,18.033,28.187,,,,
41,02/16/18 02:00:00 PM,18.366,26.473,,,,
42,02/16/18 02:30:00 PM,19.270,27.414,,,,
43,02/16/18 03:00:00 PM,19.175,26.702,,,,
44,02/16/18 03:30:00 PM,19.270,26.474,,,,
45,02/16/18 04:00:00 PM,19.484,26.254,,,,
46,02/16/18 04:30:00 PM,19.080,25.652,,,,
47,02/16/18 05:00:00 PM,18.604,25.718,,,,
48,02/16/18 05:30:00 PM,16.939,33.873,,,,
49,02/16/18 06:00:00 PM,15.270,35.957,,,,
50,02/16/18 06:30:00 PM,14.864,39.773,,,,
51,02/16/18 07:00:00 PM,14.864,39.709,,,,
52,02/16/18 07:30:00 PM,14.122,41.346,,,,
53,02/16/18 08:00:00 PM,13.064,43.245,,,,
54,02/16/18 08:30:00 PM,13.209,44.423,,,,
55,02/16/18 09:00:00 PM,12.823,46.870,,,,
56,02/16/18 09:30:00 PM,11.662,56.161,,,,
57,02/16/18 10:00:00 PM,10.687,62.334,,,,
58,02/16/18 10:30:00 PM,10.687,63.790,,,,
59,02/16/18 11:00:00 PM,10.124,66.288,,,,
60,02/16/18 11:30:00 PM,9.903,66.936,,,,
61,02/17/18 12:00:00 AM,10.075,65.791,,,,
62,02/17/18 12:30:00 AM,10.247,65.793,,,,
63,02/17/18 01:00:00 AM,9.657,68.174,,,,
64,02/17/18 01:30:00 AM,9.756,68.846,,,,
65,02/17/18 02:00:00 AM,9.262,71.179,,,,
66,02/17/18 02:30:00 AM,8.941,72.904,,,,
67,02/17/18 03:00:00 AM,9.163,70.795,,,,
68,02/17/18 03:30:00 AM,9.410,69.489,,,,
69,02/17/18 04:00:00 AM,9.213,70.551,,,,
70,02/17/18 04:30:00 AM,9.114,69.461,,,,
71,02/17/18 05:00:00 AM,9.312,67.541,,,,
72,02/17/18 05:30:00 AM,9.213,68.120,,,,
73,02/17/18 06:00:00 AM,8.891,69.672,,,,
74,02/17/18 06:30:00 AM,8.568,70.875,,,,
75,02/17/18 07:00:00 AM,7.770,73.667,,,,
76,02/17/18 07:30:00 AM,7.469,75.119,,,,
77,02/17/18 08:00:00 AM,9.534,66.697,,,,
78,02/17/18 08:30:00 AM,9.312,69.640,,,,
79,02/17/18 09:00:00 AM,9.460,70.204,,,,
80,02/17/18 09:30:00 AM,10.394,68.368,,,,
81,02/17/18 10:00:00 AM,11.151,62.412,,,,
82,02/17/18 10:30:00 AM,12.461,60.099,,,,
83,02/17/18 11:00:00 AM,14.146,53.081,,,,
84,02/17/18 11:30:00 AM,15.963,51.897,,,,
85,02/17/18 12:00:00 PM,18.271,41.559,,,,
86,02/17/18 12:30:00 PM,18.961,40.155,,,,
87,02/17/18 01:00:00 PM,18.652,38.958,,,,
88,02/17/18 01:30:00 PM,19.080,40.587,,,,
89,02/17/18 02:00:00 PM,19.793,41.665,,,,
90,02/17/18 02:30:00 PM,20.650,41.310,,,,
91,02/17/18 03:00:00 PM,20.055,40.888,,,,
92,02/17/18 03:30:00 PM,20.627,39.914,,,,
93,02/17/18 04:00:00 PM,20.007,42.880,,,,
94,02/17/18 04:30:00 PM,19.127,44.599,,,,
95,02/17/18 05:00:00 PM,18.414,47.299,,,,
96,02/17/18 05:30:00 PM,17.558,50.910,,,,
97,02/17/18 06:00:00 PM,16.201,54.019,,,,
98,02/17/18 06:30:00 PM,14.505,62.242,,,,
99,02/17/18 07:00:00 PM,14.385,64.167,,,,
100,02/17/18 07:30:00 PM,13.546,68.265,,,,
101,02/17/18 08:00:00 PM,13.137,71.451,,,,
102,02/17/18 08:30:00 PM,12.389,74.632,,,,
103,02/17/18 09:00:00 PM,11.662,78.117,,,,
104,02/17/18 09:30:00 PM,11.127,79.918,,,,
105,02/17/18 10:00:00 PM,10.565,82.661,,,,
106,02/17/18 10:30:00 PM,9.780,85.993,,,,
107,02/17/18 11:00:00 PM,9.312,88.396,,,,
108,02/17/18 11:30:00 PM,9.064,89.477,,,,
109,02/18/18 12:00:00 AM,8.643,91.020,,,,
110,02/18/18 12:30:00 AM,8.344,91.762,,,,
