Plot ID,PPW1339,,Sampler(s),"MFO, MNB, DDA, PP",,,,,Date ,20130308,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
Quad,Type,Tree Tag No.,Species,Confidence ,Dead/ Stump,SA or Stump Height (cm),SA or Stump BD (cm),SA  Branch #,DBH (cm), X (cm),Y (cm),Notes
A1,SA,2524,UMBCAL,1,,83,1.32,9,,36,78,
A1,TR,2528,QUEAGR,1,,,,,38.8,-213,-64,
A1,SA,2525,UMBCAL,1,,53,0.81,4,,10,-53,
A1,SA,2529,UMBCAL,1,,90,1.46,1,,-217,-108,
A2,SA,2532,PSEMEN,1,,92,1.7,1,,-43,-209,
A2,SA,2531,UMBCAL,1,,61,1.23,3,,-226,-206,
A2,SA,2526,UMBCAL,1,,57,1.13,2,,233,53,
A2,SA,2533,UMBCAL,1,,66,1.31,1,,-163,-65,
A2,TR,2527,QUEAGR,1,,,,,62.8,280,40,
A4,SA,2535,UMBCAL,1,,76,1.22,2,,-81,-132,
A4,SA,2536,UMBCAL,1,,69,1.46,1,,-120,-61,
A4,SA,2537,UMBCAL,1,,56,1.41,1,,-109,-55,
B4,SA,2540,UMBCAL,1,,114,2.24,2,,103,118,
B4,SA,2542,UMBCAL,1,,64,1.26,1,,-249,-30,
B4,TR,2541,UMBCAL,1,,,,,1.81,-48,43,
B4,SA,2539,UMBCAL,1,,118,1.8,1,,90,-98,
B4,SA,2538,UMBCAL,1,,63,0.9,2,,65,-127,
B4,SA,2563,UMBCAL,1,,58,1.02,1,,62,-84,
B4,TR,2543,QUEAGR,1,,,,,22.8,104,-143,
B4,TR,2543.1,QUEAGR,1,,,,,9.35,104,-143,
B4,TR,2543.2,QUEAGR,1,,,,,22.75,104,-143,
B2,SA,2546,UMBCAL,1,,65,1.37,1,,50,-150,
B2,SA,2530,UMBCAL,1,,82,2.16,1,,15,170,
B1,SA,2548,PSEMEN,1,,141,1.81,1,,-180,-36,
B1,SA,2547,UMBCAL,1,,148,3.6,1,,215,-63,
C1,TR,2550,QUEAGR,1,,,,,11.05,221,69,
C1,SA,2549,UMBCAL,1,,54,0.92,2,,230,150,
C1,TR,2551,QUEDOU,0,,,,,28.5,-60,40,
C1,TR,2551.1,QUEDOU,0,,,,,22.8,-60,40,
,,,,,,,,,,,,
C2,SA,2553,UMBCAL,1,,50,0.7,1,,-25,31,UNKNOWN BRANCH#-->INPUT 1
C2,SA,2552,PSEMEN,1,,57,1.22,1,,157,52,
C3,SA,2555,UMBCAL,1,,75,0.81,1,,100,85,
C3,TR,2557,QUEAGR,1,,,,,38.4,-30,32,
C3,TR,2557.1,QUEAGR,1,,,,,26.5,-30,32,
C3,TR,2557.2,QUEAGR,1,,,,,36.95,-30,32,
C3,TR,2557.3,QUEAGR,1,,,,,33.5,-30,32,
C3,TR,2554,QUEAGR,1,,,,,65.2,69,115,
C3,TR,2554.1,QUEAGR,1,,,,,2.64,69,115,
C3,TR,2554.2,QUEAGR,1,,,,,1.46,69,115,
C3,TS,2554.3,QUEAGR,1,,120,1.8,7,,69,115,
C3,TR,2556,QUEAGR,1,,,,,3.15,81,34,
D3,TR,2558,QUEDOU,0,,,,,28.8,150,-110,
C3,TR,2556.1,QUEAGR,1,,,,,3.42,81,34,IN C3
D2,SA,2560,UMBCAL,1,,142,2.04,2,,50,190,
D2,SA,2559,QUEAGR,1,,58,0.68,3,,-275,-210,
D2,TR,2561,QUEDOU,0,,,,,33.1,114,113,
D1,TR,2562,QUEDOU,0,,,,,20,-30,160,
A3,TR,2534,QUEDOU,1,,,,,32.8,,,QUAD BASED ON 2020 DATA- MKQC2022
