Plot ID,PPW1317,,Sampler(s),"MFO, MNB, JEC, MMJ",,,,,Date ,20130314,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
Quad,Type,Tree Tag No.,Species,Confidence ,Dead/ Stump,SA or Stump Height (cm),SA or Stump BD (cm),SA  Branch #,DBH (cm), X (cm),Y (cm),Notes
A1,TR,2744,QUEDEC,0,,,,,30.1,140,260,
A1,TR,2745,QUEDEC,0,,,,,16.2,200,286,
A3,TR,2746,QUEDEC,0,,,,,19.7,200,150,
A3,TR,2747,QUEDEC,0,,,,,25.2,155,157,
A3,TR,2748,QUEDEC,0,,,,,20.9,90,181,
A3,TR,2749,QUEDEC,0,,,,,8.5,130,227,
A3,TR,2750,QUEDEC,0,,,,,12,230,-50,
A3,TR,2751,QUEDEC,0,,,,,16.5,202,-30,
A3,TR,2752,QUEDEC,0,,,,,19,128,-30,
A3,TR,2753,QUEDEC,0,,,,,16.5,154,-30,
A4,TR,2754,QUEDEC,0,,,,,19.7,156,195,
A4,TR,2755,QUEDEC,0,,,,,16.9,156,218,
A4,TR,2756,QUEDEC,0,,,,,15.5,120,210,
A4,TR,2757,QUEDEC,0,,,,,22.4,-220,-190,
A4,TR,2758,QUEDEC,0,,,,,12.9,-290,-140,
A4,SA,2759,UMBCAL,1,,51,0.97,2,,-205,-110,
B4,TR,2760,QUEKEL,1,,,,,17.2,-18,104,
B4,TR,2761,QUEKEL,1,,,,,17.2,-60,134,
B4,TR,2762,QUEKEL,1,,,,,17.7,-60,167,
B3,TR,2763,QUEDEC,0,,,,,19.5,125,152,
B3,TR,2764,QUEDEC,0,,,,,15.6,83,173,
B3,TR,2765,QUEDEC,0,,,,,17.1,248,180,
B3,TR,2766,QUEDEC,0,,,,,17.4,248,226,
B3,TR,2767,QUEDEC,0,,,,,14.5,213,226,
B2,TR,,QUEDEC,0,S,,14.8,,,-97,275,
B2,TR,2768,QUEDEC,0,,,,,13.15,95,225,
B2,TR,2769,QUEDEC,0,,,,,10.5,-8,150,
B2,TR,2770,QUEDEC,0,,,,,17.5,-28,18,
,,,,,,,,,,,,
B1,TR,2771,QUEDEC,0,,,,,18.45,-15,-37,
C1,TR,2772,QUEDEC,0,,,,,13.15,10,-44,
C1,TR,2773,QUEDEC,0,,,,,21.2,33,257,
C1,TR,2773.1,QUEDEC,0,,,,,16,33,257,
C1,TR,2774,QUEDEC,0,,,,,17.15,-70,236,
C1,TR,2775,QUEDEC,0,,,,,16.2,-9,155,
C1,TR,2776,QUEDEC,0,,,,,10.45,-99,167,
C2,TR,2777,QUEDEC,0,,,,,18.45,-114,-13,
C2,TR,2778,QUEDEC,0,,,,,18.7,-113,-54,
C2,SA,2779,AESCAL,1,,52,0.63,1,,-130,500,
C2,TR,2780,QUEDEC,0,,,,,19.15,-153,-74,
C2,TR,2780.1,QUEDEC,0,,,,,16.3,-153,-74,
C4,TR,2798,QUEDEC,0,,,,,20.2,115,236,
C4,TR,2798.1,QUEDEC,0,,,,,15.4,140,240,
D4,TR,2781,QUEDEC,0,,,,,20.54,24,-50,
D4,TR,2782,QUEDEC,0,,,,,23.7,15,-100,
D4,TR,2783,QUEAGR,1,,,,,23.1,-220,-180,
D4,TR,,QUEDEC,0,S,,35,,,210,-190,DBH AT 40CM
D3,SA,2784,UMBCAL,1,,90,1.33,1,,-4,-273,
D3,TR,2785,QUEDEC,0,,,,,14.9,92,210,
D3,TR,2786,QUEDEC,0,,,,,17.9,47,220,
D2,TR,2787,QUEDEC,0,,,,,22.45,120,-97,
D2,TR,2790,QUEDEC,0,,,,,14,-210,-190,
D2,TR,2790.1,QUEDEC,0,,,,,2.62,-210,-190,
D2,TR,2788,QUEDEC,0,,,,,15.25,-90,-150,
D2,TR,2789,QUEDEC,0,,,,,19.8,-108,-226,
,TR,,QUEDEC,,S,,,,10.1,-170,-240,
,TR,,QUEDEC,,S,,,,17.5,-168,124,
,,,,,,,,,,,,
D2,TR,2791,QUEDEC,0,,,,,21.15,150,130,
D1,TR,2792,QUEDEC,0,,,,,24.1,-170,-300,
D1,TR,2793,QUEDEC,0,,,,,21.1,-180,170,DBH AT 150CM
D1,TR,2793.1,QUEDEC,0,,,,,15.05,-180,170,DBH AT 150CM
D1,TR,2794,QUEDEC,0,,,,,17.65,-190,107,
D1,TR,2796,QUEDEC,0,,,,,17.95,57,168,
D1,TR,2795,QUEDEC,0,,,,,14.5,54,122,
