Plot ID,   PPW1309,,Sampler(s),"MNB, MFO",,,,,Date ,20130213,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
Quad,Type,Tree Tag No.,Species,Confidence ,Dead/ Stump,SA or Stump Height (cm),SA or Stump BD (cm),SA  Branch #,DBH (cm), X (cm),Y (cm),Notes
B2,TR,1244,QUEKEL,0,,,,,43.3,128,425,
B1,TR,1245,QUEAGR,1,,,,,47.95,281,368,
B1,TR,1245.1,QUEAGR,1,,,,,37.45,281,368,
C1,TR,1246,QUEKEL,0,,,,,37.15,337,97,
C2,TR,1247,QUEDOGA,0,,,,,55.4,309,81,DBH at 120cm/ CHANGED FROM QUEKEL MKQC2022
