,X,Plot,UTM.E.updated,UTM.N.updated,UTM.E,UTM.N,Slope,Aspect,Super.Plot,AEA.x,AEA.y,long,lat
1,1,PPW1301,526262,4270349,526265,4270350,26,350,1,-234777.9639,66133.61033,-122.6984499,38.58123
2,2,PPW1302,525447,4269576,525447,4269576,NA,NA,0,-235619.3621,65384.58751,-122.7078695,38.57427861
3,3,PPW1303,526143,4269065,526143,4269065,20,137,0,-234940.6282,64850.87537,-122.6998987,38.56965332
4,4,PPW1304,525944,4269218,525944,4269218,25,201,0,-235134.472,65010.37809,-122.7021774,38.57103798
5,5,PPW1305,526058,4269630,526058,4269630,34,28,0,-235007.5448,65419.2774,-122.7008533,38.57474754
6,6,PPW1306,526022,4270886,526022,4270886,15,20,0,-235003.5702,66677.98505,-122.7012197,38.58606752
7,7,PPW1307,525888,4270663,525888,4270668,28.5,46,1,-235144.3027,66463.96363,-122.7027664,38.58410685
8,8,PPW1308,522747,4273140,522747,4273140,14,12,0,-238202.1513,69038.63555,-122.7387487,38.60647027
9,9,PPW1309,522832,4273339,522830,4273334,10.5,234,1,-238113.1078,69230.2443,-122.7377891,38.60821644
10,10,PPW1310,522783,4273544,522783,4273545,25,351,1,-238153.3349,69442.99554,-122.738322,38.61011915
11,11,PPW1311,522491,4273327,522491,4273327,33,261,0,-238451.8367,69233.98333,-122.7416828,38.60816201
12,12,PPW1312,522506,4272840,522503,4272837,21,328,1,-238455.4233,68742.99576,-122.7415608,38.60374589
13,13,PPW1313,522844,4272670,522844,4272670,34,36,0,-238120.2267,68564.97766,-122.7376501,38.60223219
14,14,PPW1314,523238,4272549,523238,4272549,23,238,0,-237730.6462,68431.3357,-122.7331293,38.60113152
15,15,PPW1315,524732,4271563,524734,4271564,15,337,1,-236268.1341,67397.67612,-122.7159841,38.59221439
16,16,PPW1316,524769,4271725,524769,4271725,34,189,0,-236228.0686,67557.76628,-122.7155765,38.59366433
17,17,PPW1317,524780,4271591,524778,4271596,25,224,0,-236223.1815,67428.32057,-122.7154777,38.59250155
18,18,PPW1318,524608,4271846,524608,4271846,26,205,0,-236384.9876,67684.02216,-122.7174209,38.59475925
19,19,PPW1319,524509,4271779,524509,4271779,21,354,0,-236485.9721,67620.07833,-122.7185601,38.59415819
20,20,PPW1320,524372,4269329,524372,4269329,23.5,129,0,-236700.6304,65171.36789,-122.720219,38.57208282
21,21,PPW1321,524738,4269590,524739,4269591,28.5,224,1,-236325.8441,65422.05819,-122.7159967,38.57443379
22,22,PPW1322,525086,4269551,525084,4269552,8,118,1,-235982.5909,65372.06915,-122.7120376,38.57407265
23,23,PPW1323,523282,4272416,523282,4272416,11.5,259,0,-237690.9367,68296.77562,-122.7326285,38.59993179
24,24,PPW1324,523801,4271999,523801,4272002,14.5,24,1,-237185.8503,67865.80565,-122.7266825,38.59618711
25,25,PPW1325,526465,4270806,526466,4270806,15,35,1,-234562.7646,66583.80292,-122.6961249,38.58533345
26,26,PPW1326,525165,4271385,525165,4271385,25.5,37,0,-235843.454,67204.78549,-122.7110415,38.59058915
27,27,PPW1327,522912,4268880,522912,4268880,17.5,186,0,-238172.7494,64768.09539,-122.7369938,38.56807532
28,28,PPW1328,524420,4269661,524420,4269661,14,151,0,-236642.1505,65502.26107,-122.7196563,38.57507346
29,29,PPW1329,524086,4271800,524086,4271800,NA,NA,0,-236907.6861,67654.51776,-122.7234167,38.59435902
30,30,PPW1330,523769,4271472,523769,4271472,24,320,0,-237234.6456,67336.1615,-122.727068,38.59141167
31,31,PPW1331,523503,4271813,523503,4271813,24,27,0,-237489.4206,67686.01961,-122.7301109,38.5944918
32,32,PPW1332,524962,4271277,524968,4271278,24,331,1,-236043.5662,67103.89987,-122.7133074,38.58963045
33,33,PPW1333,525153,4271310,525153,4271310,26,147,0,-235857.8201,67130.07279,-122.711182,38.5899136
34,34,PPW1334,524885,4271274,524885,4271274,29,334,0,-236126.5717,67102.52702,-122.7142606,38.58959673
35,35,PPW1335,525095,4271046,525087,4271051,16,331,1,-235931.955,66872.84364,-122.7119492,38.58758139
36,36,PPW1336,525463,4271059,525463,4271059,24,238,0,-235556.2518,66868.92928,-122.7076317,38.58764278
37,37,PPW1337,526102,4271193,526102,4271193,6.5,90,0,-234913.9295,66982.82957,-122.7002897,38.58883182
38,38,PPW1338,524947,4269702,524949,4269709,13,219,1,-236112.4028,65533.5464,-122.7135817,38.57549132
39,39,PPW1339,524903,4269864,524901,4269863,28,246,1,-236155.438,65689.26091,-122.7141272,38.5768805
40,40,PPW1340,527204,4269288,527205,4269284,9.5,205,1,-233873.2318,65036.46459,-122.6876994,38.57159504
41,41,PPW1341,527127,4269502,527127,4269502,14,205,0,-233944.1871,65257.21103,-122.6885863,38.57356201
42,42,PPW1342,527278,4269582,527278,4269582,7,65,0,-233790.8664,65332.52111,-122.6868498,38.57427834
43,43,PPW1343,522956,4273410,522956,4273410,26.5,352,0,-237984.8763,69302.34352,-122.7363395,38.60889809
44,44,PPW1344,522867,4272880,522872,4272878,24,210,1,-238085.6584,68772.34784,-122.7373217,38.60410594
45,45,PPW1345,523405,4272225,523405,4272225,24,78,0,-237574.1855,68101.63867,-122.7312224,38.59820729
46,46,PPW1346,524575,4270822,524575,4270822,24,316,0,-236450.4822,66659.79485,-122.717836,38.58553199
47,47,PPW1347,523087,4268719,523087,4268719,25,5,0,-238003.1225,64601.34555,-122.7349903,38.56661987
48,48,PPW1348,523389,4269026,523389,4269026,24,327,0,-237691.8124,64899.15593,-122.7315135,38.56937864
49,49,PPW1349,526500,4270444,526499,4270456,11,53,1,-234540.9383,66232.32045,-122.6957593,38.58217831
50,50,PPW1350,523424,4269090,523424,4269090,26.5,318,0,-237654.8303,64962.12646,-122.7311095,38.56995448
51,51,PPW1851,527198,4269561,527198,4269561,45,214,0,-233871.4161,65314.03255,-122.687769,38.57409154
52,52,PPW1852,527365,4269686,527365,4269686,22,24,1,-233700.6884,65433.89116,-122.6858469,38.5752129
53,53,PPW1853,527387,4269624,527387,4269624,30,80,0,-233680.6917,65371.11593,-122.6855968,38.57465348
54,54,PPW1854,527310,4269508,527310,4269508,35,130,0,-233761.2659,65257.41367,-122.6864853,38.57361048
