Plot,SW.UTM.E,SW.UTM.N,NW.UTM.E,NW.UTM.N,NE.UTM.E,NE.UTM.N,SE.UTM.E,SE.UTM.N,UTM.E.old,UTM.N.old,Slope,Aspect,Super.Plot
PPW1301,526262,4270349,526266.4171,4270366.436,526285.7904,4270361.534,526281.3793,4270344.101,526265,4270350,26,350,1
PPW1302,525447,4269576,525451.9068,4269595.372,525470.4594,4269590.677,525465.5584,4269571.309,525447,4269576,17,248,0
PPW1303,526143,4269065,526147.6832,4269083.488,526166.7938,4269078.652,526162.1166,4269060.168,526143,4269065,20,137,0
PPW1304,525944,4269218,525948.6023,4269236.168,525967.3764,4269231.418,525962.78,4269213.253,525944,4269218,25,201,0
PPW1305,526058,4269630,526062.4441,4269647.544,526080.3085,4269643.024,526075.87,4269625.483,526058,4269630,34,28,0
PPW1306,526022,4270886,526026.7964,4270904.935,526045.9709,4270900.083,526041.1806,4270881.152,526022,4270886,15,20,0
PPW1307,525888,4270663,525892.7614,4270681.798,525910.3676,4270677.343,525905.6117,4270658.549,525888,4270668,28.5,46,1
PPW1308,522747,4273140,522751.7935,4273158.924,522771.0649,4273154.047,522766.2774,4273135.127,522747,4273140,14,12,0
PPW1309,522832,4273339,522836.8996,4273358.343,522856.0037,4273353.509,522851.1101,4273334.17,522830,4273334,10.5,234,1
PPW1310,522783,4273544,522787.455,4273561.586,522806.8239,4273556.685,522802.3749,4273539.102,522783,4273545,25,351,1
PPW1311,522461,4273304,522465.9035,4273323.361,522482.1854,4273319.242,522477.2871,4273299.884,522491,4273327,33,261,0
PPW1312,522506,4272840,522510.6152,4272858.219,522529.8778,4272853.345,522525.2685,4272835.129,522503,4272837,21,328,1
PPW1313,522844,4272670,522848.5608,4272688.006,522865.965,4272683.602,522861.4097,4272665.599,522844,4272670,34,36,0
PPW1314,523238,4272549,523242.8738,4272568.242,523260.8591,4272563.691,523255.9911,4272544.453,523238,4272549,23,238,0
PPW1315,524732,4271563,524736.7477,4271581.742,524756.1162,4271576.841,524751.3745,4271558.102,524734,4271564,15,337,1
PPW1316,524769,4271725,524773.199,4271741.575,524792.0558,4271736.803,524787.8626,4271720.231,524769,4271725,34,189,0
PPW1317,524780,4271591,524784.7815,4271609.878,524802.848,4271605.306,524798.0721,4271586.432,524778,4271596,25,224,0
PPW1318,524608,4271846,524612.6106,4271864.201,524631.2028,4271859.497,524626.5981,4271841.299,524608,4271846,26,205,0
PPW1319,524509,4271779,524513.5917,4271797.126,524532.9493,4271792.228,524528.3636,4271774.105,524509,4271779,21,354,0
PPW1320,524372,4269329,524376.6486,4269347.351,524395.4506,4269342.594,524390.8078,4269324.246,524372,4269329,23.5,129,0
PPW1321,524738,4269590,524742.743,4269608.726,524760.4205,4269604.252,524755.6832,4269585.53,524739,4269591,28.5,224,1
PPW1322,525086,4269551,525090.8894,4269570.302,525110.1699,4269565.424,525105.2865,4269546.125,525084,4269552,8,118,1
PPW1323,523282,4272416,523286.9106,4272435.386,523305.9067,4272430.58,523301.0021,4272411.197,523282,4272416,11.5,259,0
PPW1324,523801,4271999,523805.8142,4272018.006,523824.9614,4272013.161,523820.1531,4271994.159,523801,4272002,14.5,24,1
PPW1325,526465,4270806,526469.8393,4270825.105,526488.8439,4270820.296,526484.0106,4270801.195,526466,4270806,15,35,1
PPW1326,525165,4271385,525169.7212,4271403.639,525187.9509,4271399.026,525183.2354,4271380.391,525165,4271385,25.5,37,0
PPW1327,522912,4268880,522916.7108,4268898.597,522935.9871,4268893.719,522931.2824,4268875.126,522912,4268880,17.5,186,0
PPW1328,524420,4269661,524424.7747,4269679.849,524444.121,4269674.954,524439.3523,4269656.108,524420,4269661,14,151,0
PPW1329,524086,4271800,524090.911,4271819.388,524110.2951,4271814.483,524105.3901,4271795.099,524086,4271800,0,0,0
PPW1330,523769,4271472,523773.5661,4271490.025,523792.629,4271485.202,523788.0687,4271467.18,523769,4271472,24,320,0
PPW1331,523503,4271813,523507.6692,4271831.433,523526.3201,4271826.713,523521.6567,4271808.284,523503,4271813,24,27,0
PPW1332,524962,4271277,524966.5141,4271294.819,524985.7873,4271289.942,524981.2791,4271272.126,524968,4271278,24,331,1
PPW1333,525153,4271310,525157.4652,4271327.626,525176.6423,4271322.773,525172.1831,4271305.151,525153,4271310,26,147,0
PPW1334,524885,4271274,524889.321,4271291.056,524908.6013,4271286.178,524904.2862,4271269.124,524885,4271274,29,334,0
PPW1335,525095,4271046,525099.7333,4271064.685,525119.068,4271059.793,525114.3408,4271041.111,525087,4271051,16,331,1
PPW1336,525463,4271059,525467.8704,4271078.229,525485.7332,4271073.709,525480.8684,4271054.484,525463,4271059,24,238,0
PPW1337,526102,4271193,526106.9091,4271212.38,526126.176,4271207.505,526121.273,4271188.128,526102,4271193,6.5,90,0
PPW1338,524947,4269702,524951.8657,4269721.209,524970.9307,4269716.385,524966.071,4269697.179,524949,4269709,13,219,1
PPW1339,524903,4269864,524907.8935,4269883.321,524925.073,4269878.974,524920.1851,4269859.657,524901,4269863,28,246,1
PPW1340,527204,4269288,527208.8705,4269307.228,527228.1482,4269302.35,527223.2838,4269283.126,527205,4269284,9.5,205,1
PPW1341,527127,4269502,527131.8232,4269521.041,527150.9766,4269516.195,527146.1594,4269497.157,527127,4269502,14,205,0
PPW1342,527278,4269582,527282.9097,4269601.383,527302.1543,4269596.513,527297.2507,4269577.134,527278,4269582,7,65,0
PPW1343,522956,4273410,522960.4014,4273427.374,522979.7613,4273422.475,522975.3658,4273405.104,522956,4273410,26.5,352,0
