Plot:1336,Date,20191118,,Surveyors:,"MO, TT",Severity:,MOD/MOD
,,,,,,,
Dominant Species,% Leaf Scorch,Living < 1m?   ,,Fire-induced  Mortality?,New Wounds?,Post-Fire Seeds Present?   ,B-sprouts
QUEAGRI,35,N,,N,Y,N,SAG
QUEGAR,10,N,,N,Y,Y,S  A  D  G  NA
,,Y        N,,Y        N,Y        N,Y        N,S  A  D  G  NA
,,Y        N,,Y        N,Y        N,Y        N,S  A  D  G  NA
,,Y        N,,Y        N,Y        N,Y        N,S  A  D  G  NA
,,,,,,,
% Ground Charred:,3/85,,,H'wood Trunk Char Height (m):,,0.5,
,,,,Doug Fir Trunk Char Height (m):,,,
Leaf Freeze Direction: E,,,,Doug Fir Needle Scorch Height (m):,,,
,,,,,,,
Hobo Damaged: N,,,,Hobo Downloaded: Y,,,
,,,,,,,
Notes: ,,,,,,,FOR MH:
,,,,,,,NO
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
