"","do","ew","total","doperc"
"PPW1301",10424.7861723152,0,10424.7861723152,1
"PPW1302",0,17054.0721027609,17054.0721027609,0
"PPW1304",4443.97915804361,1369.43594566306,5813.41510370667,0.764435203536403
"PPW1305",0,15250.8436297735,15250.8436297735,0
"PPW1306",4822.07965138019,2388.73549959731,7210.8151509775,0.668728784529514
"PPW1307",3309.45776654813,7687.01124660389,10996.469013152,0.300956403604643
"PPW1308",7171.78086225664,0,7171.78086225664,1
"PPW1309",4966.99346650865,2907.31230843915,7874.3057749478,0.630784936281139
"PPW1310",5039.65065060455,319.079784852664,5358.73043545721,0.940456085877841
"PPW1311",10663.6178998227,1596.64770734312,12260.2656071658,0.86977054506797
"PPW1312",0,24044.4385556434,24044.4385556434,0
"PPW1313",1912.09306219466,10009.5327330183,11921.625795213,0.160388616036115
"PPW1314",2883.27716114378,6507.60890537959,9390.88606652337,0.307029298483568
"PPW1315",8964.99927857194,332.058332423174,9297.05761099511,0.964283502768611
"PPW1316",1914.08601003428,17395.8358359087,19309.921845943,0.0991244824968794
"PPW1317",13751.700198443,419.096313970512,14170.7965124135,0.970425352336166
"PPW1319",1618.90196430299,0,1618.90196430299,1
"PPW1321",5805.48650924717,2985.04779851976,8790.53430776693,0.660424759859898
"PPW1322",10092.6314715374,1366.79355208212,11459.4250236195,0.880727562747261
"PPW1323",8469.34109499638,1738.29033912104,10207.6314341174,0.829706788461124
"PPW1324",6051.9444529213,3402.86124313018,9454.80569605148,0.640091890566161
"PPW1329",1548.96225785245,22964.9951738516,24513.957431704,0.0631869522563978
"PPW1331",4542.93932663169,8468.70617912109,13011.6455057528,0.34914410514974
"PPW1332",11240.0078674722,5115.33994285006,16355.3478103223,0.687237471059977
"PPW1334",16653.2900958636,392.705443423848,17045.9955392874,0.976962011839159
"PPW1335",13341.4407919079,835.958170166159,14177.3989620741,0.941035857677249
"PPW1336",2740.59191330396,10983.7086491913,13724.3005624953,0.199689004246471
"PPW1337",1209.95495809898,27883.8577130313,29093.8126711303,0.0415880507575969
"PPW1338",0,13319.72453269,13319.72453269,0
"PPW1339",2872.31103928734,12288.0303747197,15160.341414007,0.189462160570707
"PPW1340",0,14647.873903319,14647.873903319,0
"PPW1341",0,16493.8977012123,16493.8977012123,0
"PPW1342",0,38791.274983745,38791.274983745,0
"PPW1343",5979.53074225604,16896.5319125984,22876.0626548544,0.261388108280388
"PPW1344",9025.95866388238,0,9025.95866388238,1
"PPW1345",9323.29470058138,3606.86558863928,12930.1602892207,0.721050202939389
"PPW1347",1332.38478730478,9815.96122401274,11148.3460113175,0.119514122180293
"PPW1348",9621.186406481,2339.19658898083,11960.3829954618,0.804421263945444
