Species,Basal.Area_cm2
QUEAGR,209413.0463
PSEMEN,173731.3023
QUEGAR,170738.0387
QUEDOU,54908.08488
QUEKEL,50453.26723
ARBMEN,32971.4497
UMBCAL,29513.49552
AMOCAL,13808.09257
ARCMAN,8159.993807
HETARB,5969.013868
AESCAL,3091.853859
QUELOB,1320.254313
NOTDEN,614.727294
FRACAL,539.6784155
QUEDEC,477.2255955
QUEBER,403.5737047
BACPIL,183.4498473
CEOCUN,103.9395929
QUEWIS,30.67961576
UNKN27,25.51758633
ADEFAS,21.38670615
TORCAL,14.73406955
QUEAGKE,13.61699774
UNKN47,10.43008761
UNK28,4.146902303
