ID,UTM.E,UTM.N,Slope,Aspect,Total.Basal.Area_cm2,ADEFAS,AESCAL,AMOCAL,ARBMEN,ARCMAN,BACPIL,FRACAL,HETARB,NOTDEN,PSEMEN,QUEAGKE,QUEAGR,QUEBER,QUEDEC,QUEDOU,QUEGAR,QUEKEL,QUELOB,QUEWIS,UMBCAL
PPW1339,524901,4269863,28,246,15160.34141,0,0,0,0,0,0,0,0,0,0,0,12285.45733,0,0,2872.311039,0,0,0,0,2.573042923
PPW1340,527205,4269284,9.5,205,14647.8739,0,0,0,176.9290005,0,0,0,0,69.39778172,12018.0547,0,1890.846785,0,0,0,0,0,0,0,492.6456318
PPW1341,527127,4269502,14,205,16493.8977,0,0,0,0,0,0,0,0,0,12078.28689,0,4386.261347,0,0,0,0,0,0,0,29.34946543
PPW1342,527278,4269582,7,65,38791.27498,0,0,0,0,0,0,0,0,39.29551215,38423.46156,0,323.6874017,0,0,0,0,0,0,0,4.830512864
PPW1343,522956,4273410,26.5,352,22876.06265,0,0,0,0.967689077,0,0,0,0,0,16298.0549,0,0,0,3782.094673,0,0,2197.436069,0,0,597.5093243
PPW1344,522872,4272878,24,210,9025.958664,0,0,0,0,0,0,0,0,0,0,0,0,0,1586.09981,5849.427573,0,1590.431281,0,0,0
PPW1345,523405,4272225,24,78,12930.16029,0,0,0,233.3437578,1074.546189,0,0,904.0400173,0,73.89811319,0,1284.758007,0,2678.058512,0,6645.236189,0,0,0,36.27950466
PPW1346,524575,4270822,24,316,10747.04195,16.37586587,0,114.8645599,0,0,0,0,97.95564434,0,0,0,3.004147975,0,0,0,7594.065893,289.529179,0,0,2631.24666
PPW1347,523087,4268719,25,5,11148.34601,0,0,13.78648666,0,0,0,0,0,0,9311.892683,0,232.7154393,0,406.4926369,0,0,925.8921504,0,0,257.5666153
PPW1348,523389,4269026,24,327,11960.383,0,0,8.865653008,0,0,0,0,219.4474725,0,2088.595984,0,0,0,8378.576556,0,0,1242.60985,0,0,22.2874793
PPW1349,526499,4270456,11,53,14260.62564,0,0,0,0,0,0,0,0,455.3444027,1596.510263,0,2526.657308,0,0,0,0,9682.113669,0,0,0
PPW1350,523424,4269090,26.5,318,17233.21404,0,0,0,0,0,0,0,281.4330591,0,14088.89865,0,1513.929573,0,0,0,314.1592654,1032.877125,0,0,1.916371519
