,Plot,Quad,Type,Tree Tag No.,Species,DBH
PPW1340.191,PPW1340,B1,TR,1659,PSEMEN,85.4
PPW1340.201,PPW1340,B2,TR,1650,PSEMEN,79.1
PPW1340.347,PPW1340,C2,TR,1665,PSEMEN,28.45
PPW1340.483,PPW1340,D2,TR,1706,PSEMEN,30.7
PPW1340.11,PPW1340,A1,TR,1611,QUEAGR,25.9
PPW1340.12,PPW1340,A1,TR,1610,QUEAGR,23.4
PPW1340.192,PPW1340,B1,TR,1660,QUEAGR,26.9
PPW1340.193,PPW1340,B1,TR,1660.1,QUEAGR,15.5
PPW1340.448,PPW1340,D2,TR,1704,QUEAGR,14.7
PPW1340.449,PPW1340,D2,TR,1704.1,QUEAGR,3.03
PPW1340.39,PPW1340,A1,TR,1617,UMBCAL,3.67
PPW1340.102,PPW1340,A3,TR,1633,UMBCAL,2.1
PPW1340.113,PPW1340,A3,TR,1630,UMBCAL,23.6
PPW1340.228,PPW1340,B2,TR,1644,UMBCAL,2.96
PPW1340.229,PPW1340,B2,TR,1642,UMBCAL,3.89
PPW1340.230,PPW1340,B2,TR,1642.1,UMBCAL,3.67
PPW1340.301,PPW1340,C2,TR,1663,UMBCAL,3.88
PPW1341.12,PPW1341,A2,TR,1930,PSEMEN,99.45
PPW1341.13,PPW1341,A2,TR,1929,PSEMEN,56
PPW1341.70,PPW1341,B1,TR,1972,PSEMEN,26.4
PPW1341.143,PPW1341,C4,TR,1986,PSEMEN,48.5
PPW1341.9,PPW1341,A1,TR,2499,QUEAGR,21.4
PPW1341.43,PPW1341,A4,TR,1927,QUEAGR,27.05
PPW1341.73,PPW1341,B1,TR,1972.1,QUEAGR,2.08
PPW1341.114,PPW1341,C3,TR,1968,QUEAGR,34.1
PPW1341.115,PPW1341,C3,TR,1968.1,QUEAGR,20.3
PPW1341.125,PPW1341,C3,TR,1978,QUEAGR,27.3
PPW1341.126,PPW1341,C3,TR,1979,QUEAGR,20.9
PPW1341.139,PPW1341,C4,TR,1983,QUEAGR,22.5
PPW1341.158,PPW1341,C4,TR,1988,QUEAGR,20.75
PPW1341.109,PPW1341,C2,TR,1974,UMBCAL,1.17
PPW1341.193,PPW1341,C2,TR,1975,UMBCAL,6
PPW1342.10,PPW1342,A2,TR,2301,NOTDEN,1.69
PPW1342.11,PPW1342,A2,TR,2301.1,NOTDEN,1.64
PPW1342.21,PPW1342,B2,TR,2310,NOTDEN,5.75
PPW1342.28,PPW1342,C3,TR,2317,NOTDEN,3.38
PPW1342.4,PPW1342,A1,TR,1996,PSEMEN,85.5
PPW1342.13,PPW1342,A2,TR,2303,PSEMEN,45
PPW1342.14,PPW1342,A3,TR,2304,PSEMEN,47.4
PPW1342.15,PPW1342,A3,TR,2305,PSEMEN,64.35
PPW1342.16,PPW1342,A4,TR,2306,PSEMEN,34.05
PPW1342.17,PPW1342,B4,TR,2307,PSEMEN,42.5
PPW1342.18,PPW1342,B4,TR,2308,PSEMEN,23.95
PPW1342.19,PPW1342,B3,TR,2309,PSEMEN,57.1
PPW1342.23,PPW1342,B1,TR,2313,PSEMEN,26.35
PPW1342.24,PPW1342,B1,TR,2314,PSEMEN,16.1
PPW1342.25,PPW1342,B1,TR,2312,PSEMEN,80.55
PPW1342.26,PPW1342,C3,TR,2316,PSEMEN,57.55
PPW1342.27,PPW1342,C3,TR,2315,PSEMEN,33.1
PPW1342.31,PPW1342,C4,TR,2318,PSEMEN,1.81
PPW1342.33,PPW1342,C4,TR,2319,PSEMEN,1.48
PPW1342.38,PPW1342,C4,TR,2321,PSEMEN,1.04
PPW1342.44,PPW1342,D4,TR,2326,PSEMEN,2
PPW1342.45,PPW1342,D4,TR,2325,PSEMEN,3.61
PPW1342.47,PPW1342,D4,TR,2336,PSEMEN,2.13
PPW1342.57,PPW1342,D4,TR,2331,PSEMEN,1.69
PPW1342.61,PPW1342,D3,TR,2341,PSEMEN,69.6
PPW1342.65,PPW1342,D2,TR,2344,PSEMEN,19.3
PPW1342.67,PPW1342,D2,TR,2345,PSEMEN,96.45
PPW1342.62,PPW1342,D3,TR,2342,QUEAGR,11
PPW1342.63,PPW1342,D3,TR,2342.1,QUEAGR,1.46
PPW1342.66,PPW1342,D2,TR,2346,QUEAGR,17
PPW1342.9,PPW1342,A2,TR,2302,UMBCAL,2.48
PPW1343.362,PPW1343,C1,TR,2077,ARBMEN,1.11
PPW1343.4,PPW1343,A1,TR,1778,PSEMEN,1.45
PPW1343.7,PPW1343,A1,TR,1780,PSEMEN,2.35
PPW1343.8,PPW1343,A1,TR,1792,PSEMEN,1.99
PPW1343.11,PPW1343,A1,TR,1783,PSEMEN,1.1
PPW1343.12,PPW1343,A1,TR,1793,PSEMEN,1.94
PPW1343.13,PPW1343,A1,TR,1800,PSEMEN,1.71
PPW1343.16,PPW1343,A1,TR,1788,PSEMEN,5.9
PPW1343.30,PPW1343,A1,TR,1795,PSEMEN,3.73
PPW1343.37,PPW1343,A1,TR,1814,PSEMEN,8.2
PPW1343.38,PPW1343,A1,TR,1805,PSEMEN,4.13
PPW1343.40,PPW1343,A1,TR,1801,PSEMEN,4.58
PPW1343.41,PPW1343,A1,TR,1817,PSEMEN,9.8
PPW1343.45,PPW1343,A1,TR,1818,PSEMEN,4.19
PPW1343.46,PPW1343,A1,TR,1837,PSEMEN,4.45
PPW1343.47,PPW1343,A1,TR,1811,PSEMEN,3.95
PPW1343.48,PPW1343,A1,TR,1810,PSEMEN,1.8
PPW1343.49,PPW1343,A1,TR,1816,PSEMEN,5.27
PPW1343.50,PPW1343,A1,TR,1809,PSEMEN,3.93
PPW1343.51,PPW1343,A1,TR,1808,PSEMEN,4.44
PPW1343.52,PPW1343,A1,TR,1806,PSEMEN,3.61
PPW1343.53,PPW1343,A1,TR,1807,PSEMEN,4.42
PPW1343.59,PPW1343,A2,TR,1823,PSEMEN,7.9
PPW1343.60,PPW1343,A2,TR,1900,PSEMEN,2.1
PPW1343.62,PPW1343,A2,TR,1820,PSEMEN,4.55
PPW1343.64,PPW1343,A2,TR,1813,PSEMEN,2.77
PPW1343.65,PPW1343,A2,TR,1819,PSEMEN,6.8
PPW1343.66,PPW1343,A2,TR,1822,PSEMEN,6.02
PPW1343.67,PPW1343,A2,TR,1818,PSEMEN,5.05
PPW1343.68,PPW1343,A2,TR,1821,PSEMEN,3.04
PPW1343.75,PPW1343,A2,TR,1842,PSEMEN,9.45
PPW1343.79,PPW1343,A2,TR,1841,PSEMEN,2.59
PPW1343.80,PPW1343,A2,TR,1840,PSEMEN,2.51
PPW1343.82,PPW1343,A2,TR,1843,PSEMEN,4.63
PPW1343.86,PPW1343,A2,TR,1839,PSEMEN,2.35
PPW1343.88,PPW1343,A2,TR,1838,PSEMEN,10.82
PPW1343.98,PPW1343,A2,TR,1831,PSEMEN,2.64
PPW1343.100,PPW1343,A2,TR,1832,PSEMEN,10.4
PPW1343.101,PPW1343,A2,TR,1833,PSEMEN,9.8
PPW1343.102,PPW1343,A2,TR,1898,PSEMEN,4.2
PPW1343.105,PPW1343,A2,TR,1894,PSEMEN,2.82
PPW1343.109,PPW1343,A2,TR,1826,PSEMEN,3.29
PPW1343.110,PPW1343,A2,TR,1827,PSEMEN,4.9
PPW1343.117,PPW1343,A2,TR,1897,PSEMEN,3.98
PPW1343.118,PPW1343,A2,TR,1896,PSEMEN,3.67
PPW1343.119,PPW1343,A2,TR,1834,PSEMEN,4.51
PPW1343.120,PPW1343,A2,TR,1835,PSEMEN,3.63
PPW1343.121,PPW1343,A2,TR,1836,PSEMEN,5.04
PPW1343.124,PPW1343,A3,TR,1850,PSEMEN,4.49
PPW1343.129,PPW1343,A3,TR,1851,PSEMEN,3.11
PPW1343.131,PPW1343,A3,TR,1853,PSEMEN,10.9
PPW1343.134,PPW1343,A3,TR,1855,PSEMEN,1.8
PPW1343.135,PPW1343,A3,TR,1852,PSEMEN,1.51
PPW1343.148,PPW1343,A3,TR,1859,PSEMEN,1.53
PPW1343.152,PPW1343,A3,TR,1854,PSEMEN,1.95
PPW1343.153,PPW1343,A3,TR,1862,PSEMEN,4.55
PPW1343.154,PPW1343,A3,TR,2013,PSEMEN,2.7
PPW1343.155,PPW1343,A3,TR,1861,PSEMEN,3.93
PPW1343.158,PPW1343,A3,TR,2019,PSEMEN,1.85
PPW1343.159,PPW1343,A3,TR,1846,PSEMEN,3.09
PPW1343.160,PPW1343,A3,TR,1844,PSEMEN,2.16
PPW1343.161,PPW1343,A3,TR,1845,PSEMEN,2.7
PPW1343.164,PPW1343,A3,TR,1847,PSEMEN,2.29
PPW1343.167,PPW1343,A3,TR,1848,PSEMEN,3.25
PPW1343.171,PPW1343,A4,TR,1877,PSEMEN,1.2
PPW1343.174,PPW1343,A4,TR,1881,PSEMEN,3.01
PPW1343.175,PPW1343,A4,TR,1887,PSEMEN,2.36
PPW1343.176,PPW1343,A4,TR,1885,PSEMEN,2.12
PPW1343.179,PPW1343,A4,TR,1880,PSEMEN,1.74
PPW1343.180,PPW1343,A4,TR,1883,PSEMEN,1.86
PPW1343.181,PPW1343,A4,TR,1884,PSEMEN,2.3
PPW1343.182,PPW1343,A4,TR,1882,PSEMEN,3.43
PPW1343.185,PPW1343,A4,TR,1890,PSEMEN,2.35
PPW1343.186,PPW1343,A4,TR,1892,PSEMEN,1.19
PPW1343.194,PPW1343,A4,TR,1864,PSEMEN,6.9
PPW1343.195,PPW1343,A4,TR,1865,PSEMEN,19.2
PPW1343.198,PPW1343,A4,TR,1891,PSEMEN,3.14
PPW1343.200,PPW1343,A4,TR,2001,PSEMEN,1.22
PPW1343.203,PPW1343,A4,TR,1872,PSEMEN,2.06
PPW1343.207,PPW1343,A4,TR,1867,PSEMEN,13.5
PPW1343.208,PPW1343,A4,TR,1869,PSEMEN,1.53
PPW1343.212,PPW1343,B4,TR,2009,PSEMEN,2.1
PPW1343.216,PPW1343,B4,TR,2017,PSEMEN,3.1
PPW1343.217,PPW1343,B4,TR,2020,PSEMEN,1.67
PPW1343.218,PPW1343,B4,TR,2021,PSEMEN,4.12
PPW1343.219,PPW1343,B4,TR,2014,PSEMEN,13.7
PPW1343.226,PPW1343,B4,TR,2010,PSEMEN,1.61
PPW1343.228,PPW1343,B4,TR,2011,PSEMEN,2.06
PPW1343.237,PPW1343,B3,TR,2022,PSEMEN,3.06
PPW1343.238,PPW1343,B3,TR,2024,PSEMEN,3.02
PPW1343.241,PPW1343,B3,TR,2025,PSEMEN,5.74
PPW1343.244,PPW1343,B3,TR,2041,PSEMEN,9.5
PPW1343.253,PPW1343,B3,TR,2030,PSEMEN,3.02
PPW1343.254,PPW1343,B3,TR,2031,PSEMEN,2.21
PPW1343.258,PPW1343,B3,TR,2032,PSEMEN,3.6
PPW1343.259,PPW1343,B3,TR,2035,PSEMEN,1.97
PPW1343.262,PPW1343,B3,TR,2033,PSEMEN,3.3
PPW1343.266,PPW1343,B3,TR,2036,PSEMEN,4.33
PPW1343.269,PPW1343,B2,TR,2043,PSEMEN,5.3
PPW1343.270,PPW1343,B2,TR,2044,PSEMEN,4.08
PPW1343.274,PPW1343,B2,TR,2047,PSEMEN,2.5
PPW1343.276,PPW1343,B2,TR,2046,PSEMEN,7.9
PPW1343.286,PPW1343,B2,TR,2050,PSEMEN,3.32
PPW1343.287,PPW1343,B2,TR,1825,PSEMEN,10.5
PPW1343.294,PPW1343,B2,TR,2051,PSEMEN,5.84
PPW1343.301,PPW1343,B2,TR,2054,PSEMEN,13.4
PPW1343.309,PPW1343,B2,TR,2038,PSEMEN,1.96
PPW1343.310,PPW1343,B2,TR,2038.1,PSEMEN,1.23
PPW1343.314,PPW1343,B2,TR,2040,PSEMEN,2.06
PPW1343.327,PPW1343,B2,TR,2042,PSEMEN,8.25
PPW1343.328,PPW1343,B2,TR,2045,PSEMEN,3.53
PPW1343.331,PPW1343,B1,TR,2059,PSEMEN,4.62
PPW1343.338,PPW1343,B1,TR,2066,PSEMEN,10
PPW1343.339,PPW1343,B1,TR,2065,PSEMEN,6.8
PPW1343.340,PPW1343,B1,TR,2064,PSEMEN,5.95
PPW1343.342,PPW1343,B1,TR,2060,PSEMEN,10.6
PPW1343.344,PPW1343,B1,TR,2076,PSEMEN,9.2
PPW1343.346,PPW1343,B1,TR,2069,PSEMEN,1.02
PPW1343.353,PPW1343,B1,TR,2070,PSEMEN,1.51
PPW1343.356,PPW1343,B1,TR,2074,PSEMEN,1.53
PPW1343.359,PPW1343,B1,TR,2073,PSEMEN,3.54
PPW1343.365,PPW1343,C1,TR,2172,PSEMEN,9.1
PPW1343.371,PPW1343,C1,TR,2082,PSEMEN,2.8
PPW1343.376,PPW1343,C1,TR,2088,PSEMEN,7.7
PPW1343.389,PPW1343,C1,TR,2061,PSEMEN,121.35
PPW1343.393,PPW1343,C2,TR,2091,PSEMEN,4.54
PPW1343.407,PPW1343,C2,TR,2092,PSEMEN,5.39
PPW1343.411,PPW1343,C2,TR,2108,PSEMEN,1.66
PPW1343.416,PPW1343,C2,TR,2055,PSEMEN,2.11
PPW1343.417,PPW1343,C2,TR,2056,PSEMEN,3.71
PPW1343.418,PPW1343,C2,TR,2098,PSEMEN,2.37
PPW1343.419,PPW1343,C2,TR,2097,PSEMEN,1.93
PPW1343.427,PPW1343,C2,TR,2099,PSEMEN,6.49
PPW1343.429,PPW1343,C2,TR,2107,PSEMEN,6.4
PPW1343.431,PPW1343,C2,TR,2105,PSEMEN,16.35
PPW1343.432,PPW1343,C2,TR,2095,PSEMEN,2.25
PPW1343.433,PPW1343,C2,TR,2096,PSEMEN,4.4
PPW1343.436,PPW1343,C2,TR,2213,PSEMEN,1.91
PPW1343.438,PPW1343,C2,TR,2104,PSEMEN,3.08
PPW1343.440,PPW1343,C2,TR,2103,PSEMEN,2.33
PPW1343.441,PPW1343,C2,TR,2216,PSEMEN,2.15
PPW1343.446,PPW1343,C2,TR,2106,PSEMEN,3.9
PPW1343.451,PPW1343,C3,TR,2109,PSEMEN,3.05
PPW1343.455,PPW1343,C3,TR,2110,PSEMEN,3.4
PPW1343.456,PPW1343,C3,TR,2111,PSEMEN,2.8
PPW1343.457,PPW1343,C3,TR,2112,PSEMEN,3.2
PPW1343.464,PPW1343,C3,TR,2226,PSEMEN,3.2
PPW1343.471,PPW1343,C3,TR,2227,PSEMEN,2.5
PPW1343.473,PPW1343,C3,TR,2228,PSEMEN,1.29
PPW1343.475,PPW1343,C3,TR,2120,PSEMEN,3.1
PPW1343.476,PPW1343,C3,TR,2121,PSEMEN,4.8
PPW1343.482,PPW1343,C3,TR,2122,PSEMEN,2.2
PPW1343.486,PPW1343,C3,TR,2115,PSEMEN,6.3
PPW1343.487,PPW1343,C3,TR,2116,PSEMEN,3.7
PPW1343.489,PPW1343,C3,TR,2114,PSEMEN,3
PPW1343.490,PPW1343,C3,TR,2113,PSEMEN,5.6
PPW1343.506,PPW1343,C4,TR,2231,PSEMEN,1.35
PPW1343.513,PPW1343,C4,TR,2135,PSEMEN,19.95
PPW1343.517,PPW1343,C4,TR,2130,PSEMEN,4.85
PPW1343.524,PPW1343,D4,TR,2154,PSEMEN,7.4
PPW1343.526,PPW1343,D4,TR,2155,PSEMEN,5.2
PPW1343.541,PPW1343,D4,TR,2149,PSEMEN,1.84
PPW1343.543,PPW1343,D4,TR,2148,PSEMEN,2.35
PPW1343.547,PPW1343,D1,TR,2100,PSEMEN,4
PPW1343.549,PPW1343,D1,TR,2223,PSEMEN,1.4
PPW1343.555,PPW1343,D1,TR,2198,PSEMEN,6.15
PPW1343.556,PPW1343,D1,TR,2207,PSEMEN,1.06
PPW1343.557,PPW1343,D1,TR,2201,PSEMEN,5.5
PPW1343.559,PPW1343,D1,TR,2100,PSEMEN,5.9
PPW1343.562,PPW1343,D1,TR,2203,PSEMEN,1.8
PPW1343.563,PPW1343,D1,TR,2212,PSEMEN,1.08
PPW1343.565,PPW1343,D1,TR,2199,PSEMEN,6.4
PPW1343.567,PPW1343,D1,TR,2202,PSEMEN,2.7
PPW1343.568,PPW1343,D1,TR,2218,PSEMEN,1.3
PPW1343.569,PPW1343,D1,TR,2206,PSEMEN,4.45
PPW1343.571,PPW1343,D1,TR,2222,PSEMEN,6.7
PPW1343.573,PPW1343,D1,TR,2219,PSEMEN,1.31
PPW1343.574,PPW1343,D1,TR,2183,PSEMEN,5.15
PPW1343.576,PPW1343,D1,TR,2205,PSEMEN,2.45
PPW1343.579,PPW1343,D1,TR,2204,PSEMEN,6.55
PPW1343.600,PPW1343,D2,TR,2174,PSEMEN,4.3
PPW1343.603,PPW1343,D2,TR,2168,PSEMEN,3.2
PPW1343.614,PPW1343,D2,TR,2182,PSEMEN,2.95
PPW1343.615,PPW1343,D2,TR,2181,PSEMEN,18.15
PPW1343.617,PPW1343,D2,TR,2169,PSEMEN,7.4
PPW1343.619,PPW1343,D2,TR,2170,PSEMEN,10
PPW1343.620,PPW1343,D2,TR,2179,PSEMEN,1.85
PPW1343.622,PPW1343,D2,TR,2180,PSEMEN,4.55
PPW1343.623,PPW1343,D2,TR,2178,PSEMEN,4.4
PPW1343.630,PPW1343,D3,TR,2157,PSEMEN,11.7
PPW1343.631,PPW1343,D3,TR,2165,PSEMEN,5.15
PPW1343.637,PPW1343,D3,TR,2163,PSEMEN,3.6
PPW1343.638,PPW1343,D3,TR,2164,PSEMEN,5.15
PPW1343.641,PPW1343,D3,TR,2166,PSEMEN,5.4
PPW1343.647,PPW1343,D3,TR,2160,PSEMEN,1.75
PPW1343.648,PPW1343,D3,TR,2161,PSEMEN,2.7
PPW1343.649,PPW1343,D3,TR,2162,PSEMEN,1.69
PPW1343.652,PPW1343,D3,TR,2156,PSEMEN,3.55
PPW1343.54,PPW1343,A1,TR,1815,QUEDEC,29.3
PPW1343.56,PPW1343,A2,TR,1824,QUEDEC,24.9
PPW1343.57,PPW1343,A2,TR,1824.1,QUEDEC,10.9
PPW1343.251,PPW1343,B3,TR,2037,QUEDEC,26.2
PPW1343.256,PPW1343,B3,TR,2029,QUEDEC,20.6
PPW1343.333,PPW1343,B1,TR,2058,QUEDEC,21.8
PPW1343.369,PPW1343,C1,TR,2084,QUEDEC,24.2
PPW1343.518,PPW1343,C4,TR,2131,QUEDEC,32.35
PPW1343.18,PPW1343,A1,TR,1794,QUEKEL,29.1
PPW1343.584,PPW1343,D1,TR,2220,QUEKEL,30.5
PPW1343.587,PPW1343,D1,TR,2186,QUEKEL,31.95
PPW1343.210,PPW1343,A4,TR,1866,UMBCAL,9.5
PPW1343.211,PPW1343,A4,TR,1866.1,UMBCAL,11.4
PPW1343.383,PPW1343,C1,TR,2089,UMBCAL,23.25
PPW1344.7,PPW1344,C2,TR,1716,QUEDEC,23.75
PPW1344.9,PPW1344,D2,TR,1718,QUEDEC,38.15
PPW1344.4,PPW1344,B4,TR,1713,QUEDOU,48.5
PPW1344.5,PPW1344,C3,TR,1714,QUEDOU,57.9
PPW1344.6,PPW1344,C2,TR,1715,QUEDOU,41.75
PPW1344.8,PPW1344,C2,TR,1717,QUEKEL,45
PPW1345.46,PPW1345,A3,TR,2259,ARBMEN,9.9
PPW1345.47,PPW1345,A3,TR,2259.1,ARBMEN,9
PPW1345.48,PPW1345,A3,TR,2259.2,ARBMEN,7.3
PPW1345.49,PPW1345,A3,TR,2259.3,ARBMEN,8.05
PPW1345.44,PPW1345,A3,TR,2277,ARCMAN,5.7
PPW1345.131,PPW1345,C1,TR,1934,ARCMAN,20.1
PPW1345.132,PPW1345,C1,TR,1934.1,ARCMAN,16.2
PPW1345.133,PPW1345,C1,TR,1934.2,ARCMAN,14.2
PPW1345.134,PPW1345,C1,TR,1934.3,ARCMAN,8.6
PPW1345.141,PPW1345,C4,TR,1941,ARCMAN,3.1
PPW1345.142,PPW1345,C4,TR,1942,ARCMAN,4.97
PPW1345.147,PPW1345,D4,TR,1944,ARCMAN,10.5
PPW1345.148,PPW1345,D4,TR,1944.1,ARCMAN,6.2
PPW1345.149,PPW1345,D4,TR,1944.2,ARCMAN,5.7
PPW1345.150,PPW1345,D4,TR,1944.3,ARCMAN,6.3
PPW1345.151,PPW1345,D4,TR,1944.4,ARCMAN,5.76
PPW1345.152,PPW1345,D4,TR,1944.5,ARCMAN,8.6
PPW1345.153,PPW1345,D3,TR,1942.1,ARCMAN,4.68
PPW1345.232,PPW1345,D3,TR,1957,ARCMAN,2.57
PPW1345.233,PPW1345,D3,TR,1957.1,ARCMAN,1.67
PPW1345.6,PPW1345,A2,TR,2265,HETARB,1.4
PPW1345.9,PPW1345,A2,TR,2264,HETARB,1.93
PPW1345.10,PPW1345,A2,TR,2264.1,HETARB,2.39
PPW1345.11,PPW1345,A2,TR,2264.2,HETARB,1.74
PPW1345.15,PPW1345,A2,TR,2263,HETARB,4.9
PPW1345.17,PPW1345,A2,TR,2263.1,HETARB,3.39
PPW1345.18,PPW1345,A2,TR,2263.2,HETARB,2.05
PPW1345.19,PPW1345,A2,TR,2263.3,HETARB,1.6
PPW1345.20,PPW1345,A2,TR,2263.4,HETARB,4.48
PPW1345.21,PPW1345,A2,TR,2263.5,HETARB,2.11
PPW1345.22,PPW1345,A2,TR,2263.6,HETARB,3.66
PPW1345.23,PPW1345,A2,TR,2263.7,HETARB,2.81
PPW1345.28,PPW1345,A2,TR,2273,HETARB,3.05
PPW1345.29,PPW1345,A2,TR,2273.1,HETARB,2.82
PPW1345.30,PPW1345,A2,TR,2273.2,HETARB,1.78
PPW1345.31,PPW1345,A2,TR,2273.3,HETARB,1.88
PPW1345.32,PPW1345,A2,TR,2273.4,HETARB,2.09
PPW1345.33,PPW1345,A2,TR,2273.5,HETARB,1.47
PPW1345.34,PPW1345,A2,TR,2273.6,HETARB,2.62
PPW1345.35,PPW1345,A2,TR,2273.7,HETARB,1.54
PPW1345.36,PPW1345,A2,TR,2273.8,HETARB,2.38
PPW1345.37,PPW1345,A2,TR,2273.9,HETARB,1.63
PPW1345.38,PPW1345,A2,TR,2273.1,HETARB,1.47
PPW1345.39,PPW1345,A2,TR,2273.11,HETARB,2.14
PPW1345.52,PPW1345,A4,TR,2279,HETARB,2.33
PPW1345.53,PPW1345,A4,TR,2279.1,HETARB,1.94
PPW1345.54,PPW1345,A4,TR,2279.2,HETARB,1.2
PPW1345.55,PPW1345,A4,TR,2279.3,HETARB,3.25
PPW1345.56,PPW1345,A4,TR,2279.4,HETARB,2.8
PPW1345.57,PPW1345,A4,TR,2279.5,HETARB,1.77
PPW1345.58,PPW1345,A4,TR,2279.6,HETARB,1.71
PPW1345.59,PPW1345,A4,TR,2279.7,HETARB,3.33
PPW1345.60,PPW1345,A4,TR,2279.8,HETARB,2.91
PPW1345.61,PPW1345,A4,TR,2279.9,HETARB,3.06
PPW1345.62,PPW1345,A4,TR,2279.1,HETARB,1.69
PPW1345.63,PPW1345,A4,TR,2279.11,HETARB,1.13
PPW1345.64,PPW1345,A4,TR,2279.12,HETARB,2.18
PPW1345.65,PPW1345,A4,TR,2279.13,HETARB,2.05
PPW1345.66,PPW1345,A4,TR,2279.14,HETARB,3.77
PPW1345.67,PPW1345,A4,TR,2279.15,HETARB,2.32
PPW1345.68,PPW1345,A4,TR,2279.16,HETARB,3.99
PPW1345.69,PPW1345,A4,TR,2280,HETARB,6.55
PPW1345.70,PPW1345,A4,TR,2280.1,HETARB,3.12
PPW1345.71,PPW1345,A4,TR,2280.2,HETARB,3.26
PPW1345.73,PPW1345,B4,TR,2247,HETARB,1.46
PPW1345.76,PPW1345,B4,TR,2242,HETARB,1.5
PPW1345.77,PPW1345,B4,TR,2242.1,HETARB,1.27
PPW1345.78,PPW1345,B4,TR,2242.2,HETARB,1.56
PPW1345.79,PPW1345,B4,TR,2242.3,HETARB,1.29
PPW1345.86,PPW1345,B3,TR,2283,HETARB,2.49
PPW1345.87,PPW1345,B3,TR,2283.1,HETARB,1.87
PPW1345.88,PPW1345,B3,TR,2283.2,HETARB,1.3
PPW1345.89,PPW1345,B3,TR,2283.3,HETARB,1.48
PPW1345.90,PPW1345,B3,TR,2253,HETARB,8.6
PPW1345.91,PPW1345,B3,TR,2253.1,HETARB,6.6
PPW1345.92,PPW1345,B3,TR,2253.2,HETARB,6.19
PPW1345.93,PPW1345,B3,TR,2253.3,HETARB,10
PPW1345.94,PPW1345,B3,TR,2284,HETARB,3.54
PPW1345.95,PPW1345,B3,TR,2284.1,HETARB,1.85
PPW1345.96,PPW1345,B3,TR,2284.2,HETARB,1.76
PPW1345.97,PPW1345,B3,TR,2284.3,HETARB,4.12
PPW1345.98,PPW1345,B3,TR,2284.4,HETARB,3.15
PPW1345.99,PPW1345,B3,TR,2252,HETARB,1.75
PPW1345.102,PPW1345,B3,TR,2252,HETARB,2.73
PPW1345.106,PPW1345,B3,TR,2236,HETARB,2.51
PPW1345.108,PPW1345,B3,TR,2255,HETARB,2.24
PPW1345.113,PPW1345,B1,TR,2240,HETARB,3.56
PPW1345.114,PPW1345,B1,TR,2240.1,HETARB,1.84
PPW1345.115,PPW1345,B1,TR,2240.2,HETARB,2.51
PPW1345.116,PPW1345,B1,TR,2240.3,HETARB,4.41
PPW1345.117,PPW1345,B1,TR,2240.4,HETARB,1.9
PPW1345.118,PPW1345,B1,TR,2240.5,HETARB,5.1
PPW1345.119,PPW1345,B1,TR,2241,HETARB,2.92
PPW1345.120,PPW1345,B1,TR,2241.1,HETARB,1.18
PPW1345.121,PPW1345,B1,TR,2241.2,HETARB,1.18
PPW1345.122,PPW1345,B1,TR,2241.3,HETARB,2.44
PPW1345.124,PPW1345,B1,TR,2239,HETARB,1.37
PPW1345.125,PPW1345,B1,TR,2239.1,HETARB,1.13
PPW1345.156,PPW1345,B2,TR,2285,HETARB,4.08
PPW1345.157,PPW1345,B2,TR,2285.1,HETARB,4.44
PPW1345.158,PPW1345,B2,TR,2285.2,HETARB,2.69
PPW1345.159,PPW1345,B2,TR,2285.3,HETARB,2.63
PPW1345.160,PPW1345,B2,TR,2285.4,HETARB,1.2
PPW1345.161,PPW1345,B2,TR,2285.5,HETARB,3.72
PPW1345.162,PPW1345,B2,TR,2285.6,HETARB,3.04
PPW1345.163,PPW1345,B2,TR,2285.7,HETARB,1.88
PPW1345.164,PPW1345,B2,TR,2285.8,HETARB,2.33
PPW1345.165,PPW1345,B2,TR,2286,HETARB,3.59
PPW1345.166,PPW1345,B2,TR,2286.1,HETARB,2.73
PPW1345.167,PPW1345,B2,TR,1901,HETARB,2.69
PPW1345.168,PPW1345,B2,TR,1901.1,HETARB,1.29
PPW1345.171,PPW1345,B2,TR,2290,HETARB,3.55
PPW1345.172,PPW1345,B2,TR,2290.1,HETARB,2.61
PPW1345.173,PPW1345,B2,TR,2290.2,HETARB,2.61
PPW1345.174,PPW1345,B2,TR,2290.3,HETARB,2.45
PPW1345.175,PPW1345,B2,TR,2290.4,HETARB,1.97
PPW1345.176,PPW1345,B2,TR,2290.5,HETARB,1.81
PPW1345.177,PPW1345,B2,TR,2290.6,HETARB,2.1
PPW1345.178,PPW1345,B2,TR,2290.7,HETARB,1.33
PPW1345.180,PPW1345,B2,TR,2291,HETARB,2.6
PPW1345.181,PPW1345,B2,TR,2291.1,HETARB,1.87
PPW1345.182,PPW1345,B2,TR,2291.2,HETARB,1.37
PPW1345.183,PPW1345,B2,TR,2291.3,HETARB,1.52
PPW1345.185,PPW1345,B2,TR,2294,HETARB,2.05
PPW1345.186,PPW1345,B2,TR,2294.1,HETARB,1.84
PPW1345.189,PPW1345,B2,TR,2296,HETARB,3.43
PPW1345.190,PPW1345,B2,TR,2296.1,HETARB,1.69
PPW1345.191,PPW1345,B2,TR,2296.2,HETARB,1.46
PPW1345.193,PPW1345,B2,TR,2298,HETARB,5.78
PPW1345.194,PPW1345,B2,TR,2298.1,HETARB,4.38
