Num,code,species,common_name
1,ADEFAS,Adenostoma fasciculatum,Chamise
2,AESCAL,Aesculus californica,Buckeye
3,AMOCAL,Amorpha californica,California false indigo
4,ARBMEN,Arbutus menziesii,Madrone
5,ARCMAN,Arctostaphylos manzanita,Manzanita
6,BACPIL,Baccharis pilularis,Coyote bush
7,FRACAL,Frangula californica,Coffeeberry
8,HETARB,Heteromeles arbutifolia,Toyon
9,NOTDEN,Notholithocarpus densiflora,Tanoak
10,PSEMEN,Pseudotsuga menziesii,Doug-fir
11,QUEAGKE,Quercus agrifolia/kelloggii,Coast live oak/black oak
12,QUEAGR,Quercus agrifolia,Coast live oak
13,QUEBER,Quercus berberidifolia,Scrub oak
14,QUEDEC,Quercus douglasii/garryana (TBD),Blue oak/Oregon oak
15,QUEDOU,Quercus douglasii,Blue oak
16,QUEGAR,Quercus garryana,Oregon oak
17,QUEKEL,Quercus kelloggii,Black oak
18,QUELOB,Quercus lobata,Valley oak
19,QUEWIS,Quercus wislizeni,Interior live oak
20,UMBCAL,Umbellularia california,California Bay
