DATE,PLOT,INITALS,SPECIES,A1_cover,A1_pheno,A2_cover,A2_pheno,A3_cover,A3_pheno,A4_cover,A4_pheno,B4_cover,B4_pheno,C4_cover,C4_pheno,D4_cover,D4_pheno,D3_cover,D3_pheno,D2_cover,D2_pheno,D1_cover,D1_pheno,C1_cover,C1_pheno,B1_cover,B1_pheno,NOTES
20160413,1301,"RO, MFO, PW",BRIMAX,,,3,VEG,1,VEG,,,,,,,,,2,VEG,1,VEG,1,VEG,1,VEG,,,No hairs
20160413,1301,"RO, MFO, PW",GALAPA,3,FRT,2,FRT,1,FRT,3,FRT,1,FLR,1,FRT,1,FLR,2,FRT,3,FRT,2,FRT,,,1,FRT,
20160413,1301,"RO, MFO, PW",ELYGLA,,,4,VEG,,,,,,,2,VEG,,,,,,,,,,,,,
20160413,1301,"RO, MFO, PW",RANOCC,1,VEG,2,FRT,2,FRT,1,VEG,2,FLR,1,VEG,2,FLR,,,3,FRT,2,FRT,1,FRT,,,
20160413,1301,"RO, MFO, PW",TORARV,1,VEG,3,VEG,2,VEG,3,VEG,2,VEG,2,VEG,2,VEG,2,VEG,,,3,VEG,1,VEG,1,VEG,
20160413,1301,"RO, MFO, PW",SHEARV,,,1,FLR,,,,,,,,,,,,,,,,,,,,,
20160413,1301,"RO, MFO, PW",SANCRA,5,VEG,5,VEG,9,VEG,2,VEG,4,VEG,3,VEG,1,VEG,1,VEG,,,3,FRT,1,VEG,2,VEG,
20160413,1301,"RO, MFO, PW",VICSAT,1,VEG,1,FLR,1,FLR,2,FLR,1,VEG,1,FLR,,,,,,,1,FLR,1,VEG,1,FRT,
20160413,1301,"RO, MFO, PW",NEMHET,,,,,1,FRT,,,2,FLR,2,FLR,,,,,,,,,,,,,
20160413,1301,"RO, MFO, PW",BRADIS,15,VEG,4,VEG,1,VEG,1,VEG,2,VEG,1,VEG,1,VEG,2,VEG,4,VEG,4,VEG,10,VEG,13,VEG,"Hairy nodes (""fur collar/belt"") --> changed from CYNECH to BRA DIS on 4/14 after ID"
20160413,1301,"RO, MFO, PW",YABMIC,,,1,VEG,1,FLR,,,,,1,VEG,1,VEG,1,VEG,2,VEG,1,VEG,,,,,
20160413,1301,"RO, MFO, PW",BRODIA,1,VEG,1,FLR,,,,,1,VEG,,,1,FLR,,,,,3,FLR,3,FLR,1,FLR,
20160413,1301,"RO, MFO, PW",LATSPH,,,1,VEG,1,VEG,1,VEG,2,VEG,4,VEG,1,VEG,1,VEG,,,2,VEG,1,FLR,1,VEG,possibly some LATANG - LATSHE is the only one in flower in the subplot
20160413,1301,"RO, MFO, PW",DICCAP,,,1,VEG,1,VEG,1,VEG,1,VEG,,,2,VEG,1,VEG,,,1,VEG,1,VEG,,,
20160413,1301,"RO, MFO, PW",DELPAT,,,,,,,,,1,VEG,,,,,,,,,,,,,,,
20160413,1301,"RO, MFO, PW",MELTOR,,,,,1,FLR,,,,,,,,,,,,,,,,,,,
20160413,1301,"RO, MFO, PW",UNKPER,,,,,1,FLR,,,,,,,,,,,,,,,,,,,festuca?
20160413,1301,"RO, MFO, PW",FESCAL,,,,,7,VEG,,,,,,,1,VEG,33,FLR,4,VEG,,,,,,,
20160413,1301,"RO, MFO, PW",CARCAL,1,FRT,,,1,VEG,1,VEG,1,VEG,,,1,VEG,1,VEG,1,FRT,1,VEG,,,,,
20160413,1301,"RO, MFO, PW",TONTEN,,,,,,,1,FRT,2,FRT,1,FRT,1,FRT,,,,,,,,,,,
20160413,1301,"RO, MFO, PW",GALCAL,,,,,,,1,VEG,,,,,,,3,FLR,1,FLR,1,FLR,,,1,VEG,
20160413,1301,"RO, MFO, PW",MELGEY,,,,,,,1,VEG,,,,,,,,,,,,,,,,,
20160413,1301,"RO, MFO, PW",PENTRI,,,,,,,2,VEG,,,,,,,,,,,,,,,,,
20160413,1301,"RO, MFO, PW",CLAPER,,,,,,,,,,,1,FLR,,,1,FLR,1,FRT,,,,,,,basal leaves linear
20160413,1301,"RO, MFO, PW",STEMED,,,,,,,,,1,FLR,,,,,,,,,,,,,,,
20160413,1301,"RO, MFO, PW",LUZCOM,,,,,,,,,2,FRT,,,,,,,,,,,1,FRT,,,
20160413,1301,"RO, MFO, PW",TRIBIF,1,FRT,,,,,,,,,1,FRT,1,VEG,,,1,FLR,1,FLR,1,FLR,1,FLR,
20160413,1301,"RO, MFO, PW",FRIAFF,,,,,,,,,,,,,,,,,,,,,,,,,
20160413,1301,"RO, MFO, PW",ANIMAD,,,,,,,,,,,,,,,1,VEG,,,,,,,,,
20160413,1301,"RO, MFO, PW",GALPAR,1,VEG,,,,,,,,,,,,,1,VEG,1,VEG,1,VEG,1,VEG,1,VEG,
20160413,1301,"RO, MFO, PW",AIRCAR,,,,,,,,,,,,,,,1,FLR,,,,,1,FRT,,,
20160413,1301,"RO, MFO, PW",FESBRO,,,,,,,,,,,,,,,,,1,FLR,,,,,,,
20160413,1301,"RO, MFO, PW",CHLPOM,,,,,,,,,,,,,,,,,,,,,,,,,
20160413,1301,"RO, MFO, PW",MICGRA,,,,,,,,,,,,,,,,,1,FLR,,,1,FRT,,,
20160413,1301,"RO, MFO, PW",TRIOLI,,,,,,,,,,,,,,,,,1,FLR,1,FLR,,,,,
20160413,1301,"RO, MFO, PW",LYSARV,,,,,,,,,,,,,,,,,,,1,VEG,1,VEG,1,VEG,
20160413,1301,"RO, MFO, PW",AVEBAR,,,,,,,,,,,,,,,,,,,1,FLR,,,1,FLR,
20160413,1301,"RO, MFO, PW",PRIHEN,,,,,,,,,,,,,,,,,,,,,,,,,
20160413,1301,"RO, MFO, PW",TRICIL,,,,,,,,,,,,,,,,,,,,,,,,,
20160413,1301,"RO, MFO, PW",TRIWIL,,,,,,,,,,,,,,,,,,,,,1,FLR,,,
20160413,1301,"RO, MFO, PW",LUPBIC,,,,,,,,,,,,,,,,,,,,,3,FRT,,,
20160413,1301,"RO, MFO, PW",ACMPAR,,,,,,,,,,,,,,,,,,,,,1,FLR,,,
20160413,1301,"RO, MFO, PW",LEOSAX,,,,,,,,,,,,,,,,,,,,,1,VEG,,,
