Plot ID,1345,,Sampler(s),"MK, KO, MO, AC",,,,,Date ,"20180628, 20180629",,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,Notes
A3,SA,2278,,,UMBCAL,1,0,,,,,2.22,0,,91.1,3,,og dead
A3,SA,2276,,,UMBCAL,1,0,0,0,0,,1.52,0,,90.2,1,,og dead (marked as HETARB)
A3,TR,2277,,,ARCMAN,0,0,0,0,0,,,,5.75,,,,
A3,TR,2258,,,PSEMEN,1,0,0,1,4,,,,16.8,,,,
A4,TR,2280,,,HETARB,1,1,0,0,0,,,,7.28,125.2,23,,
A4,TR,2280.1,,,HETARB,0,0,0,0,0,,,,3.07,,,,
A4,TR,2280.2,,,HETARB,0,0,0,0,0,,,,3.2,,,,
A4,TR,2279,,,HETARB,0,1,0,0,0,,,,2.51,118,301,,og dead
A4,TR,2279.16,,,HETARB,0,0,0,0,0,,,,3.87,,,,og dead
A4,TR,2279.2,,,HETARB,0,0,0,0,0,,,,1.92,,,,og dead
A4,TR,2279.1,,,HETARB,0,0,0,0,0,,,,1.51,,,,og dead
A4,TR,2279.13,,,HETARB,0,0,0,0,0,,,,3.11,,,,og dead
A4,TR,2279.12,,,HETARB,0,0,0,0,0,,,,1.91,,,,
A4,TR,2279.6,,,HETARB,0,0,0,0,0,,,,2.23,,,,
A4,TR,2279.3,,,HETARB,1,1,0,0,0,,,,3.68,,0,,
A4,TR,2279.7,,,HETARB,1,1,0,0,0,,,,3.66,,0,,
A4,TR,2279.14,,,HETARB,0,0,0,0,0,,,,2.42,,,,
A4,TR,2279.5,,,HETARB,0,0,0,0,0,,,,2.87,,,,
A4,TR,2279.4,,,HETARB,0,0,0,0,0,,,,3.88,,,,
A4,TR,2279.8,,,HETARB,1,1,0,0,0,,,,2.16,,0,,
A4,TR,2279.17,,,HETARB,0,0,0,0,0,,,,1.89,,,,
A4,TR,2279.9,,,HETARB,0,0,0,0,0,,,,2.99,,,,
A4,TR,2279.11,,,HETARB,0,0,0,0,0,,,,1.11,,,,
A4,TR,2279.15,,,HETARB,0,0,0,0,0,,,,1.73,,,,
B4,TR,2248,,,QUEDOU,1,0,0,1,3,,,,23.7,,,,
B4,TR,2247,,,HETARB,1,1,0,0,0,,,,1.47,122,5,,
B4,TR,2246,,,QUEDOU,1,0,0,1,2,,,,37.4,,,,
B4,TR,2242,,,HETARB,1,1,0,0,0,,,,1.12,108.8,11,,
B4,TR,2242.1,,,HETARB,0,0,0,0,0,,,,1.31,,,,
B4,TR,2242.2,,,HETARB,0,1,0,0,0,,,,,,,,og dead and gone
B4,TR,2242.3,,,HETARB,0,1,0,0,0,,,,,,,,og dead and gone
B4,TR,2243,,,QUEAGR,1,1,0,0,0,,,,1.4,78,1,,
B4,TR,2243.1,,,QUEAGR,0,0,0,0,0,,,,2.3,,,,
B4,TR,2244,,,UMBCAL,0,1,0,0,0,,3.27,0,1.5,117.6,3,,og dead
B4,TR,2245,,,UMBCAL,1,1,0,0,0,,1.08,0,,55,1,,
B3,TR,2252,,,HETARB,0,1,0,0,0,,,,1.51,97.3,1,,og dead
B3,TR,2252.1,,,HETARB,0,1,0,0,0,,,,1.39,62,6,,og dead
B3,TR,2284,,,HETARB,0,0,0,0,0,,,,4.01,,,,
B3,TR,2284.3,,,HETARB,0,1,0,0,0,,,,4.99,89.3,5,,og dead
B3,TR,2284.1,,,HETARB,0,0,0,0,0,,,,,,,,can't find
D4,TR,1944,,,ARCMAN,0,0,0,1,3,,,,11.1,,,,
D4,TR,1944.1,,,ARCMAN,0,0,0,0,0,,,,6.1,,,,
D4,TR,1944.2,,,ARCMAN,0,0,0,0,0,,,,5.3,,,,
D4,TR,1944.3,,,ARCMAN,0,0,0,0,0,,,,6.6,,,,
D4,TR,1944.4,,,ARCMAN,0,0,0,0,0,,,,6,,,,
D4,TR,1944.5,,,ARCMAN,0,0,0,0,0,,,,8.9,,,,
D4,SA,1935,,,HETARB,0,1,,,,,0.93,0,,40,0,,og dead
D4,TR,1919,,,PSEMEN,0,0,0,0,0,,,,1.4,,,,"became a tree, but dead"
D4,SA,1920,,,QUEAGR,0,1,,,,,0.98,0,,17.6,0,,og dead
D4,SA,5587,,,HETARB,1,0,,,,78.6,0.43,0,,,,,new SA
C4,TR,1940,,,QUEGAR,1,0,0,1,4,,,,29.4,,,,
C4,TR,1938,,,QUEDOU,1,0,,1,2,,,,18.9,,,,
C3,TR,1936,,,QUEDOU,1,0,0,1,2,,,,24.2,,,,
C4,TR,1939,,,QUEDOU,0,0,0,0,0,,,,,,,,"dead and snag, tag not found"
C3,SA,1937,,,QUEAGR,0,1,,,,,1.8,0,,61.8,5,,og dead
C1,TR,1934,,,ARCMAN,1,0,0,1,3,,,,21.1,,,,
C1,TR,1934.1,,,ARCMAN,0,0,0,0,0,,,,16.4,,,,
C1,TR,1934.2,,,ARCMAN,1,0,0,1,2,,,,14.8,,,,
C1,TR,1934.3,,,ARCMAN,1,0,0,1,2,,,,8.8,,,,
