"","Plot","UTM.x","UTM.y","AEA.x","AEA.y","GEO.x","GEO.y"
"1","PPW1301",526273.898160114,4270355.26855954,-234768.911355131,66138.6032334752,-122.698347511,38.5812772163529
"2","PPW1302",525458.732677738,4269583.34036297,-235607.413432093,65391.564968091,-122.707734559478,38.5743444279525
"3","PPW1303",526154.900027297,4269071.82779433,-234928.528652789,64857.334288294,-122.699761866422,38.5697145028377
"4","PPW1304",525955.691061749,4269224.71064264,-235122.584907722,65016.7263366459,-122.702042913212,38.5710981105876
"5","PPW1305",526069.156989524,4269636.51359937,-234996.197185701,65425.4452828807,-122.70072500734,38.5748059126482
"6","PPW1306",526033.988592869,4270893.04334645,-234991.375366386,66684.656920515,-122.701081805892,38.5861306433898
"7","PPW1307",525899.186646549,4270670.17332532,-235133.063393947,66465.7848671158,-122.702637844352,38.5841261087872
"8","PPW1308",522759.035561761,4273147.02531638,-238189.909998383,69045.2879887125,-122.738610263019,38.6065332687503
"9","PPW1309",522844.00493096,4273346.25636228,-238098.733830811,69242.0718055265,-122.737627852845,38.6083265291417
"10","PPW1310",522794.914902268,4273550.34407193,-238141.267527689,69447.9684668235,-122.738184981388,38.6101670032494
"11","PPW1311",522471.595166781,4273311.62277474,-238471.701902475,69219.2022612183,-122.741906199125,38.6080239274276
"12","PPW1312",522517.941780331,4272846.67410978,-238440.195906361,68752.2081603543,-122.741388937114,38.6038326931115
"13","PPW1313",522854.985164115,4272676.80264977,-238109.041405466,68571.4404710182,-122.737523719653,38.6022932145728
"14","PPW1314",523249.432505466,4272556.34739941,-237718.996929636,68438.3297376218,-122.732997787433,38.6011974391446
"15","PPW1315",524744.060998733,4271569.92216367,-236257.899622502,67403.2865900826,-122.715868340879,38.5922674833687
"16","PPW1316",524780.530807826,4271730.90298861,-236216.367047155,67563.3109335843,-122.71544384267,38.5937172050743
"17","PPW1317",524791.426903259,4271598.15481784,-236209.705778711,67430.0522745517,-122.715323448083,38.592520590876
"18","PPW1318",524619.604252657,4271852.75015938,-236373.185796329,67690.41271692,-122.717287443293,38.5948197548907
"19","PPW1319",524520.977575619,4271785.61561592,-236473.801788604,67626.322347383,-122.718422346686,38.5942174770986
"20","PPW1320",524383.728118113,4269335.79863362,-236688.703484465,65177.8031482045,-122.720084094417,38.572143767381
"21","PPW1321",524749.213177565,4269597.12786096,-236315.451172872,65427.8698463142,-122.715879237128,38.5744887336192
"22","PPW1322",525098.087822444,4269558.2137142,-235968.326338349,65377.8438769798,-122.711875606485,38.5741282532634
"23","PPW1323",523293.956208318,4272423.2917432,-237678.76619154,68303.6973277968,-122.732490922417,38.5999971903098
"24","PPW1324",523812.983763825,4272006.0823107,-237173.754297555,67869.5130533483,-122.726544709402,38.5962235742377
"25","PPW1325",526476.925038028,4270813.14985148,-234551.628317203,66590.615145233,-122.695999180169,38.5853975545472
"26","PPW1326",525176.478410783,4271392.01480942,-235831.76948114,67211.4450058327,-122.710909456071,38.5906520449496
"27","PPW1327",522923.996717107,4268886.86131137,-238160.552354056,64774.5849834303,-122.736855842493,38.5681368491499
"28","PPW1328",524432.063393299,4269667.97867377,-236629.883063498,65508.8659477686,-122.719517590575,38.5751360152752
"29","PPW1329",524098.150643073,4271807.24334387,-236895.323036694,67661.3848133367,-122.723276923464,38.5944239644714
"30","PPW1330",523780.817343631,4271478.60258879,-237222.63573792,67342.397599224,-122.726932095176,38.5914708513177
"31","PPW1331",523514.663081387,4271819.85828256,-237477.556649888,67692.5166228162,-122.729976712539,38.5945532994453
