plot,date,device,quad,reading
PPW1320,20140516,ack,A1,3.6
PPW1320,20140516,ack,A2,4.2
PPW1320,20140516,ack,A3,1.6
PPW1320,20140516,ack,A4,3.7
PPW1320,20140516,ack,B4,2.5
PPW1320,20140516,ack,B3,1.5
PPW1320,20140516,ack,B2,5.3
PPW1320,20140516,ack,B1,2.6
PPW1320,20140516,ack,C1,4.3
PPW1320,20140516,ack,C2,4.7
PPW1320,20140516,ack,C3,1.9
PPW1320,20140516,ack,C4,1.3
PPW1320,20140516,ack,D4,1.6
PPW1320,20140516,ack,D3,2.4
PPW1320,20140516,ack,D2,2.3
PPW1320,20140516,ack,D1,4.9
PPW1328,20140516,ack,A1,2.9
PPW1328,20140516,ack,A2,5.5
PPW1328,20140516,ack,A3,5.3
PPW1328,20140516,ack,A4,6.8
PPW1328,20140516,ack,B4,10.2
PPW1328,20140516,ack,B3,9
PPW1328,20140516,ack,B2,6.5
PPW1328,20140516,ack,B1,3.3
PPW1328,20140516,ack,C1,8.1
PPW1328,20140516,ack,C2,5.8
PPW1328,20140516,ack,C3,6.7
PPW1328,20140516,ack,C4,6.3
PPW1328,20140516,ack,D4,4.3
PPW1328,20140516,ack,D3,4.8
PPW1328,20140516,ack,D2,5.2,
PPW1328,20140516,ack,D1,3.8,
PPW1321,20140516,ack,A1,3.5,
PPW1321,20140516,ack,A2,2.9, 
PPW1321,20140516,ack,A3,10.2,
PPW1321,20140516,ack,A4,16.1,
PPW1321,20140516,ack,B4,3.9,
PPW1321,20140516,ack,B3,6.8,
PPW1321,20140516,ack,B2,4,
PPW1321,20140516,ack,B1,2.2,
PPW1321,20140516,ack,C1,4.6,
PPW1321,20140516,ack,C2,2.6,
PPW1321,20140516,ack,C3,4.4,
PPW1321,20140516,ack,C4,1.2,
PPW1321,20140516,ack,D4,4.9,
PPW1321,20140516,ack,D3,6.1
PPW1321,20140516,ack,D2,4.2
PPW1321,20140516,ack,D1,7.6
PPW1338,20140516,ack,A1,14.5
PPW1338,20140516,ack,A2,11.8
PPW1338,20140516,ack,A3,5.9
PPW1338,20140516,ack,A4,NA
PPW1338,20140516,ack,B4,10.8
PPW1338,20140516,ack,B3,10.3
PPW1338,20140516,ack,B2,15.9
PPW1338,20140516,ack,B1,12.9
PPW1338,20140516,ack,C1,15.6
PPW1338,20140516,ack,C2,12.6
PPW1338,20140516,ack,C3,10.3
PPW1338,20140516,ack,C4,9.7
PPW1338,20140516,ack,D4,13.9
PPW1338,20140516,ack,D3,10.9
PPW1338,20140516,ack,D2,12.5
PPW1338,20140516,ack,D1,4.9
PPW1339,20140516,ack,A1,8.2
PPW1339,20140516,ack,A2,7.3
PPW1339,20140516,ack,A3,6.6
PPW1339,20140516,ack,A4,9.4
PPW1339,20140516,ack,B4,8.7
PPW1339,20140516,ack,B3,8.4
PPW1339,20140516,ack,B2,5.3
PPW1339,20140516,ack,B1,5.8
PPW1339,20140516,ack,C1,7.3
PPW1339,20140516,ack,C2,4.4
PPW1339,20140516,ack,C3,5.6
PPW1339,20140516,ack,C4,5.9
PPW1339,20140516,ack,D4,9.1
PPW1339,20140516,ack,D3,5.8
PPW1339,20140516,ack,D2,4.8
PPW1339,20140516,ack,D1,4.1
PPW1322,20140516,ack,A1,7.2
PPW1322,20140516,ack,A2,5.9
PPW1322,20140516,ack,A3,6.7
PPW1322,20140516,ack,A4,10.7
PPW1322,20140516,ack,B4,4.6
PPW1322,20140516,ack,B3,9.6
PPW1322,20140516,ack,B2,8.4
PPW1322,20140516,ack,B1,8.8
PPW1322,20140516,ack,C1,6.4
PPW1322,20140516,ack,C2,20.9
PPW1322,20140516,ack,C3,10.6
PPW1322,20140516,ack,C4,7.9
PPW1322,20140516,ack,D4,4.5
PPW1322,20140516,ack,D3,6.7
PPW1322,20140516,ack,D2,4.5
PPW1322,20140516,ack,D1,25.9
PPW1302,20140516,ack,A1,4.8
PPW1302,20140516,ack,A2,6.5
PPW1302,20140516,ack,A3,7.9
PPW1302,20140516,ack,A4,6.7
PPW1302,20140516,ack,B4,7.8
PPW1302,20140516,ack,B3,4.8
PPW1302,20140516,ack,B2,5.7
PPW1302,20140516,ack,B1,7.3
PPW1302,20140516,ack,C1,3.6
PPW1302,20140516,ack,C2,6.5
PPW1302,20140516,ack,C3,2.4
PPW1302,20140516,ack,C4,6.1
PPW1302,20140516,ack,D4,3.1
PPW1302,20140516,ack,D3,5.9
PPW1302,20140516,ack,D2,6.1
PPW1302,20140516,ack,D1,8.5
PPW1350,20140517,ack,A1,5.5
PPW1350,20140517,ack,A2,4.1
PPW1350,20140517,ack,A3,3.8
PPW1350,20140517,ack,A4,4.9
PPW1350,20140517,ack,B4,3.6
PPW1350,20140517,ack,B3,6.1
PPW1350,20140517,ack,B2,5.4
PPW1350,20140517,ack,B1,4.1
PPW1350,20140517,ack,C1,5.1
PPW1350,20140517,ack,C2,3.5
PPW1350,20140517,ack,C3,2.3
PPW1350,20140517,ack,C4,5.7
PPW1350,20140517,ack,D4,4.8
PPW1350,20140517,ack,D3,5.9
PPW1350,20140517,ack,D2,4.1
PPW1350,20140517,ack,D1,2.7
PPW1348,20140517,ack,A1,3.3
PPW1348,20140517,ack,A2,3.8
PPW1348,20140517,ack,A3,2.2
PPW1348,20140517,ack,A4,4.5
PPW1348,20140517,ack,B4,5.3
PPW1348,20140517,ack,B3,5.7
PPW1348,20140517,ack,B2,3.5
PPW1348,20140517,ack,B1,4.9
PPW1348,20140517,ack,C1,6
PPW1348,20140517,ack,C2,4.1
PPW1348,20140517,ack,C3,4.5
PPW1348,20140517,ack,C4,7
PPW1348,20140517,ack,D4,5.3
PPW1348,20140517,ack,D3,7.1
PPW1348,20140517,ack,D2,4.3
PPW1348,20140517,ack,D1,3.9
PPW1347,20140517,ack,A1,5.9
PPW1347,20140517,ack,A2,9.8
PPW1347,20140517,ack,A3,4.8
PPW1347,20140517,ack,A4,7.5
PPW1347,20140517,ack,B4,7.4
PPW1347,20140517,ack,B3,5.3
PPW1347,20140517,ack,B2,5
PPW1347,20140517,ack,B1,2.8
PPW1347,20140517,ack,C1,12
PPW1347,20140517,ack,C2,5.6
PPW1347,20140517,ack,C3,8.5
PPW1347,20140517,ack,C4,7.4
PPW1347,20140517,ack,D4,10
PPW1347,20140517,ack,D3,8.6
PPW1347,20140517,ack,D2,7.5
PPW1347,20140517,ack,D1,11.6
PPW1327,20140517,ack,A1,8.9
PPW1327,20140517,ack,A2,5
PPW1327,20140517,ack,A3,2
PPW1327,20140517,ack,A4,5.5
PPW1327,20140517,ack,B4,6.4
PPW1327,20140517,ack,B3,3.9
PPW1327,20140517,ack,B2,9.5
PPW1327,20140517,ack,B1,6.9
PPW1327,20140517,ack,C1,7.2
PPW1327,20140517,ack,C2,6.3
PPW1327,20140517,ack,C3,NA
PPW1327,20140517,ack,C4,7.8
PPW1327,20140517,ack,D4,3.7
PPW1327,20140517,ack,D3,8.5
PPW1327,20140517,ack,D2,9.8
PPW1327,20140517,ack,D1,9.3
PPW1337,20140514,ack,A1,11.3
PPW1337,20140514,ack,A2,15.3
PPW1337,20140514,ack,A3,21.2
PPW1337,20140514,ack,A4,4
PPW1337,20140514,ack,B4,7.6
PPW1337,20140514,ack,B3,10.4
PPW1337,20140514,ack,B2,13.8
PPW1337,20140514,ack,B1,6.2
PPW1337,20140514,ack,C1,  
PPW1337,20140514,ack,C2,7.8
PPW1337,20140514,ack,C3,11.1
PPW1337,20140514,ack,C4,8.3
PPW1337,20140514,ack,D4,3.8
PPW1337,20140514,ack,D3,11.8
PPW1337,20140514,ack,D2,8.9
PPW1337,20140514,ack,D1,5.9
PPW1306,20140516,ack,A1,11.7
PPW1306,20140516,ack,A2,8.8
PPW1306,20140516,ack,A3,13.5
PPW1306,20140516,ack,A4,10.5
PPW1306,20140516,ack,B4,10.6
PPW1306,20140516,ack,B3,11.1
PPW1306,20140516,ack,B2,9.4
PPW1306,20140516,ack,B1,14.8
PPW1306,20140516,ack,C1,9.7
PPW1306,20140516,ack,C2,17.8
PPW1306,20140516,ack,C3,7.2
PPW1306,20140516,ack,C4,9.9
PPW1306,20140516,ack,D4,6.8
PPW1306,20140516,ack,D3,11.4
PPW1306,20140516,ack,D2,15.7
PPW1306,20140516,ack,D1,9.7
PPW1307,20140516,ack,A1,8.6
PPW1307,20140516,ack,A2,4.7
PPW1307,20140516,ack,A3,6.7
PPW1307,20140516,ack,A4,5.9
PPW1307,20140516,ack,B4,2.9
PPW1307,20140516,ack,B3,6.3
PPW1307,20140516,ack,B2,3.9
PPW1307,20140516,ack,B1,9.1
PPW1307,20140516,ack,C1,4.5
PPW1307,20140516,ack,C2,6.5
PPW1307,20140516,ack,C3,6.9
PPW1307,20140516,ack,C4,3.2
PPW1307,20140516,ack,D4,5.5
PPW1307,20140516,ack,D3,6.4
PPW1307,20140516,ack,D2,4.1
PPW1307,20140516,ack,D1,5.7
PPW1325,20140514,ack,A1,6.4
PPW1325,20140514,ack,A2,7.5
PPW1325,20140514,ack,A3,5.3
PPW1325,20140514,ack,A4,5.5
