PLOT,PPR1324W,INITIALS,"DDA, MFO",DATE,20160518,,
ID,QUAD,X,Y,SPECIES,HEIGHT,RESPROUT,NOTES
5254,5,58,83,QUEGAR,13,1,
5232,6,70,50,QUEGAR,13,1,
5264,7,0,42,QUEGAR,11,0,
5231,7,48,53,QUEGAR,9,1,
5255,7,68,61,QUEGAR,9,1,
5233,7,48,98,QUEGAR,9,1,
5267,8,2,9,QUEGAR,10,1,
5253,11,63,25,QUEGAR,9,1,
5366,11,31,80,QUEGAR,6,1,
5265,12,0,17,QUEGAR,8,1,
5254,12,0,52,QUEGAR,11,1,
5234,12,2,17,QUEGAR,7,1,
5263,12,5,19,QUEGAR,8,1,
5229,13,55,7,QUEGAR,10,1,
5272,13,18,80,QUEGAR,10,1,
5261,13,22,80,QUEGAR,13,1,
5249,13,79,96,QUEGAR,11,1,
5248,13,70,84,QUEGAR,8,1,
5243,13,71,72,QUEGAR,7,1,
5252,14,87,96,QUEGAR,6,1,
5245,14,5,61,QUEGAR,8,1,
5246,15,15,35,QUEGAR,13,1,
5227,15,57,47,QUEGAR,8,1,
5244,16,18,22,QUEGAR,15,1,
5256,16,40,27,QUEGAR,11,1,
5268,16,0,71,QUEGAR,7,1,
5270,17,52,45,QUEGAR,12,1,
5269,17,58,49,QUEDOU,7,1,
5259,21,15,83,QUEDOU,4,0,
5260,21,43,17,QUEGAR,9,1,
5238,21,65,46,QUEDOU,6,1,
5250,21,90,89,QUEDOU,12,1,
5251,22,39,56,QUEDOU,4,0,
5247,22,37,84,QUEDOU,8,1,
5258,22,79,83,QUEDOU,7,0,
5277,22,0,98,QUEGAR,7,1,
