PLOT,PPR1322S,INITIALS,"DDA,MFO",DATE,20160517,,
ID,QUAD,X,Y,SPECIES,HEIGHT,RESPROUT,NOTES
5237,20,42,21,QUEKEL,10,1,
5241,23,63,81,ARBMEN,5,0,
5230,24,5,56,QUEAGR,8,0,
5239,25,0,79,QUEKEL,8,1,
5240,26,67,55,QUEGAR,8,1,
