PLOT,PPR1322N,INITIALS,"DDA,MFO",DATE,20160517,,
ID,QUAD,X,Y,SPECIES,HEIGHT,RESPROUT,NOTES
5227,7,50,15,QUEDOU,13,0,
5228,7,91,34,QUEDOU,10,1,
5229,7,68,37,QUEDOU,10,1,
