PLOT,PPR1340W,INITIALS,"MFO, HW, MC",DATE,20160519,,
ID,QUAD,X,Y,SPECIES,HEIGHT,RESPROUT,NOTES
5460,5,25,15,QUEAGR,28,1,
5476,6,60,45,QUEAGR,31,1,
5459,6,47,65,PSEMEN,30,0,
5482,6,51,70,PSEMEN,3,0,
5302,6,66,80,UMBCAL,4,0,
5305,7,44,12,PSEMEN,38,0,
5495,14,31,62,QUEAGR,41,1,
5471,30,51,55,UMBCAL,37,1,
5473,30,22,10,PSEMEN,17,0,
5499,32,83,43,HETARB,9,0,
5325,32,26,49,QUEAGR,11,1,
5466,33,64,41,PSEMEN,5,0,
