PLOT,PPR1309S,INITIALS,"MFO, MC, HW",DATE,20160519,,
ID,QUAD,X,Y,SPECIES,HEIGHT,RESPROUT,NOTES
5327,19,99,58,HETARB,26,1,
5334,24,89,57,QUEDOU,8,1,
5484,28,83,47,ARBMEN,28,1,
