PLOT,PPR1309E,INITIALS,"MFO, HW, MC",DATE,20160519,,
ID,QUAD,X,Y,SPECIES,HEIGHT,RESPROUT,NOTES
5489,25,77,5,QUEDOU,12,1,
5500,28,81,12,QUEDOU,8,1,
5492,32,84,54,QUEDOU,6,1,
