PLOT,PPR1309,INITIALS,"MFO, HW, MC",DATE,20160519,,
ID,QUAD,X,Y,SPECIES,HEIGHT,RESPROUT,NOTES
5353,5,86,9,QUEDOU,7,1,
5364,7,95,78,QUEGAR,11,1,
