"Plot Title: PPW1342_10008136"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10008136, SEN S/N: 10008136)","RH, % (LGR S/N: 10008136, SEN S/N: 10008136)","Coupler Detached (LGR S/N: 10008136)","Bad Battery (LGR S/N: 10008136)","Coupler Attached (LGR S/N: 10008136)","Stopped (LGR S/N: 10008136)","End Of File (LGR S/N: 10008136)"
1,09/06/15 01:00:00 PM,30.571,15.542,Logged,,,,
2,09/06/15 01:30:00 PM,28.692,16.372,,,,,
3,09/06/15 02:00:00 PM,29.215,17.813,,,,,
4,09/06/15 02:30:00 PM,29.941,18.205,,,,,
5,09/06/15 03:00:00 PM,28.791,19.969,,,,,
6,09/06/15 03:30:00 PM,28.147,20.351,,,,,
7,09/06/15 04:00:00 PM,27.776,20.085,,,,,
8,09/06/15 04:30:00 PM,27.554,19.827,,,,,
9,09/06/15 05:00:00 PM,26.891,20.590,,,,,
10,09/06/15 05:30:00 PM,25.768,21.459,,,,,
11,09/06/15 06:00:00 PM,24.750,22.914,,,,,
12,09/06/15 06:30:00 PM,23.497,25.159,,,,,
13,09/06/15 07:00:00 PM,22.800,23.470,,,,,
14,09/06/15 07:30:00 PM,22.489,22.113,,,,,
15,09/06/15 08:00:00 PM,22.585,20.640,,,,,
16,09/06/15 08:30:00 PM,22.896,20.555,,,,,
17,09/06/15 09:00:00 PM,22.920,21.556,,,,,
18,09/06/15 09:30:00 PM,22.992,20.320,,,,,
19,09/06/15 10:00:00 PM,22.441,21.526,,,,,
20,09/06/15 10:30:00 PM,22.082,22.943,,,,,
21,09/06/15 11:00:00 PM,21.963,23.618,,,,,
22,09/06/15 11:30:00 PM,21.772,24.627,,,,,
23,09/07/15 12:00:00 AM,22.011,22.698,,,,,
24,09/07/15 12:30:00 AM,22.011,22.938,,,,,
25,09/07/15 01:00:00 AM,22.154,22.674,,,,,
26,09/07/15 01:30:00 AM,22.106,22.807,,,,,
27,09/07/15 02:00:00 AM,21.772,22.854,,,,,
28,09/07/15 02:30:00 AM,22.489,21.047,,,,,
29,09/07/15 03:00:00 AM,22.513,22.903,,,,,
30,09/07/15 03:30:00 AM,22.417,24.127,,,,,
31,09/07/15 04:00:00 AM,21.987,25.186,,,,,
32,09/07/15 04:30:00 AM,21.748,25.577,,,,,
33,09/07/15 05:00:00 AM,21.557,26.207,,,,,
34,09/07/15 05:30:00 AM,21.891,25.383,,,,,
35,09/07/15 06:00:00 AM,21.533,25.764,,,,,
36,09/07/15 06:30:00 AM,22.369,24.976,,,,,
37,09/07/15 07:00:00 AM,23.280,23.639,,,,,
38,09/07/15 07:30:00 AM,24.002,22.899,,,,,
39,09/07/15 08:00:00 AM,24.605,23.007,,,,,
40,09/07/15 08:30:00 AM,25.550,22.691,,,,,
41,09/07/15 09:00:00 AM,26.036,22.100,,,,,
42,09/07/15 09:30:00 AM,26.524,22.062,,,,,
43,09/07/15 10:00:00 AM,27.186,21.757,,,,,
44,09/07/15 10:30:00 AM,28.891,22.701,,,,,
45,09/07/15 11:00:00 AM,29.015,22.778,,,,,
46,09/07/15 11:30:00 AM,29.190,21.953,,,,,
47,09/07/15 12:00:00 PM,29.690,20.935,,,,,
48,09/07/15 12:30:00 PM,30.697,18.458,,,,,
49,09/07/15 01:00:00 PM,32.124,16.688,,,,,
50,09/07/15 01:30:00 PM,31.255,17.213,,,,,
51,09/07/15 02:00:00 PM,31.561,16.802,,,,,
52,09/07/15 02:30:00 PM,31.919,16.607,,,,,
53,09/07/15 03:00:00 PM,31.970,15.967,,,,,
54,09/07/15 03:30:00 PM,31.001,17.412,,,,,
55,09/07/15 04:00:00 PM,29.991,17.854,,,,,
56,09/07/15 04:30:00 PM,29.315,17.641,,,,,
57,09/07/15 05:00:00 PM,28.941,18.503,,,,,
58,09/07/15 05:30:00 PM,28.196,18.672,,,,,
59,09/07/15 06:00:00 PM,27.284,19.146,,,,,
60,09/07/15 06:30:00 PM,26.451,20.180,,,,,
61,09/07/15 07:00:00 PM,25.671,20.933,,,,,
62,09/07/15 07:30:00 PM,25.210,21.632,,,,,
63,09/07/15 08:00:00 PM,24.798,22.227,,,,,
64,09/07/15 08:30:00 PM,24.532,22.486,,,,,
65,09/07/15 09:00:00 PM,24.388,22.959,,,,,
66,09/07/15 09:30:00 PM,24.050,23.005,,,,,
67,09/07/15 10:00:00 PM,23.809,23.950,,,,,
68,09/07/15 10:30:00 PM,23.978,23.378,,,,,
69,09/07/15 11:00:00 PM,23.978,23.138,,,,,
70,09/07/15 11:30:00 PM,23.785,24.085,,,,,
71,09/08/15 12:00:00 AM,23.978,24.030,,,,,
72,09/08/15 12:30:00 AM,23.617,24.347,,,,,
73,09/08/15 01:00:00 AM,24.195,23.358,,,,,
74,09/08/15 01:30:00 AM,24.774,22.915,,,,,
75,09/08/15 02:00:00 AM,25.695,22.078,,,,,
76,09/08/15 02:30:00 AM,24.750,23.189,,,,,
77,09/08/15 03:00:00 AM,24.750,23.602,,,,,
78,09/08/15 03:30:00 AM,25.162,22.527,,,,,
79,09/08/15 04:00:00 AM,25.113,22.731,,,,,
80,09/08/15 04:30:00 AM,25.016,22.725,,,,,
81,09/08/15 05:00:00 AM,24.557,23.039,,,,,
82,09/08/15 05:30:00 AM,24.557,22.384,,,,,
83,09/08/15 06:00:00 AM,24.581,21.316,,,,,
84,09/08/15 06:30:00 AM,25.113,20.656,,,,,
85,09/08/15 07:00:00 AM,25.914,20.844,,,,,
86,09/08/15 07:30:00 AM,26.744,19.290,,,,,
87,09/08/15 08:00:00 AM,27.161,17.702,,,,,
88,09/08/15 08:30:00 AM,28.097,17.541,,,,,
89,09/08/15 09:00:00 AM,29.040,17.380,,,,,
90,09/08/15 09:30:00 AM,29.565,17.195,,,,,
91,09/08/15 10:00:00 AM,30.192,17.299,,,,,
92,09/08/15 10:30:00 AM,31.510,15.017,,,,,
93,09/08/15 11:00:00 AM,32.278,16.268,,,,,
94,09/08/15 11:30:00 AM,31.996,17.465,,,,,
95,09/08/15 12:00:00 PM,32.201,15.907,,,,,
96,09/08/15 12:30:00 PM,33.157,15.023,,,,,
97,09/08/15 01:00:00 PM,34.889,13.228,,,,,
98,09/08/15 01:30:00 PM,34.019,13.190,,,,,
99,09/08/15 02:00:00 PM,34.150,13.701,,,,,
100,09/08/15 02:30:00 PM,34.651,12.566,,,,,
101,09/08/15 03:00:00 PM,34.150,12.256,,,,,
102,09/08/15 03:30:00 PM,33.652,12.886,,,,,
103,09/08/15 04:00:00 PM,32.691,13.421,,,,,
104,09/08/15 04:30:00 PM,32.073,13.035,,,,,
105,09/08/15 05:00:00 PM,31.408,15.298,,,,,
106,09/08/15 05:30:00 PM,30.066,16.442,,,,,
107,09/08/15 06:00:00 PM,29.090,16.392,,,,,
108,09/08/15 06:30:00 PM,28.171,17.334,,,,,
109,09/08/15 07:00:00 PM,27.235,18.618,,,,,
110,09/08/15 07:30:00 PM,27.087,19.730,,,,,
111,09/08/15 08:00:00 PM,26.720,20.684,,,,,
112,09/08/15 08:30:00 PM,26.329,20.660,,,,,
113,09/08/15 09:00:00 PM,26.426,20.562,,,,,
