PLOT,ID,QUAD,X,Y,SPECIES,H16,R16,S17,H17,R17,NOTES
PPR1309E,5489,25,77,5,QUEKEL,12,1,1,18,0,CHANGED SPECIES FROM QUEDOU TO QUEKEL
PPR1309E,5500,28,81,12,QUEKEL,8,1,1,16,1,CHANGED SPECIES FROM QUEDOU TO QUEKEL
PPR1309E,5492,32,84,54,QUEKEL,6,1,1,6,1,CHANGED SPECIES FROM QUEDOU TO QUEKEL
PPR1309N,5358,5,76,30,QUEDOU,8,1,1,13,1,CHANGED SPECIES FROM QUEKEL TO QUEDOU
PPR1309N,5385,6,42,82,QUEDOU,8,1,0,NA,NA,
PPR1309N,5389,11,95,10,QUEAGR,9,1,1,13,0,
PPR1309N,5349,13,28,50,QUEDOU,7,1,1,12,1,
PPR1309N,5362,14,12,89,UMBCAL,7,1,1,17,1,
PPR1309N,5383,14,5,99,QUEDOU,10,0,1,13,0,CHANGED TAG FROM 5363 T0 5383
PPR1309N,5351,16,21,47,QUEDOU,13,1,1,13,1,
PPR1309N,5367,17,18,72,QUEDOU,7,1,1,11,1,
PPR1309N,5374,17,30,68,QUEDOU,8,0,1,13,0,
PPR1309N,5382,17,32,88,QUEDOU,11,1,2,NA,NA,
PPR1309N,5354,17,38,92,QUEDOU,14,1,1,22,1,
PPR1309N,5359,17,87,85,QUEGAR,9,1,1,17,1,CHANGED SPECIES FROM QUEDOU TO QUEGAR
PPR1309N,5379,18,26,31,QUEDOU,10,1,1,14,1,
PPR1309N,5357,19,55,63,QUEKEL,10,0,0,NA,NA,
PPR1309N,5350,19,8,54,QUEDOU,12,1,1,15,1,
PPR1309N,5391,20,15,5,QUEDOU,10,1,1,11,1,
PPR1309N,5369,21,23,33,QUEDOU,6,1,0,NA,NA,
PPR1309N,5361,21,23,52,QUEDOU,16,1,1,17,1,
PPR1309N,5365,22,91,65,QUEDOU,7,1,1,12,1,
PPR1309N,5386,23,70,53,QUEDOU,19,1,1,20,1,
PPR1309N,5372,24,86,89,QUEDOU,6,1,3,NA,NA,
PPR1309N,5355,24,40,27,QUEDOU,15,1,1,15,1,
PPR1309N,5373,24,26,48,QUEDOU,3,0,1,9,0,
PPR1309N,5396,24,77,53,QUEDOU,7,1,1,17,0,
PPR1309N,5348,24,55,62,QUEDOU,9,1,1,13,1,
PPR1309N,5356,25,36,48,QUEDOU,9,0,1,7,0,
PPR1309N,5347,25,46,95,QUEDOU,7,1,1,11,1,
PPR1309N,5371,26,22,5,QUEDOU,8,0,0,NA,NA,
PPR1309N,5370,26,29,51,QUEDOU,8,1,1,13,1,
PPR1309N,5368,26,88,22,QUEDOU,5,1,1,10,1,
PPR1309N,5363,26,100,68,QUEDOU,5,0,1,9,0,
PPR1309N,5360,26,63,77,QUEDOU,6,1,1,10,1,
PPR1309N,5366,27,33,58,QUEDOU,8,0,2,NA,NA,
PPR1309N,5352,27,33,40,QUEDOU,7,1,1,13,1,
PPR1309N,5313,28,58,57,QUEDOU,7,1,1,12,1,
PPR1309N,5345,28,72,20,QUEDOU,7,1,1,13,1,
PPR1309N,5339,28,100,47,QUEDOU,4,0,1,9,1,
PPR1309N,5341,28,93,47,QUEDOU,5,0,0,NA,NA,
PPR1309N,5311,28,100,60,QUEDOU,4,1,0,NA,NA,
PPR1309N,5310,28,93,60,QUEDOU,8,1,1,11,1,
PPR1309N,5336,28,80,67,QUEDOU,6,1,0,NA,NA,
PPR1309N,5335,28,99,78,QUEDOU,8,1,1,6,1,
PPR1309N,5329,29,26,27,QUEDOU,3,0,1,8,0,
PPR1309N,5328,29,34,65,QUEDOU,4,1,1,9,1,
PPR1309N,5337,29,72,65,QUEDOU,7,1,1,12,1,
PPR1309N,5304,29,54,88,QUEDOU,6,1,1,10,1,
PPR1309N,5333,30,12,7,QUEDOU,7,1,1,10,1,
PPR1309N,5312,30,41,32,QUEDOU,7,1,0,NA,NA,
PPR1309N,5338,30,81,15,QUEDOU,8,1,1,15,1,
PPR1309N,5375,30,70,35,QUEDOU,10,1,1,19,1,CHANGED SPECIES FROM QUEKEL TO QUEDOU
PPR1309N,5322,30,56,74,QUEDOU,8,1,1,13,1,
PPR1309N,5326,30,72,77,QUEDOU,9,1,1,13,1,
PPR1309N,5340,30,81,85,QUEDOU,8,1,0,NA,NA,
PPR1309N,5308,30,90,90,QUEDOU,6,0,1,14,1,
PPR1309N,5331,31,30,22,QUEDOU,15,1,1,21,1,
PPR1309N,5323,33,39,38,QUEDOU,7,1,1,16,1,
PPR1309N,5321,34,9,38,QUEDOU,10,1,1,13,1,
PPR1309S,5327,19,99,58,HETARB,26,1,1,29,1,
PPR1309S,5334,24,89,57,QUEDOU,8,1,1,11,1,
PPR1309S,5484,27,83,47,ARBMEN,28,1,1,41,1,CHANGED QUAD FROM 28 TO 27
PPR1309W,5353,5,86,9,QUEDOU,7,1,1,11,1,
PPR1309W,5364,7,95,78,QUEGAR,11,1,3,NA,NA,
PPR1322N,5227,7,50,15,QUEDOU,13,0,0,NA,NA,
PPR1322N,5228,7,91,34,QUEDOU,10,1,1,10,1,
PPR1322N,5226,7,68,37,QUEDOU,10,1,1,1,1,CHANGED TAG FROM 5229 TO 5226
PPR1322S,5237,20,42,21,QUEDOU,10,1,1,10,1,CHANGED SPECIES FROM QUEKEL TO QUEDOU
PPR1322S,5241,23,63,81,ARBMEN,5,0,1,9,0,
PPR1322S,5230,24,5,56,QUEAGR,8,0,2,NA,NA,
PPR1322S,5239,25,0,79,QUEKEL,8,1,1,15,1,
PPR1322S,5240,26,67,55,QUEGAR,8,1,1,11,1,
PPR1322W,5201,5,2,70,QUEAGR,6,0,1,9,1,
PPR1322W,5202,5,6,75,QUEAGR,5,0,2,NA,NA,
PPR1322W,5203,5,12,63,QUEAGR,6,0,2,NA,NA,
PPR1322W,5204,5,10,65,QUEAGR,8,0,1,15,1,
PPR1322W,5205,5,9,67,QUEAGR,8,0,0,NA,NA,
PPR1322W,5206,9,36,12,QUEAGR,33,1,1,49,1,
PPR1322W,5207,11,48,40,QUEGAR,11,0,1,14,1,CHANGED SPECIES FROM QUEKEL TO QUEGAR
PPR1322W,5208,11,62,75,QUEDOU,17,1,1,18,1,
PPR1322W,5209,25,90,20,QUEKEL,3,0,2,NA,NA,
PPR1322W,5210,26,90,80,QUEAGR,5,0,0,NA,NA,
PPR1322W,5211,28,4,92,QUEDOU,30,1,1,32,1,
PPR1322W,5212,28,57,81,QUEAGR,12,0,1,10,1,
PPR1322W,5213,28,87,75,QUEAGR,10,0,2,NA,NA,
PPR1322W,5214,29,50,90,QUEDOU,28,1,1,50,1,
PPR1322W,5215,30,36,92,QUEAGR,10,0,1,19,1,
PPR1322W,5216,31,47,93,QUEAGR,8,1,1,10,1,CHANGE X FROM 97 TO 47
PPR1322W,5217,31,72,75,QUEAGR,10,0,1,17,1,
PPR1322W,5219,32,25,2,QUEAGR,11,1,1,10,1,
PPR1322W,5218,30,82,73,QUEAGR,26,1,1,24,1,
PPR1322W,5220,32,58,10,QUEAGR,10,0,1,17,1,
PPR1322W,5221,32,90,20,QUEAGR,8,0,2,NA,NA,
PPR1322W,5222,33,10,45,QUEAGR,11,0,1,17,0,
PPR1322W,5223,33,85,90,QUEAGR,6,1,1,12,1,
PPR1322W,5224,34,27,0,QUEAGR,11,1,1,11,1,
PPR1322W,5225,34,15,58,QUEAGR,4,1,1,15,1,
PPR1324E,5174,5,99,18,QUEGAR,6,0,1,10,1,
PPR1324E,5236,5,73,2,QUEGAR,6,1,1,14,1,
PPR1324E,5286,5,69,25,QUEDOU,5,1,1,15,1,
PPR1324E,5284,5,68,48,QUEKEL,6,1,1,10,1,
PPR1324E,5285,5,72,90,QUEGAR,7,1,1,15,1,
PPR1324E,5287,5,8,12,QUEDOU,3,1,1,11,1,
PPR1324E,5271,5,31,11,QUEDOU,8,1,1,14,1,
PPR1324E,5288,5,9,48,QUEGAR,3,1,1,11,1,
PPR1324E,5282,5,13,73,ARBMEN,1,0,1,2,0,
PPR1324E,5293,5,8,92,QUEDOU,5,1,1,8,1,
PPR1324E,5283,5,33,95,QUEGAR,7,1,1,11,1,
PPR1324E,5172,5,90,2,QUEDOU,4,1,3,NA,NA,
PPR1324E,5171,6,66,2,QUEDOU,7,1,1,14,1,
