DATE,PLOT,INITALS,SPECIES,A2_cover,A2_pheno,A3_cover,A3_pheno,A4_cover,A4_pheno,B4_cover,B4_pheno,C4_cover,C4_pheno,D4_cover,D4_pheno,D3_cover,D3_pheno,D2_cover,D2_pheno,D1_cover,D1_pheno,C1_cover,C1_pheno,B1_cover,B1_pheno,A1_cover,A1_pheno,NOTES
20180427,1315,"MFO, RLO",LITAFF,,,,,,,,,,,,,,,,,,,,,,,,,
20180427,1315,"MFO, RLO",RANOCC,2,FLR,1,FRT,2,FLR,,,,,1,FLR,1,FLR,1,FLR,2,FRT,1,FLR,1,FLR,1,FRT,
20180427,1315,"MFO, RLO",LATVES,5,FLR,,,,,,,,,,,1,VEG,,,,,,,,,,,
20180427,1315,"MFO, RLO",TORARV,3,FLR,1,VEG,,,1,VEG,1,VEG,1,VEG,1,VEG,1,VEG,1,VEG,1,VEG,4,VEG,,,
20180427,1315,"MFO, RLO",NEMHET,1,FLR,,,1,FLR,,,,,1,FLR,1,FRT,1,FLR,1,FLR,1,FRT,1,FLR,1,FLR,
20180427,1315,"MFO, RLO",GALAPA,2,FLR,,,,,1,FRT,1,FRT,,,,,1,FRT,3,FRT,1,FRT,2,FRT,2,FRT,
20180427,1315,"MFO, RLO",ANIMAD,1,VEG,,,1,VEG,,,1,VEG,1,VEG,1,VEG,2,FLR,,,1,VEG,1,VEG,,,
20180427,1315,"MFO, RLO",PRIHEN,1,VEG,2,FRT,2,VEG,5,FRT,1,VEG,,,3,FRT,3,FRT,,,,,,,2,FRT,shooting star
20180427,1315,"MFO, RLO",GALPAR,1,FRT,,,,,,,,,1,FRT,,,,,,,,,1,FRT,,,
20180427,1315,"MFO, RLO",BRIMAX,2,FLR,3,FLR,6,FLR,3,FLR,2,FLR,2,FLR,2,FLR,3,FLR,1,FLR,6,FLR,2,FLR,2,FLR,
20180427,1315,"MFO, RLO",MELGEY,1,FLR,,,,,,,1,VEG,,,1,VEG,,,,,,,2,FLR,2,FLR,
20180427,1315,"MFO, RLO",BRODIA,1,FLR,1,FLR,,,,,,,1,FLR,1,FLR,,,1,FLR,1,FLR,1,FLR,1,FLR,
20180427,1315,"MFO, RLO",CLAPER,,,,,,,,,,,1,FLR,,,,,,,,,,,,,
20180427,1315,"MFO, RLO",SANCRA,1,VEG,2,FRT,2,FRT,1,VEG,3,FRT,3,FLR,2,FRT,6,FRT,3,FRT,9,FRT,4,FRT,4,FRT,
20180427,1315,"MFO, RLO",CARCAL,1,VEG,,,1,VEG,,,1,FRT,1,FRT,1,FRT,1,FRT,1,VEG,,,1,FRT,1,FRT,
20180427,1315,"MFO, RLO",TRIMICCEP,1,VEG,,,,,1,VEG,,,,,,,,,,,1,VEG,,,1,FLR,
20180427,1315,"MFO, RLO",STARIG,,,2,VEG,,,,,,,,,,,,,,,,,,,,,
20180427,1315,"MFO, RLO",TRIOLI,,,1,FLR,1,FLR,1,FLR,1,FLR,1,FLR,1,FLR,,,,,1,FLR,,,1,FLR,
