Plot ID,1337,,Sampler(s),"MF, CM, TT, MK ",,,,,Date ,20210114,,,,,,,,,
Notes,6339 AND 6340 TAGS FOUND IN B2. On seedlings sheet is a list of DBH's for resprouts that are now technically trees- not entered anywhere,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
B3,SA,3292,424,370,ARBMEN,0,1,,,,226,3.56,3,,,,"TYPO IN 19, NOT TR",,
B3,SA,3291,,,ARBMEN,0,1,,,,145.2,2.7,5,,,,TAG MOVED TO RSPRT,,
B3,SA,3294,,,ARBMEN,0,0,,,,,,,,,,"NOT FOUND, DOSER KILL",,
B3,TR,3295.1,,,ARBMEN,0,0,0,0,0,,,,,,,NOT FOUND IN 19 OR 20 ,,
B3,SA,3297,,,UMBCAL,0,0,,,,,,,,,,"NOT FOUND, DOSER KILL",,
B3,SA,6400,,,BACPIL,0,0,,,,,,,,,,"NOT FOUND, DOSER KILL",,
B3,SA,3323,,,BACPIL,0,0,,,,,,,,,,"NOT FOUND, DOSER KILL",,
B2,TR,3299,,,PSEMEN,1,0,0,1,4,,,,,,,,,
B2,SA,3305,,,UMBCAL,0,1,,,,91.1,1.38,9,,,,,,
B2,SA,3306,,,UMBCAL,0,1,,,,78.1,0.8,5,,,,,,
B2,SA,6462,,,BACPIL,1,0,,,,104,0.9,0,,,,,,
B2,TR,3309,,,ARBMEN,0,1,0,0,0,,3.99,,,214,31,,,
B2,TR,3308,,,PSEMEN,1,0,0,1,4,,,,,,,,,
B2,SA,3300,,,ARBMEN,0,0,,,,,,,,,,NOT FOUND IN 19 OR 20,,
C3,SA,3333,,,QUEAGRI,1,0,,,,54.5,0.5,3,,,,,,
D3,SA,6399,,,BACPIL,1,0,,,,78.5,0.84,6,,,,,,
C2,SA,6978,190,65,ARCMAN,1,0,,,,57.4,0.51,0,,,,NEW SA,,
D2,SA,6979,1,170,BACPIL,1,0,,,,57.5,0.7,0,,,,NEW SA,,
C1,SA,6980,220,180,BACPIL,1,0,,,,63.6,0.53,3,,,,NEW SA,,
C1,SA,6981,210,80,BACPIL,1,0,,,,73.3,0.5,0,,,,NEW SA,,
B4,SA,6982,470,280,BACPIL,1,0,,,,134.5,2.52,1,,,,NEW SA,,
C4,SA,6983,200,480,BACPIL,1,0,,,,108,1.33,2,,,,NEW SA,,
