Plot ID,1310,,Sampler(s),"MK,MF,CM,RF",,,,,Date ,20201105,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,,,,,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes,,,,,,
A4,TR,1224,,,QUEGAR,1,0,1,1,99,,,,,,,,,,,,,,,
A4,TR,1223,,,QUEGAR,1,0,1,1,99,,,,,,,,,,,,,,,
A2,SA,1227,,,ARCMAN,0,0,,,,,,,,,,1,,TAG PULLED,,,,,,
B4,TR,1225,,,QUEGAR,1,0,0,1,99,,,,,,,,,,,,,,,
C3,TR,1238,,,QUEDOU,1,0,1,1,99,,,,,,,,,,,,,,,
C4,TR,1236,,,QUEGAR,1,0,1,1,99,,,,,,,,,,,,,,,
D3,TR,1236,,,QUEDOU,1,0,1,1,99,,,,,,,,,,,,,,,
D2,TR,1240,,,QUEDOU,1,0,0,1,99,,,,,,,,,,,,,,,
D1,TR,1242,,,QUEDOU,1,0,1,1,99,,,,,,,,,,,,,,,
D1,TR,1243,,,QUEDOU,0,1,0,0,0,,,,,,0,,,,,,,,,
C1,TR,1232,,,QUEGAR,1,0,1,1,99,,,,,,,,,,,,,,,
C1,TR,1232.1,,,QUEGAR,1,0,1,1,99,,,,,,,,,,,,,,,
B2,TR,1233,,,QUEGAR,1,0,1,1,99,,,,,,,,,,,,,,,
C2,SA,6363,,,CERBET,0,1,,,,35,0.2,8,,,,,,,,,,,,
C2,SA,1241,,,CERBET,0,1,,,,37.9,0.25,11,,,,,,,,,,,,
C2,SA,6367,,,CERBET,0,1,,,,12.6,0.15,11,,,,,,,,,,,,
C2,SA,6365,,,CERBET,0,1,,,,26.2,0.2,9,,,,,,,,,,,,
C2,SA,6366,,,CERBET,0,1,,,,27,0.29,2,,,,,,,,,,,,
C2,SA,6364,,,CERBET,0,1,,,,29,0.26,11,,,,,,,,,,,,
B2,SA,6362,,,CERBET,0,1,,,,28,0.24,8,,,,,,,,,,,,
B2,SA,1235,,,CERBET,0,1,,,,22,0.16,4,,,,,,,,,,,,
B1,TR,1230,,,QUEGAR,1,1,1,1,,,,,,,0,,,,,,,,,
A1,TR,1222,,,QUEGAR,1,0,1,1,,,,,,,,,,,,,,,,
A1,TR,1222.1,,,QUEGAR,1,0,1,1,,,,,,,,,,,,,,,,
D2,TR,1239,,,QUEDOU,1,0,1,1,,,,,,,,,,SAYS D3 IN '19 DB,,,,,,
B2,SA,1234,,,CERBET,1,0,,,,,,,,,,,,"TAG GONE, MAYBE WRONG COORDINATES?",,,,,,
C1,SA,1231,,,CERBET,0,0,,,,,,,,,,1,,NOT FOUND/DEAD IN '19,,,,,,
B2,SA,1229,,,CERBET,0,0,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
