Plot ID,PPW1344,,Sampler(s),"MK,TT,RF, CM",,,,,Date ,20201106,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
D2,TR,1718,,,QUEDOU,1,0,1,1,99,,,,,,,0,,
C2,TR,1716,,,QUEDOU,1,0,0,1,99,,,,,,,0,,QUEKEL IN 19 DB- mk confirmed dou in field
C2,TR,1717,,,QUEKEL,1,0,0,1,99,,,,,,,0,,TALL FIRE SCAR
C2,TR,1715,,,QUEGAR,1,0,1,1,4,,,,,,,0,,QUEAGR IN 19 DB- changed to GAR- mkqc2022
C3,TR,1714,,,QUEDOU,0,0,0,0,0,,,,,,,0,,FIRE KILLED
B4,TR,1713,,,QUEDOU,1,0,1,1,99,,,,,,,0,,"TALL FIRE SCAR, 8M"
