Plot ID,1302,,Sampler(s),"CM, MF, MK",,,,,Date ,20210118,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
DI,TR,1044.1,,,UMBCAL,0,1,0,0,0,,0.41,,,43.8,0,,,NO SOD
DI,TR,1044.2,,,UMBCAL,0,1,0,0,0,,0.69,,,54.7,1,,,NO SOD
CI,TR,1096,,,QUEAGRI,1,0,1,1,4,,,,,,,,,
CI,TR,1096.1,,,QUEAGRI,1,0,1,1,2,,,,,,,,,
CI,TR,1096.2,,,QUEAGRI,1,0,1,1,3,,,,,,,,,
CI,SA,1081,,,UMBCAL,0,1,,,,22.7,0.37,2,,,,,,
CI,SA,1073,,,UMBCAL,0,0,,,,,,,,,,,,Tag not found. Probably found its dead stump. 
C2,SA,1019,,,UMBCAL,0,1,,,,33.4,0.44,2,,,,,,
C3,TR,1097,,,QUEAGRI,1,0,1,1,4,,,,,,,,,
C3,TR,1097.1,,,QUEAGRI,1,0,1,1,3,,,,,,,,,
C3,SA,1031,,,QUEAGRI,0,1,,,,37.6,0.52,4,,,,,,
C3,SA,1026,,,UMBCAL,0,1,,,,42.9,0.4,5,,,,,,
C4,SA,5989,,,QUEAGRI,0,1,,,,23,0.38,3,,,,,,
C4,SA,1025,,,QUEAGRI,0,1,,,,34.6,0.36,5,,,,,,
C4,TR,1032,,,PSEMEN,0,0,0,0,0,,,,,,,1,,
C4,SA,5960,,,QUEAGRI,0,1,,,,26,0.29,0,,,,,,In poor condition. 
B4,SA,5987,,,QUEAGRI,0,1,,,,42.3,0.33,0,,,,,,
A4,TR,1039,,,QUELOB,1,1,1,1,99,,,,,,0,,,Dead basal.
A4,TR,1071,,,QUEAGRI,1,1,1,1,2,,,,,47.1,0,,,
A4,SA,1030,,,UMBCAL,0,1,,,,26.7,0.33,1,,,,,,
B3,TR,1061,,,PSEMEN,0,0,0,0,0,,,,,,,1,,
B2,TR,1082,,,PSEMEN,0,0,0,0,0,,,,,,,1,,
B2,TR,1094,,,PSEMEN,0,0,0,0,0,,,,,,,1,,
B2,SA,5988,,,UMBCAL,0,1,,,,16.5,0.32,1,,,,,,
B2,SA,1067,80,20,BACPIL,0,1,,,,116.8,0.14,0,,,,,,
A2,TR,1029,,,QUEAGRI,1,0,1,1,3,,,,,,,,,
A2,TR,1029.1,,,QUEAGRI,1,0,1,1,2,,,,,,,,,
A2,TR,1029.2,,,QUEAGRI,1,0,1,1,3,,,,,,,,,
A1,SA,1028,,,UMBCAL,0,1,,,,43,0.55,4,,,,,,
A1,TR,1027,,,UMBCAL,0,1,0,0,0,,0.55,,,,0,,,
A1,SA,1024,,,UMBCAL,0,0,,,,,,,,,,1,,
D4,SA,5969,,,QUEAGRI,0,1,,,,26.8,0.42,4,,,,,,
D4,SA,5968,,,QUEAGRI,0,1,,,,49.4,0.45,2,,,,,,
D4,SA,5966,,,QUEAGRI,0,1,,,,38.8,0.35,3,,,,,,
D4,SA,5997,,,QUEAGRI,0,1,,,,32.6,0.3,1,,,,,,19 DB says tag pulled. 
D4,SA,5963,,,QUEAGRI,0,1,,,,42.7,0.32,3,,,,,,
D4,SA,5964,,,QUEAGRI,0,1,,,,29.9,0.33,1,,,,,,
D4,SA,5999,,,QUEAGRI,0,1,,,,27,0.24,4,,,,,,
D4,SA,5961,,,QUEAGRI,0,1,,,,25.5,0.42,1,,,,,,
D4,SA,5962,,,QUEAGRI,0,1,,,,19.4,0.22,0,,,,,,
D4,SA,5965,,,QUEAGRI,0,1,,,,49.5,0.41,8,,,,,,
D4,SA,5967,,,QUEAGRI,0,1,,,,20.9,0.35,0,,,,,,
D4,SA,5996,,,QUEAGRI,0,1,,,,36.4,0.34,5,,,,,,Not on 19 list.
D4,SA,5998,,,QUEAGRI,0,0,,,,,,,,,,,,"Not found, 19 tag pulled? No."
D3,SA,5995,,,QUEAGRI,0,1,,,,33.9,0.35,0,,,,,,19 DB says not found & pulled.
D2,SA,5992,,,QUEAGRI,0,1,,,,19,0.19,1,,,,,,19 DB says pulled. 
D2,SA,1040,,,QUEAGRI,0,1,,,,67.6,0.58,4,,,,,,
D2,SA,5993,,,QUEAGRI,0,1,,,,58.9,0.55,5,,,,,,
D2,SA,1036,,,QUEAGRI,0,1,,,,43.4,0.36,3,,,,,,
D2,SA,5994,,,QUEAGRI,0,1,,,,23.4,0.36,7,,,,,,
D2,SA,1037,,,UMBCAL,0,1,,,,26.2,0.47,3,,,,,,NO SOD
D2,SA,1038,,,QUEAGRI,0,1,,,,37.8,0.33,10,,,,,,
D1,SA,5990,,,QUEAGRI,0,1,,,,19.2,0.17,1,,,,,,
D1,SA,1043,,,UMBCAL,0,1,,,,36.4,0.64,2,,,,,,NO SOD 
D1,SA,1041,,,QUEAGRI,0,1,,,,33.9,0.22,1,,,,,,
D1,SA,1042,,,QUEAGRI,0,1,,,,47.5,0.21,4,,,,,,
D1,SA,5991,,,UMBCAL,0,1,,,,16.4,0.21,0,,,,,,NOSOD 
D1,SA,1045,,,UMBCAL,0,1,,,,31.5,0.39,6,,,,,,
D1,TR,1044,,,UMBCAL,0,1,0,0,0,,0.57,,,46,0,,,NO SOD
B1,SA,1013,,,UMBCAL,0,1,,,,20.7,0.26,0,,,,,,NO SOD
B1,SA,1016,,,UMBCAL,0,1,,,,14.1,0.3,2,,,,,,NO SOD
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
