Plot ID,1303,,Sampler(s),"MK, TT, CM",,,,,Date ,20210115,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
C4,TR,4046,,,QUEAGRI,1,1,1,1,4,,,,,,0,,,
D1,SA,5832,,,QUEDOU,0,1,,,,34.3,0.4,2,,,,,,
A4,TR,4041,,,QUEDOU,1,1,1,1,99,,,,,,0,,,
A2,TR,4040,,,QUEDOU,1,0,1,1,99,,,,,,,,,
B2,SA,5863,,,QUEAGRI,0,1,,,,16.5,0.13,0,,,,,,
C3,SA,4044,,,QUEAGRI,0,0,,,,,,,,,,,,
C2,SA,4043,,,QUEAGRI,0,1,,,,24.2,0.15,8,,,,,,
D4,SA,5831,,,QUEAGRI,0,1,,,,28.2,0.35,2,,,,,,
D4,SA,4048,,,QUEAGRI,0,1,,,,27.4,0.29,5,,,,,,
D4,SA,4047,,,QUEAGRI,0,1,,,,57.5,0.53,5,,,,,,
B3,SA,5834,,,QUEAGRI,0,1,,,,27.2,0.23,6,,,,,,
D4,SA,5864,,,UMBCAL,0,1,,,,22.1,0.14,2,,,,,,NO SOD
A4,SA,4042,,,QUEAGRI,0,0,,,,,,,,,,,,BF- was leftover typo quedou- mkqc22
C4,SA,4045,,,PSEMEN,0,0,,,,,,,,,,,,Not found in 19 or 20
A4,SA,5833,,,QUEAGRI,0,1,,,,30.2,0.39,2,,,,,,
D2,SA,4049,,,QUEAGRI,0,0,,,,,,,,,,,,Dead Basal 
