Plot ,Num,Species,LFCollection,AcornCollection
1,1003,QUEGAR,4,
1,1008,QUEGAR,4,
1,1017,QUEGAR,4,
3,4041,QUEDOU,4,
4,1101,QUEGAR,4,4
4,1102,QUEGAR,4,
8,2152,QUEGAR,4,
8,1254,QUEGAR,4,
8,1255,QUEGAR,3,1
10,1222,QUEGAR,5,
10,1236,QUEGAR,4,
10,1239,QUEDOU,4,
11,1265,QUEDOU,4,
11,1268,QUEDOU,4,
11,1272,QUEDOU,4,
14,1912,QUEDOU,4,
14,1960,QUEDOU,4,
14,1962,QUEDOU,4,3
15,2805,QUEGAR,4,
15,2818,QUEGAR,4,
15,2823,QUEGAR,4,
17,2750,QUEGAR,4,
17,2770,QUEGAR,4,
18,4503,QUEGAR,4,
18,4430,QUEGAR,4,3
18,4504,QUEGAR,4,
19,2876,QUEGAR,4,
21,2406,QUEGAR,4,
22,2487,QUEDOU,4,
22,2494,QUEDOU,4,
22,2497,QUEDOU,4,3
24,2721,QUEGAR,4
25,4001,QUEDOU,4
25,4009,QUEGAR,4
25,4010,QUEDOU,4
30,4124,QUEGAR,4
30,4140,QUEGAR,3
31,2678,QUEGAR,4
33,3398,QUEGAR,4
35,2566,QUEGAR,4
35,2569,QUEGAR,4
35,2583,QUEGAR,4
36,2902,QUEGAR,4
36,2913,QUEGAR,4
36,2916,QUEGAR,4
44,1714,QUEDOU,3
44,1715,QUEDOU,4
44,1718,QUEDOU,4
45,1940,QUEGAR,4
45,2248,QUEDOU,4
45,1955,QUEGAR,4
46,5140,QUEGAR,4
46,5131,QUEGAR,5
46,5126,QUEGAR,4
47,2942,QUEGAR,3
47,2970,QUEGAR,5
48,3063,QUEKEL,5
48,3164,QUEGAR,3
48,3206,QUEGAR,4
50,4298,QUEGAR,5
