"Plot Title: PPW1314_10006343"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10006343, SEN S/N: 10006343)","RH, % (LGR S/N: 10006343, SEN S/N: 10006343)","DewPt, °C (LGR S/N: 10006343, SEN S/N: 10006343)","Coupler Detached (LGR S/N: 10006343)","Coupler Attached (LGR S/N: 10006343)","Stopped (LGR S/N: 10006343)","End Of File (LGR S/N: 10006343)"
1,01/20/14 12:00:00 PM,19.746,25.802,-0.227,Logged,,,
2,01/20/14 12:30:00 PM,20.269,21.183,-2.612,,,,
3,01/20/14 01:00:00 PM,21.199,25.062,0.586,,,,
4,01/20/14 01:30:00 PM,21.437,24.433,0.420,,,,
5,01/20/14 02:00:00 PM,21.246,25.879,1.091,,,,
6,01/20/14 02:30:00 PM,20.984,26.367,1.138,,,,
7,01/20/14 03:00:00 PM,19.484,29.372,1.408,,,,
8,01/20/14 03:30:00 PM,16.272,36.673,1.754,,,,
9,01/20/14 04:00:00 PM,14.840,41.078,2.067,,,,
10,01/20/14 04:30:00 PM,13.281,41.251,0.718,,,,
11,01/20/14 05:00:00 PM,12.098,45.255,0.921,,,,
12,01/20/14 05:30:00 PM,10.810,47.353,0.360,,,,
13,01/20/14 06:00:00 PM,9.657,51.199,0.353,,,,
14,01/20/14 06:30:00 PM,8.519,55.207,0.303,,,,
15,01/20/14 07:00:00 PM,7.670,58.002,0.163,,,,
16,01/20/14 07:30:00 PM,7.318,58.854,0.024,,,,
17,01/20/14 08:00:00 PM,6.864,59.539,-0.252,,,,
18,01/20/14 08:30:00 PM,6.585,60.452,-0.316,,,,
19,01/20/14 09:00:00 PM,5.872,63.555,-0.340,,,,
20,01/20/14 09:30:00 PM,5.385,65.177,-0.478,,,,
21,01/20/14 10:00:00 PM,4.973,66.937,-0.529,,,,
22,01/20/14 10:30:00 PM,4.869,67.283,-0.561,,,,
23,01/20/14 11:00:00 PM,4.428,68.988,-0.664,,,,
24,01/20/14 11:30:00 PM,3.406,73.163,-0.905,,,,
25,01/21/14 12:00:00 AM,2.877,75.489,-1.026,,,,
26,01/21/14 12:30:00 AM,3.221,74.699,-0.823,,,,
27,01/21/14 01:00:00 AM,3.142,73.544,-1.096,,,,
28,01/21/14 01:30:00 AM,2.182,78.224,-1.261,,,,
29,01/21/14 02:00:00 AM,1.913,79.564,-1.315,,,,
30,01/21/14 02:30:00 AM,1.913,79.695,-1.294,,,,
31,01/21/14 03:00:00 AM,1.588,80.932,-1.423,,,,
32,01/21/14 03:30:00 AM,1.208,82.404,-1.577,,,,
33,01/21/14 04:00:00 AM,1.453,80.953,-1.553,,,,
34,01/21/14 04:30:00 AM,0.962,82.838,-1.755,,,,
35,01/21/14 05:00:00 AM,0.605,82.315,-2.183,,,,
36,01/21/14 05:30:00 AM,0.962,79.587,-2.242,,,,
37,01/21/14 06:00:00 AM,0.660,79.963,-2.480,,,,
38,01/21/14 06:30:00 AM,0.329,80.696,-2.694,,,,
39,01/21/14 07:00:00 AM,0.273,80.189,-2.824,,,,
40,01/21/14 07:30:00 AM,0.024,81.249,-2.911,,,,
41,01/21/14 08:00:00 AM,0.079,81.106,-2.877,,,,
42,01/21/14 08:30:00 AM,1.480,78.149,-1.959,,,,
43,01/21/14 09:00:00 AM,3.854,74.776,-0.196,,,,
44,01/21/14 09:30:00 AM,6.788,63.429,0.506,,,,
45,01/21/14 10:00:00 AM,10.198,52.456,1.183,,,,
46,01/21/14 10:30:00 AM,13.594,39.794,0.502,,,,
47,01/21/14 11:00:00 AM,15.557,27.624,-2.843,,,,
48,01/21/14 11:30:00 AM,17.701,27.493,-1.070,,,,
49,01/21/14 12:00:00 PM,20.174,20.561,-3.117,,,,
50,01/21/14 12:30:00 PM,20.889,20.708,-2.425,,,,
51,01/21/14 01:00:00 PM,21.867,18.249,-3.444,,,,
52,01/21/14 01:30:00 PM,22.585,15.714,-5.030,,,,
53,01/21/14 02:00:00 PM,22.298,20.553,-1.370,,,,
54,01/21/14 02:30:00 PM,21.246,21.176,-1.807,,,,
55,01/21/14 03:00:00 PM,19.318,24.454,-1.357,,,,
56,01/21/14 03:30:00 PM,17.249,26.656,-1.893,,,,
57,01/21/14 04:00:00 PM,15.533,28.451,-2.453,,,,
58,01/21/14 04:30:00 PM,14.601,28.706,-3.133,,,,
59,01/21/14 05:00:00 PM,13.040,33.961,-2.178,,,,
60,01/21/14 05:30:00 PM,11.443,36.889,-2.464,,,,
61,01/21/14 06:00:00 PM,10.345,39.471,-2.530,,,,
62,01/21/14 06:30:00 PM,9.213,40.352,-3.253,,,,
63,01/21/14 07:00:00 PM,8.618,43.836,-2.685,,,,
64,01/21/14 07:30:00 PM,7.970,46.251,-2.563,,,,
65,01/21/14 08:00:00 PM,7.670,48.804,-2.126,,,,
66,01/21/14 08:30:00 PM,7.217,50.587,-2.070,,,,
67,01/21/14 09:00:00 PM,7.242,51.403,-1.835,,,,
68,01/21/14 09:30:00 PM,7.142,52.467,-1.658,,,,
69,01/21/14 10:00:00 PM,6.281,55.342,-1.761,,,,
70,01/21/14 10:30:00 PM,5.437,58.318,-1.871,,,,
71,01/21/14 11:00:00 PM,5.437,56.594,-2.261,,,,
72,01/21/14 11:30:00 PM,4.688,60.339,-2.137,,,,
73,01/22/14 12:00:00 AM,4.610,60.182,-2.245,,,,
74,01/22/14 12:30:00 AM,5.282,56.365,-2.459,,,,
75,01/22/14 01:00:00 AM,4.947,56.839,-2.665,,,,
76,01/22/14 01:30:00 AM,4.350,59.966,-2.537,,,,
77,01/22/14 02:00:00 AM,4.011,59.419,-2.976,,,,
78,01/22/14 02:30:00 AM,4.141,58.863,-2.973,,,,
79,01/22/14 03:00:00 AM,3.958,58.949,-3.128,,,,
80,01/22/14 03:30:00 AM,3.142,63.785,-2.896,,,,
81,01/22/14 04:00:00 AM,3.327,61.972,-3.086,,,,
82,01/22/14 04:30:00 AM,2.823,64.378,-3.082,,,,
83,01/22/14 05:00:00 AM,2.744,64.251,-3.184,,,,
84,01/22/14 05:30:00 AM,2.370,66.120,-3.179,,,,
85,01/22/14 06:00:00 AM,2.289,66.021,-3.275,,,,
86,01/22/14 06:30:00 AM,2.396,64.499,-3.466,,,,
87,01/22/14 07:00:00 AM,2.182,64.938,-3.586,,,,
88,01/22/14 07:30:00 AM,2.047,66.200,-3.473,,,,
89,01/22/14 08:00:00 AM,1.561,69.348,-3.359,,,,
90,01/22/14 08:30:00 AM,2.343,67.230,-2.995,,,,
91,01/22/14 09:00:00 AM,4.740,64.891,-1.151,,,,
92,01/22/14 09:30:00 AM,9.361,51.702,0.210,,,,
93,01/22/14 10:00:00 AM,13.305,39.540,0.154,,,,
94,01/22/14 10:30:00 AM,17.653,22.884,-3.698,,,,
