Plot,Subplot,Num,UTM.E,UTM.N,Species,Survival,Basal,Epicormic,Apical,PercLivingCanopy,DBH_cm,BasalResproutHeight,BasalResproutCount,Notes
2152,A4,11023,527324,4269716,QUEKEL,0,1,0,0,0,24.2,220,4,
2152,A4,11024,527324,4269716,ARBMEN,0,1,0,0,0,20.9,300,8,
2152,A4,11024.1,527324,4269716,ARBMEN,0,1,0,0,0,13.8,,,.2 BROKEN BELOW DBH
2152,A5,11025,527321,4269744,QUEGAR,0,1,0,0,0,24,179.5,8,ACROSS ROAD/OUT?
2152,A5,11026,527321,4269746,QUEGAR,1,0,0,1,4,41.8,,,ACROSS ROAD/OUT?
2152,A5,11027,527325,4269746,QUEDOU,1,0,0,1,4,18.7,,,CORNER OF PLOT
2152,A5,11027.1,527325,4269746,QUEDOU,1,0,0,1,4,18.5,,,
2152,A5,11027.2,527325,4269746,QUEDOU,1,0,0,1,4,7.4,,,
2152,A5,11028,527342,4269743,QUEAGRI,1,0,1,1,3,20.4,,,
2152,A5,11028.1,527342,4269743,QUEAGRI,1,0,1,1,3,19.6,,,
2152,A5,11029,527344,4269744,QUEAGRI,1,1,1,1,4,26.6,73.4,4,
2152,B5,11030,527352,4269745,QUEAGRI,1,0,1,1,3,31.3,,,
2152,B5,99162,527349,4269742,PSEMEN,0,0,0,0,0,61.8,,,
2152,B5,11031,527349,4269744,QUEAGRI,1,1,1,0,3,35.2,187.9,6,
2152,B5,11032,527357,4269744,ARBMEN,1,1,1,0,1,25.8,300,3,
2152,B5,11032.1,527357,4269744,ARBMEN,1,1,1,0,1,13.4,,,
2152,B5,11033,527357,4269745,ARBMEN,0,1,0,0,0,20.3,350,11,
2152,B5,11033.1,527357,4269745,ARBMEN,0,1,0,0,0,8.7,,,
2152,B5,11033.2,527357,4269745,ARBMEN,0,1,0,0,0,6.5,,,
2152,B5,11034,527363,4269742,ARBMEN,0,1,0,0,0,27.6,400,22,
2152,B5,11034.1,527363,4269742,ARBMEN,0,1,0,0,0,23.7,,,
2152,B5,11034.2,527363,4269742,ARBMEN,0,1,0,0,0,20.1,,,
2152,B5,11034.3,527363,4269742,ARBMEN,0,1,0,0,0,20.1,,,
2152,B5,11034.4,527363,4269742,ARBMEN,0,1,0,0,0,24.4,,,
2152,B5,11034.5,527363,4269742,ARBMEN,0,1,0,0,0,11.4,,,
2152,B5,11034.6,527363,4269742,ARBMEN,0,1,0,0,0,10.8,,,
2152,B5,11034.7,527363,4269742,ARBMEN,0,1,0,0,0,13.7,,,SNAG
2152,C5,99163,527377,4269741,PSEMEN,0,0,0,0,0,21,,,
2152,C5,99164,527376,4269743,PSEMEN,0,0,0,0,0,35.9,,,
2152,C5,11035,527371,4269746,QUEKEL,0,1,0,0,0,38.6,300,4,
2152,C5,11035.1,527371,4269746,QUEKEL,0,1,0,0,0,23.4,,,
2152,D5,99165,527389,4269745,PSEMEN,0,0,0,0,0,44.4,,,CROSSED ROAD
2152,D5,11037,527389,4269745,QUEKEL,0,1,0,0,0,24.2,210,8,
2152,D5,11037.1,527389,4269745,QUEKEL,0,1,0,0,0,13,,,
2152,D5,99166,527398,4269745,PSEMEN,0,0,0,0,0,21.8,,,
2152,E5,11038,527404,4269745,NOTDEN,0,1,0,0,0,24.3,300,32,
2152,E5,11038.1,527404,4269745,NOTDEN,0,1,0,0,0,22.7,,,
2152,E5,11039,527406,4269744,NOTDEN,0,1,0,0,0,26.2,300,18,
2152,E5,11039.1,527406,4269744,NOTDEN,0,1,0,0,0,18.2,,,
2152,E5,11040,527411,4269747,NOTDEN,0,1,0,0,0,25.5,300,12,
2152,E5,11040.1,527411,4269747,NOTDEN,0,1,0,0,0,13.5,,,
2152,E5,11040.2,527411,4269747,NOTDEN,0,1,0,0,0,16.5,,,
2152,E5,11041,527423,4269743,UMBCAL,0,1,0,0,0,27.9,350,12,
2152,E5,11042,527422,4269720,ARBMEN,0,1,0,0,0,24.4,300,13,
2152,E5,11042.1,527422,4269720,ARBMEN,0,1,0,0,0,15.9,,,
2152,E3,99167,527425,4269703,PSEMEN,0,0,0,0,0,30.1,,,
2152,E3,99168,527424,4269704,PSEMEN,0,0,0,0,0,81.5,,,
2152,E3,11043,527422,4269694,QUEKEL,0,1,0,0,0,25.8,167.5,3,
2152,E3,99169,527423,4269691,PSEMEN,0,0,0,0,0,20,,,
2152,?,11044,527426,4269684,QUEAGRI,0,0,1,0,2,28.3,,,
2152,?,11045,527420,4269676,ARBMEN,0,1,0,0,0,29.1,400,10,
2152,?,11045.1,527420,4269676,ARBMEN,0,1,0,0,0,21.2,,,
2152,?,11045.2,527420,4269676,ARBMEN,0,1,0,0,0,17.7,,,
2152,?,11045.3,527420,4269676,ARBMEN,0,1,0,0,0,10,,,
2152,?,11046,527422,4269678,ARBMEN,0,1,0,0,0,25.3,370,12,
2152,?,11046.1,527422,4267678,ARBMEN,0,1,0,0,0,16.3,,,
2152,?,11047,527421,4269675,QUEKEL,1,1,1,0,3,32.8,240,3,
2152,?,11048,527422,4269674,QUEAGRI,1,1,1,0,3,23.8,97.9,5,
2152,?,11048.1,527422,4269674,QUEAGRI,0,1,0,0,0,15.8,,,
2152,E4,11049,527423,4269662,QUEKEL,0,1,0,0,0,24.3,161,4,
2152,A4,11050,527329,4269718,ARBMEN,0,1,0,0,0,20,400,27,
2152,A?,11051,527329,4269710,QUEAGRI,0,1,0,0,0,22.6,230,3,
2152,A?,11051.1,527329,4269710,QUEAGRI,0,1,0,0,0,18.5,,,
2152,A?,11051.2,527329,4269710,QUEAGRI,0,1,0,0,0,18.1,,,
2152,A?,99170,527329,4269707,PSEMEN,0,0,0,0,0,73.4,,,
2152,A?,11052,527329,4269707,QUEKEL,0,1,0,0,0,22.5,95.5,4,
2152,A?,11053,527331,4269700,QUEGAR,0,1,0,0,0,26.5,228,3,
2152,A?,11054,527331,4269701,QUEKEL,0,1,0,0,0,27.5,233.8,4,
2152,A?,11054.1,527331,4269702,QUEKEL,0,1,0,0,0,21.8,,,
2152,A?,99171,527335,4269694,PSEMEN,0,0,0,0,0,69.3,,,
2152,A?,11055,527341,4269694,ARBMEN,0,1,0,0,0,27.5,650,49,
2152,A?,11055.1,527341,4269694,ARBMEN,0,1,0,0,0,14.5,,,
2152,A?,11055.2,527341,4269694,ARBMEN,0,1,0,0,0,14.2,,,
2152,A?,11055.3,527341,4269694,ARBMEN,0,1,0,0,0,14.2,,,
2152,A?,11055.4,527341,4269694,ARBMEN,0,1,0,0,0,29.4,,,
2152,A?,11055.5,527341,4269694,ARBMEN,0,1,0,0,0,8.3,,,
2152,A?,11055.6,527341,4269694,ARBMEN,0,1,0,0,0,11.1,,,
2152,A?,11055.7,527341,4269694,ARBMEN,0,1,0,0,0,28.7,,,
2152,A?,11055.8,527341,4269694,ARBMEN,0,1,0,0,0,24.4,,,
2152,A?,99172,527329,4269682,PSEMEN,0,0,0,0,0,61.2,,,
2152,A?,99173,527329,4269682,PSEMEN,0,0,0,0,0,68.1,,,
2152,A?,11056,527328,4269682,QUEKEL,0,1,0,0,0,28,208,16,
2152,A?,11056.1,527328,4269682,QUEKEL,0,1,0,0,0,20.4,,,
2152,A?,11056.2,527328,4269682,QUEKEL,0,1,0,0,0,25.7,,,
2152,A?,99174,527324,4269659,PSEMEN,0,0,0,0,0,29,,,
2152,A?,11057,527324,4269659,QUEKEL,0,1,0,0,0,27,194.5,1,
2152,A?,99175,527319,4269654,PSEMEN,0,0,0,0,0,77,,,
2152,A?,11058,527331,4269658,ARBMEN,0,1,0,0,0,34.8,280,21,
2152,A?,11058.1,527331,4269658,ARBMEN,0,0,0,0,0,14,,,
2152,A?,11058.2,527331,4269658,ARBMEN,0,0,0,0,0,19.2,,,
2152,A?,11058.3,527331,4269658,ARBMEN,0,0,0,0,0,13,,,
2152,A?,99176,527332,4269670,QUEKEL,0,0,0,0,0,36.1,,,
2152,A?,11059,527332,4269670,ARBMEN,0,1,0,0,0,27.7,290,14,
2152,A?,11060,527340,4269670,QUEAGRI,1,1,1,0,3,41.9,188,8,
2152,A?,11061,527343,4269672,QUEAGRI,1,1,1,0,2,25,92.5,3,
2152,A?,11062,527344,4269671,QUEAGRI,0,1,0,0,0,26.4,173,6,
2152,A?,11063,527349,4269652,QUEKEL,0,1,0,0,0,34.2,280,3,
2152,A?,11063.1,527349,4269652,QUEKEL,0,1,0,0,0,30.3,,,
2152,A?,11064,527349,4269653,QUEKEL,0,1,0,0,0,24.7,300,15,
2152,E1,11066,527406,4269657,QUEAGRI,1,1,1,0,2,31.8,222.8,4,.2 SNAG NO DBH 
2152,E1,11066.1,527406,4269657,QUEAGRI,1,1,1,0,2,28,,,
