Tree Tag No.,UTM E,UTM N
11001,527371,4269668
11001.1,527371,4269668
11001.2,527371,4269668
999.1,527371,4269668
11002,527365,4269675
11002.1,527365,4269675
11003,527360,4269673
11004,527361,4269672
999.2,527361,4269672
11005,527354,4269677
11005.1,527354,4269677
11005.2,527354,4269677
11005.3,527354,4269677
999.3,527354,4269677
11006,527356,4269694
11006.1,527356,4269694
999.4,527356,4269694
11007,527364,4269700
11007.1,527364,4269700
11007.2,527364,4269700
11007.3,527364,4269700
11007.4,527364,4269700
999.5,527364,4269700
999.6,527364,4269700
999.7,527364,4269700
999.8,527364,4269700
999.9,527364,4269700
999.11,527364,4269700
999.12,,
11008,527376,4269713
11008.1,527376,4269713
11008.2,527376,4269713
11008.3,527376,4269713
11009,527432,4269646
999.13,,
11010,527407,4269694
11010.1,527407,4269694
999.14,527406,4269647
11011,527400,4269649
11012,527393,4269647
11012.1,527393,4269647
11013,527384,4269651
11013.1,527384,4269651
11013.2,527384,4269651
999.15,527384,4269651
11014,527372,4269647
11014.1,527372,4269647
999.16,527367,4269649
11015,527367,4269648
11016,527360,4269647
11016.1,527360,4269647
999.17,527352,4269649
11017,527349,4269653
11017.1,527349,4269653
11018,527343,4269658
11018.1,527343,4269658
999.18,527340,4269656
11019,527331,4269653
999.19,527324,4269646
999.21,527324,4269646
999.22,527322,4269655
999.23,527323,4269661
999.24,527323,4269661
11020,527324,4269673
11020.1,527324,4269673
11020.2,527324,4269673
11021,527324,4269682
11022,527326,4269690
11022.1,527326,4269690
11022.2,527326,4269690
999.25,527326,4269702
999.26,527325,4269702
999.27,527324,4269715
11023,527324,4269716
11024,527324,4269716
11024.1,527324,4269716
11025,527321,4269744
11026,527321,4269746
11027,527325,4269746
11027.1,527325,4269746
11027.2,527325,4269746
11028,527342,4269743
11028.1,527342,4269743
11029,527344,4269744
11030,527352,4269745
999.28,527349,4269742
11031,527349,4269744
11032,527357,4269744
11032.1,527357,4269744
11033,527357,4269745
11033.1,527357,4269745
11033.2,527357,4269745
11034,527363,4269742
11034.1,527363,4269742
11034.2,527363,4269742
11034.3,527363,4269742
11034.4,527363,4269742
11034.5,527363,4269742
11034.6,527363,4269742
11034.7,527363,4269742
999.29,527377,4269741
999.31,527376,4269743
11035,527371,4269746
11035.1,527371,4269746
999.32,527389,4269745
11037,527389,4269745
11037.1,527389,4269745
999.33,527398,4269745
11038,527404,4269745
11038.1,527404,4269745
11039,527406,4269744
11039.1,527406,4269744
11040,527411,4269747
11040.1,527411,4269747
11040.2,527411,4269747
11041,527423,4269743
11042,527422,4269720
11042.1,527422,4269720
999.34,527425,4269703
999.35,527424,4269704
11043,527422,4269694
999.36,527423,4269691
11044,527426,4269684
11045,527420,4269676
11045.1,527420,4269676
11045.2,527420,4269676
11045.3,527420,4269676
11046,527422,4269678
11046.1,527422,4267678
11047,527421,4269675
11048,527422,4269674
11048.1,527422,4269674
11049,527423,4269662
11050,527329,4269718
11051,527329,4269710
11051.1,527329,4269710
11051.2,527329,4269710
999.37,527329,4269707
11052,527329,4269707
11053,527331,4269700
11054,527331,4269701
11054.1,527331,4269702
999.38,527335,4269694
11055,527341,4269694
11055.1,527341,4269694
11055.2,527341,4269694
11055.3,527341,4269694
11055.4,527341,4269694
11055.5,527341,4269694
11055.6,527341,4269694
11055.7,527341,4269694
11055.8,527341,4269694
999.39,527329,4269682
999.41,527329,4269682
11056,527328,4269682
11056.1,527328,4269682
11056.2,527328,4269682
999.42,527324,4269659
11057,527324,4269659
999.43,527319,4269654
11058,527331,4269658
11058.1,527331,4269658
11058.2,527331,4269658
11058.3,527331,4269658
999.44,527332,4269670
11059,527332,4269670
11060,527340,4269670
11061,527343,4269672
11062,527344,4269671
11063,527349,4269652
11063.1,527349,4269652
11064,527349,4269653
11066,527406,4269657
11066.1,527406,4269657
11067,527410,4269658
11067.1,527410,4269658
999.45,527409,4269657
11068,527398,4269657
11069,527398,4269654
11069.1,527398,4269654
11070,527388,4269647
11070.1,527388,4269647
