quad,swX,swY
A1,0,0
A2,0,5
A3,0,10
A4,0,15
B1,5,0
B2,5,5
B3,5,10
B4,5,15
C1,10,0
C2,10,5
C3,10,10
C4,10,15
D1,15,0
D2,15,5
D3,15,10
D4,15,15
