# Plot ID,   PPW1301,,Sampler(s),"DDA,MMJ,MNB,JEC",,,,,Date ,20130201,,
# Notes,,,,,,,,,,,,
# ,,,,,,,,,,,,
Quad,Type,TreeNum,Species,Confidence ,Dead.Stump,SA.or.Stump.Height_cm,SA.or.Stump.BD_cm,SA.Branch.Num,DBH_cm,X_cm,Y_cm,Notes
A2,TR,1001,QUEGAR,0,,,,,22.5,140,70,
A2,TR,1002,QUEGAR,0,,,,,22.3,295,60,
A2,TR,1003,QUEGAR,0,,,,,22.3,80,290,
A4,TR,1004,QUEGAR,0,,,,,27.1,325,20,
A4,TR,1005,QUEGAR,0,,,,,32.3,465,235,
A4,TR,1006,QUEGAR,0,,,,,30.6,175,480,
B4,TR,1011,QUEGAR,0,,,,,22.65,330,495,
B4,TR,1010,QUEGAR,0,,,,,25.8,490,405,
B4,TR,1009,QUEGAR,0,,,,,13,40,175,
B3,TR,1008,QUEGAR,0,,,,,32.25,100,40,
B1,TR,1007,QUEGAR,0,,,,,28.25,175,440,
C1,TR,1014,QUEGAR,0,,,,,21.8,0,315,
C1,TR,1014.1,QUEGAR,0,,,,,15.75,0,315
C1,TR,1012,QUEGAR,0,,,,,15.3,125,120
C1,TR,1012.1,QUEGAR,0,,,,,17.3,125,120
C2,TR,1015,QUEGAR,0,,,,,30.5,265,91
C2,TR,1017,QUEGAR,0,,,,,19.5,18,280
C2,TR,1018,QUEGAR,0,,,,,24,250,485
C3,TR,1020,QUEGAR,0,,,,,35,470,80
D4,TR,1021,QUEGAR,0,,,,,34.2,130,330
D2,TR,1022,QUEGAR,0,,,,,29,25,420
