Plot ID,PPW1310,,,,Sampler(s),MFO MJK,,,Date ,20150403
Notes,Some seedlings look like Oregon-blue hybrids,,,,,,,,,
,,,,,,,,,,
Quad,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,QUEDOU,1,,0,,,,,,
A1,QUEGAR,2,,4,,,,,,
A3,QUEGAR,0,,3,,,,,,
A4,QUEGAR,1,,2,,,,,,
A4,QUEDOU,1,,0,,,,,,
A4,QUEAGR,0,,1,,,,,,
B4,QUEGAR,0,,2,,,,,,
C4,QUEAGR,0,,1,,,,,,
D4,QUEGAR,1,,0,,,,,,
D4,QUEAGR,0,,1,,,,,,
D4,CERBET,0,,1,,,,,,
D3,CERBET,1,,0,,,,,,
D2,CERBET,0,,3,,,,,,
D2,QUEGAR,2,,0,,,,,,
D2,QUEDOU,2,,0,,,,,,
D2,QUEAGR,2,,0,,,,,,
D1,CERBET,0,,5,,,,,,
D1,UMBCAL,1,,0,,,,,,
D1,QUEAGR,0,,1,,,,,,
D1,ARBMEN,0,,1,,,,,,
C1,CERBET,0,,4,,,,,,
C2,CERBET,0,,5,,,,,,
C2,ARBMEN,1,,0,,,,,,
C2,ARCMAN,0,,1,,,,,,
B2,QUEAGR,0,,1,,,,,,
B2,CERBET,0,,1,,,,,,
B2,QUEGAR,0,,1,,,,,,
