Plot ID,PPW1329,,Sampler(s),"MK,MO,KO,AC",,,,,Date ,20180702,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,Notes
A1,TR,2881,,,QUEAGR,1,0,0,1,3,,,,25.11,,,0,
A1,TR,2881.1,,,QUEAGR,1,0,0,1,3,,,,15.5,,,0,
A1,TR,2881.2,,,QUEAGR,1,1,0,1,3,,,,22.8,,,0,
A1,TR,2881.3,,,QUEAGR,1,0,1,1,2,,,,19,,,0,
A3,TR,2882,,,QUEAGR,1,1,0,1,4,,,,51.6,,,0,PARTIALLY BURNED
A3,TS,5627,,,QUEAGR,0,1,,,,41.2,1.48,0,,,,0,OG DEAD 
A3,TS,5627.1,74,49,QUEAGR,0,0,,,,,0.82,0,,,,0,
A4,TR,2884,,,HETARB,0,1,0,0,0,,,,13.4,40.5,6,0,
A4,TR,2884.1,,,HETARB,0,0,0,0,0,,,,10.2,,,0,
A4,TR,2884.2,,,HETARB,0,0,0,0,0,,,,8.1,,,0,
C4,SA,5626,350,50,UMBCAL,0,1,,,,,,,,,,0,OG DEAD 
A4,TR,2883,,,QUEAGR,1,0,0,1,3,,,,25.2,,,0,
A4,TR,2883.1,,,QUEAGR,0,0,0,0,0,,,,,,,0,DEAD AND GONE 
A4,TR,2883.2,,,QUEAGR,0,0,0,0,0,,,,,,,0,DEAD AND GONE 
A4,TR,2885,,,QUEGAR,1,0,1,1,4,,,,26.1,,,0,
B3,TR,2886,,,QUEAGR,1,0,1,1,4,,,,27.6,,,0,
B3,TR,2886.1,,,QUEAGR,1,1,1,1,4,,,,20.4,,,0,
B2,TR,2888,,,QUEAGR,1,0,0,1,4,,,,49.5,,,0,
B2,TR,2888.1,,,QUEAGR,1,0,1,1,3,,,,35.2,,,0,OG DEAD 
C3,SA,5625,400,420,UMBCAL,0,1,,,,,,,,,,0,
B2,TR,2887,,,QUEAGR,1,0,0,1,2,,,,26.5,,,0,
C2,TR,2889,,,QUEAGR,1,0,0,1,4,,,,32,,,0,
C2,TR,2889.1,,,QUEAGR,1,0,0,1,4,,,,24.8,,,0,
C3,TR,2890,,,QUEAGR,0,0,0,0,0,,,,15.4,,,0,
C3,TR,2891,,,QUEAGR,1,0,0,1,5,,,,27.2,,,0,
C4,TR,2892,,,QUEAGR,1,0,0,1,5,,,,20.2,,,0,
D4,TR,2893,,,QUEAGR,1,0,0,1,4,,,,34.4,,,0,OG DEAD 
D2,TR,5624,150,495,UMBCAL,0,1,0,0,0,,,,,,,0,
D4,TR,2896,,,QUEAGR,1,0,0,1,5,,,,36.5,,,0,
D4,TR,2895,,,QUEAGR,1,0,1,1,2,,,,24.9,,,0,
D4,TR,2895.1,,,QUEAGR,1,0,1,1,4,,,,29.5,,,0,
D4,SA,2894,,,PSEMEN,0,0,,,,,1.79,0,,,,0,
D3,TR,2897,,,QUEAGR,1,1,1,1,3,,,,30,,,0,
D3,TR,2897.1,,,QUEAGR,1,0,1,1,4,,,,32.8,,,0,
D1,TR,2898,,,QUEAGR,1,0,0,1,3,,,,40.1,,,0,
D1,TR,2898.1,,,QUEAGR,1,0,0,1,2,,,,20.4,,,0,
D1,TR,2899,,,QUEAGR,1,1,0,1,2,,,,24.3,,,0,
D1,TR,2900,,,QUEAGR,1,1,0,1,4,,,,33.7,,,0,
