Plot ID,1344,,Sampler(s),"MK,AC,MO",,,,,Date ,20180622,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,Notes
B4,TR,1713,,,QUEDOU,1,0,0,1,4,,,,49.3,,,0,TAG REPLACED
C3,TR,1714,,,QUEDOU,1,0,0,1,4,,,,60.5,,,0,
C2,TR,1715,,,QUEGAR,1,0,0,1,4,,,,43.8,,,0,changed from queagri to match future years 
C2,TR,1716,,,QUEKEL,1,0,0,1,3,,,,26.5,,,0,
C2,TR,1717,,,QUEKEL,1,0,0,1,4,,,,48,,,0,
D2,TR,1718,,,QUEDOU,1,0,0,1,3,,,,39.6,,,0,
