Plot ID,1322,,Sampler(s),"MK,KO,AC,MO",,,,,Date ,20180725,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
B2,TR,2491,,,QUEDOU,1,0,0,1,2,,,,34.9,,,0,,
B2,TR,2492,,,QUEAGR,1,0,1,1,4,,,,46.3,,,0,,
B2,TR,2493,,,QUEDOU,1,0,0,1,3,,,,28.9,,,0,,
B1,TR,2495,,,BACPIL,0,1,0,0,0,,,,2.72,146.1,41,0,,
B1,TR,2495.1,,,BACPIL,0,0,0,0,0,,,,2.02,,,0,,
B1,TR,2495.2,,,BACPIL,0,0,0,0,0,,,,2.38,,,0,,
B1,TR,2495.3,,,BACPIL,0,0,0,0,0,,,,1.46,,,0,,
B1,TR,2495.4,,,BACPIL,0,0,0,0,0,,,,1.82,,,0,,
B1,TR,2495.5,,,BACPIL,0,0,0,0,0,,,,1.6,,,0,,
B1,TR,2495.6,,,BACPIL,0,0,0,0,0,,,,2.09,,,0,,
B1,TR,2495.7,,,BACPIL,0,0,0,0,0,,,,2.01,,,0,,
B1,TR,2495.8,,,BACPIL,0,0,0,0,0,,,,1.76,,,0,,
B1,TS,2495.9,,,BACPIL,0,1,,,,,1.52,0,,108.5,1,0,,
B1,TR,2494,,,QUEDOU,1,0,0,1,2,,,,28,,,0,,
B1,TR,2496,,,QUEDOU,1,0,1,1,2,,,,29.1,,,0,,
A1,TR,2453,,,QUEDOU,1,0,0,1,3,,,,41.7,,,0,,
A1,TR,2487,,,QUEDOU,1,0,1,1,3,,,,20.1,,,0,,
A1,SA,2488,,,QUEAGR,0,0,,,,,2.06,0,,,,0,,
A2,SA,5895,468,315,QUEDOU,1,0,,,,53.1,0.44,1,,,,0,,
A3,TR,2489,,,QUEDOU,1,0,0,1,2,,,,41.6,,,0,,
B3,TR,2490,,,QUEDOU,1,0,0,1,3,,,,33.9,,,0,,
B4,TR,2000,,,QUEDOU,1,0,0,1,3,,,,31.6,,,0,,
D3,SA,2502,,,QUEAGR,0,1,,,,,2.39,0,,38,0,0,,
D3,SA,2503,,,QUEAGR,0,1,,,,,1.98,0,,49.1,0,0,,
D3,SA,2506,,,QUEAGR,0,0,,,,,1.2,0,,,,0,,
D3,TR,2505,,,QUEDOU,1,0,0,1,3,,,,35.5,,,0,,
D3,SA,2504,,,QUEAGR,0,0,,,,,1.92,0,,,,0,,
D2,SA,2507,,,ARBMEN,0,0,,,,,2.17,0,,,,0,,
C2,TR,2497,,,QUEDOU,1,0,0,1,2,,,,37.1,,,0,,
C2,TR,2497.1,,,QUEDOU,1,0,0,1,2,,,,32.1,,,0,,
D3,SA,5896,345,355,QUEAGR,0,1,,,,,1.03,0,,31.5,0,0,,
D4,SA,5897,382,42,QUEAGR,0,1,,,,,1.28,0,,43.6,0,0,,
