Plot ID,1343,,Sampler(s),,,,,,Date ,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,Notes
C1,SA,5585,46,48,UMBCAL,1,0,,,,59.5,0.39,0,,,,0,NEW SA
B1,SA,5588,462,485,UMBCAL,1,0,,,,50.5,0.48,1,,,,0,NEW SA
C1,TR,2077,,,ARBMEN,1,1,0,1,2,,,,1.3,,,0,
C1,SA,2078,,,ARBMEN,0,1,,,,,0.94,0,,11.5,0,0,
C1,SA,2079,,,PSEMEN,0,0,,,,,1.43,0,,,,0,DEAD/GONE
C1,TR,2172,,,PSEMEN,1,0,0,1,2,,,,11.2,,,0,
C1,SA,2080,,,PSEMEN,0,0,,,,,,,,,,0,GONE
C1,SA,2085,,,PSEMEN,0,0,,,,,,,,,,0,GONE
C1,TR,2088,,,PSEMEN,1,0,0,1,3,,,,10.7,,,0,
C1,SA,2087,,,ARBMEN,0,1,,,,,1.32,0,,18,0,0,
C1,SA,2086,,,PSEMEN,0,0,,,,,,,,,,0,GONE
C1,TR,2089,,,UMBCAL,1,1,0,1,4,,,,23.4,113.5,6,0,
C1,TS,2089.1,,,UMBCAL,1,0,,,,83.4,0.7,4,,,,0,
C1,TR,2084,,,QUEKEL,1,0,0,1,3,,,,25.7,,,0,
C1,SA,2083,,,UMBCAL,0,1,,,,,0.75,0,,38.4,0,0,
C1,TR,2082,,,PSEMEN,0,0,0,0,0,,,,2.6,,,0,DEAD
C1,TR,999.1,,,PSEMEN,0,0,0,0,0,,,,4.8,,,0,"DEAD NEXT TO 2082, WAS IT DEAD IN 2013? NO TAG - GAVE IT A 999"
C1,TR,2061,,,PSEMEN,1,0,0,1,3,,,,16.2,,,0,
B2,SA,2062,,,PSEMEN,0,0,,,,200,1.54,0,0.96,,,0,DEAD
C1,SA,999.2,,,UMBCAL,0,0,,,,72,0.58,1,,,,0,
C1,SA,888,,,UMBCAL,0,1,,,,,0.62,1,,14,0,0,OG DEAD; NEEDS A TAG IN 2019
C1,SA,2090,,,UMBCAL,0,0,,,,,,,,,,0,GONE
C1,SA,2081,,,PSEMEN,0,0,,,,,0.89,0,,,,0,DEAD
C1,SA,2075,,,PSEMEN,0,0,,,,,1.08,0,,,,0,DEAD
C2,TR,2091,,,PSEMEN,0,0,0,0,0,,,,4.3,,,0,GONE
C2,TR,2096,,,PSEMEN,0,0,0,0,0,,,,4.2,,,0,GONE
C2,TR,2095,,,PSEMEN,0,0,0,0,0,,,,2,,,0,GONE
C2,TR,2097,,,PSEMEN,0,0,0,0,0,,,,2.1,,,0,GONE
A1,SA,1777,,,ARBMEN,0,0,,,,,,,,,,0,
A1,TR,1778,,,PSEMEN,0,0,0,0,0,,,,1.42,,,0,GONE
A1,SA,1779,,,PSEMEN,0,0,,,,,,,,,,0,
A1,TR,1780,,,PSEMEN,1,0,0,1,3,,,,2.85,,,0,G
A1,TR,1794,,,QUEKEL,1,0,0,1,4,,,,30.2,,,0,
A1,TR,1805,,,PSEMEN,1,0,0,1,2,,,,4.5,,,0,
A1,SA,1790,,,PSEMEN,0,0,,,,,,,,,,0,
A1,TR,1801,,,PSEMEN,1,0,0,1,2,,,,5.1,,,0,
A1,TR,1792,,,PSEMEN,0,0,0,0,0,,,,1.93,,,0,
A1,SA,1782,,,ARBMEN,0,0,,,,,0.57,0,,,,0,
A1,SA,1781,,,ARBMEN,0,1,,,,,0.23,0,,24.8,0,0,OG DEAD
A1,TR,1783,,,PSEMEN,0,0,0,0,0,,,,1.16,,,0,
A1,TR,1793,,,PSEMEN,1,0,0,1,3,,,,2.06,,,0,
A1,TR,1800,,,PSEMEN,1,0,0,1,1,,,,1.77,,,0,
A1,SA,1789,,,CEACUN,0,0,,,,,0.52,0,,,,0,
A1,SA,1787,,,PSEMEN,0,0,,,,,1.4,0,,,,0,
A1,TR,1788,,,PSEMEN,1,0,0,1,3,,,,6.4,,,0,
A1,SA,1786,,,PSEMEN,0,0,,,,,,,,,,0,GONE
A1,SA,1830,,,PSEMEN,0,0,,,,,,,,,,0,GONE
A1,SA,1828,,,PSEMEN,0,0,,,,,,,,,,0,GONE
A1,TR,1795,,,PSEMEN,1,0,0,1,2,,,,4.51,,,0,
A1,TR,1814,,,PSEMEN,1,0,0,1,3,,,,5.7,,,0,
A1,SA,1893,,,UMBCAL,0,0,,,,,0.52,0,,,,0,
A1,TR,1815,,,QUEKEL,1,0,1,1,3,,,,30.5,,,0,
A1,TR,1806,,,PSEMEN,0,0,0,0,0,,,,3.6,,,0,
A1,TR,1807,,,PSEMEN,0,0,0,0,0,,,,4.41,,,0,
A1,SA,1803,,,ARBMEN,0,0,,,,,,,,,,0,GONE
A1,SA,1785,,,PSEMEN,0,0,,,,,,,,,,0,GONE
A1,SA,1784,,,ARBMEN,0,0,,,,,,,,,,0,GONE
A1,SA,1796,,,PSEMEN,0,0,,,,,,,,,,0,GONE
A1,SA,1802,,,PSEMEN,0,0,,,,,,,,,,0,GONE
A1,SA,1797,,,PSEMEN,0,0,,,,1.12,,,,,,0,
A1,SA,1804,,,PSEMEN,0,0,,,,,,,,,,0,GONE
A1,TR,1811,,,PSEMEN,0,0,0,0,0,,,,1.9,,,0,
A1,TR,1817,,,PSEMEN,1,0,0,1,2,,,,12.7,,,0,
A1,SA,1895,,,UMBCAL,0,0,,,,,,,,,,0,GONE
A1,SA,1798,,,PSEMEN,0,0,,,,,,,,,,0,GONE
A1,SA,1791,,,PSEMEN,0,0,,,,,,,,,,0,GONE
A1,TR,1810,,,PSEMEN,0,0,0,0,0,,,,1.57,,,0,
A1,TR,1811,,,PSEMEN,0,0,0,0,0,,,,,,,0,
A1,TR,1816,,,PSEMEN,1,0,0,1,2,,,,6,,,0,
A1,TR,1809,,,PSEMEN,1,0,0,1,2,,,,4.19,,,0,
A1,TR,1808,,,PSEMEN,1,0,0,1,2,,,,4.14,,,0,
A1,TR,1837,,,PSEMEN,1,0,0,1,2,,,,4.71,,,0,
A1,SA,1799,,,ARBMEN,0,0,,,,,,,,,,0,GONE
A2,TR,1523,,,PSEMEN,1,0,0,1,2,,,,6.2,,,0,
A2,TR,1900,,,PSEMEN,0,0,0,0,0,,,,1.69,,,0,
A2,TR,1826,,,PSEMEN,0,0,0,0,0,,,,2.53,,,0,
A2,TR,1827,,,PSEMEN,1,0,0,1,2,,,,4.86,,,0,
A2,TR,1894,,,PSEMEN,1,0,0,1,1,,,,3.78,,,0,
A2,TR,1898,,,PSEMEN,0,0,0,0,0,,,,4.05,,,0,
A2,TR,1820,,,PSEMEN,1,0,0,1,1,,,,4.91,,,0,
A2,TR,1822,,,PSEMEN,1,0,0,1,2,,,,7.3,,,0,
A2,TR,1819,,,PSEMEN,1,0,0,1,1,,,,8,,,0,
A2,TR,1818,,,PSEMEN,1,0,0,1,1,,,,4.97,,,0,
A2,TR,1821,,,PSEMEN,0,0,0,0,0,,,,2.49,,,0,
C2,SA,2101,,,UMBCAL,0,0,,,,,,,,,,0,GONE
C2,TR,2055,,,PSEMEN,0,0,0,0,0,,,,2,,,0,DEAD
C2,TR,2098,,,PSEMEN,0,0,0,0,0,,,,2.3,,,0,DEAD
C2,TR,2056,,,PSEMEN,0,0,0,0,0,,,,3.8,,,0,DEAD
C2,TR,2099,,,PSEMEN,0,0,0,0,0,,,,6.5,,,0,DEAD
C2,SA,2102,,,UMBCAL,0,1,,,,,0.69,0,,40.4,0,0,OG DEAD
C2,TR,2106,,,PSEMEN,0,0,0,0,0,,,,3.9,,,0,DEAD
C2,TR,2092,,,PSEMEN,0,0,0,0,0,,,,5.4,,,0,DEAD
C2,TR,2108,,,PSEMEN,0,0,0,0,0,,,,1.7,,,0,DEAD
C2,TR,2103,,,PSEMEN,0,0,0,0,0,,,,2.2,,,0,DEAD
C2,TR,2216,,,PSEMEN,0,0,0,0,0,,,,2.1,,,0,DEAD
C2,TR,2105,,,PSEMEN,1,0,0,1,3,,,,22.2,,,0,
C2,TR,2104,,,PSEMEN,0,0,0,0,0,,,,3,,,0,DEAD
C3,TR,2109,,,PSEMEN,0,0,0,0,0,,,,2.9,,,0,DEAD
C2,TR,2107,,,PSEMEN,0,0,0,0,0,,,,7.2,,,0,DEAD
C2,TR,2213,,,PSEMEN,0,0,0,0,0,,,,,,,0,GONE/ TAG NOT FOUND
C2,SA,2094,,,UMBCAL,0,0,,,,,,,,,,0,GONE/ TAG BURNED
C2,SA,2093,,,HETARB,0,0,,,,,,,,,,0,DEAD/GONE BUT TAG FOUND
C3,TR,2110,,,PSEMEN,0,0,0,0,0,,,,3.3,,,0,DEAD
C3,TR,2111,,,PSEMEN,0,0,0,0,0,,,,2.6,,,0,DEAD
C3,TR,2112,,,PSEMEN,0,0,0,0,0,,,,3,,,0,DEAD
C3,TR,2113,,,PSEMEN,0,0,0,0,0,,,,5.7,,,0,DEAD
C3,TR,2114,,,PSEMEN,0,0,0,0,0,,,,2.9,,,0,DEAD
C3,TR,2115,,,PSEMEN,1,0,0,1,2,,,,7.3,,,0,
C3,TR,2116,,,PSEMEN,0,0,0,0,0,,,,3.6,,,0,DEAD
C3,TR,2122,,,PSEMEN,0,0,0,0,0,,,,2,,,0,DEAD
C3,SA,2119,,,UMBCAL,0,1,,,,,0.26,0,,38.4,0,0,OG GONE BD OF BASAL RESPROUT 
C3,TR,2121,,,PSEMEN,1,0,0,1,2,,,,4.7,,,0,
A2,TR,1897,,,PSEMEN,0,0,0,0,0,,,,3.73,,,0,
A2,TR,1896,,,PSEMEN,0,0,0,0,0,,,,3.93,,,0,
A2,TR,1832,,,PSEMEN,1,0,0,1,2,,,,13.8,,,0,
A2,TR,1834,,,PSEMEN,0,0,0,0,0,,,,4.43,,,0,
A2,TR,1825,,,PSEMEN,1,0,0,1,3,,,,33.7,,,0,
A2,TR,1836,,,PSEMEN,1,0,0,1,1,,,,5.46,,,0,
A2,TR,1835,,,PSEMEN,0,0,0,0,0,,,,3.19,,,0,
A2,SA,1886,,,UMBCAL,0,1,,,,,0.13,0,,20.4,0,0,OG DEAD
A2,TR,1838,,,PSEMEN,0,0,0,0,0,,,,13.3,,,0,
A2,TR,1833,,,PSEMEN,1,0,0,1,1,,,,10.7,,,0,
A2,TR,1831,,,PSEMEN,0,0,0,0,0,,,,2.41,,,0,
A2,TR,1840,,,PSEMEN,0,0,0,0,0,,,,1.9,,,0,
A2,TR,1843,,,PSEMEN,1,0,0,1,1,,,,4.43,,,0,
A2,TR,1842,,,PSEMEN,1,0,0,1,1,,,,11.7,,,0,
A2,TR,1841,,,PSEMEN,0,0,0,0,0,,,,2.3,,,0,
A2,TR,1899,,,UMBCAL,0,0,0,0,0,,,,,,,0,DEAD AND GONE
A2,TR,1839,,,PSEMEN,0,0,0,0,0,,,,1.98,,,0,DEAD
A2,TR,1813,,,PSEMEN,0,0,0,0,0,,,,2.55,,,0,
A2,TR,1824,,,QUEDEC,0,0,0,0,0,,,,,,,0,DEAD AND GONE
A2,TR,1824.1,,,QUEDEC,0,0,0,0,0,,,,,,,0,DEAD AND GONE
A2,SA,1829,,,UMBCAL,0,0,,,,,,,,,,0,DEAD AND GONE
A3,TR,1850,,,PSEMEN,1,0,0,1,1,,,,4.93,,,0,
A3,TR,1848,,,PSEMEN,0,0,0,0,0,,,,3.02,,,0,
A3,TR,1847,,,PSEMEN,0,0,0,0,0,,,,11.94,,,0,
A3,TR,1844,,,PSEMEN,0,0,0,0,0,,,,2.8,,,0,
A3,TR,2013,,,PSEMEN,0,0,0,0,0,,,,2.14,,,0,
A3,TR,1862,,,PSEMEN,0,0,0,0,0,,,,4.29,,,0,
A3,TR,1861,,,PSEMEN,0,0,0,0,0,,,,3.78,,,0,
C3,TR,2120,,,PSEMEN,0,0,0,0,0,,,,3.2,,,0,DEAD
C3,SA,2118,,,UMBCAL,0,0,,,,,0.73,0,,,,0,DEAD
C3,TR,2226,,,PSEMEN,0,0,0,0,0,,,,3.1,,,0,DEAD
C3,SA,2117,,,UMBCAL,0,0,,,,,,,,,,0,DEAD/GONE
C3,TR,2228,,,PSEMEN,0,0,0,0,0,,,,1.1,,,0,DEAD
C3,TR,2227,,,PSEMEN,0,0,0,0,0,,,,2.2,,,0,DEAD
C3,SA,2123,,,UMBCAL,0,0,,,,,0.82,0,,,,0,DEAD
C3,SA,2229,,,UMBCAL,0,0,,,,,0.47,0,,,,0,DEAD
C4,SA,2132,,,UMBCAL,0,1,,,,,0.53,0,,22.4,0,0,OG DEAD
C4,SA,2133,,,UMBCAL,0,1,,,,,0.79,0,,39.2,0,0,
C4,TR,2135,,,PSEMEN,1,0,0,1,3,,,,22,,,0,BADLY BURNED
C4,SA,2124,,,UMBCAL,0,0,,,,,,,,,,0,DEAD/GONE
C4,SA,2125,,,PSEMEN,0,0,,,,,0.96,0,,,,0,
C4,SA,2129,,,UMBCAL,0,0,,,,,,,,,,0,DEAD/GONE
C4,SA,2128,,,PSEMEN,0,0,,,,,,,,,,0,DEAD/GONE
C4,SA,2138,,,PSEMEN,0,0,,,,,0.94,0,,,,0,DEAD
C4,SA,2127,,,PSEMEN,0,0,,,,,1.33,,,,,0,DEAD
C4,SA,2126,,,UMBCAL,0,0,,,,,,,,,,0,DEAD/GONE
C4,SA,2137,,,PSEMEN,0,0,,,,,1.55,0,,,,0,
C4,TR,2231,,,PSEMEN,0,0,0,0,0,,,,,,,0,DEAD/GONE
C4,SA,2136,,,UMBCAL,0,0,,,,,,,,,,0,DEAD/GONE
C4,SA,2134,,,QUEAGR,0,0,,,,,,,,,,0,DEAD/GONE
C4,TR,2130,,,PSEMEN,0,0,0,0,0,,,,4.9,,,0,
C4,TR,2131,,,QUEKEL,1,0,0,1,4,,,,34,,,0,TAG IS GONE 
D4,TR,2154,,,PSEMEN,1,0,0,1,3,,,,8.6,,,0,
