plot,quad,date,device,reading,notes
PPW1314,A1,20180503,MFO,12.7,
PPW1314,A2,20180503,MFO,9.9,
PPW1314,A3,20180503,MFO,11.8,
PPW1314,A4,20180503,MFO,10.9,
PPW1314,B4,20180503,MFO,9.4,
PPW1314,B3,20180503,MFO,7.4,
PPW1314,B2,20180503,MFO,6.4,
PPW1314,B1,20180503,MFO,12.6,
PPW1314,C1,20180503,MFO,9.8,
PPW1314,C2,20180503,MFO,8.2,
PPW1314,C3,20180503,MFO,5,
PPW1314,C4,20180503,MFO,11.9,
PPW1314,D4,20180503,MFO,6.9,
PPW1314,D3,20180503,MFO,5.5,
PPW1314,D2,20180503,MFO,7.4,
PPW1314,D1,20180503,MFO,12.2,
PPW1323,A1,20180503,MFO,21.2,
PPW1323,A2,20180503,MFO,32.3,
PPW1323,A3,20180503,MFO,23.1,
PPW1323,A4,20180503,MFO,21.2,
PPW1323,B4,20180503,MFO,14.5,
PPW1323,B3,20180503,MFO,20.6,
PPW1323,B2,20180503,MFO,20.9,
PPW1323,B1,20180503,MFO,21.5,
PPW1323,C1,20180503,MFO,23.6,
PPW1323,C2,20180503,MFO,19.2,
PPW1323,C3,20180503,MFO,21.2,
PPW1323,C4,20180503,MFO,7.4,
PPW1323,D4,20180503,MFO,15.9,
PPW1323,D3,20180503,MFO,23.4,
PPW1323,D2,20180503,MFO,17.5,
PPW1323,D1,20180503,MFO,21.6,
PPW1345,A1,20180503,MFO,11.2,
PPW1345,A2,20180503,MFO,6.3,
PPW1345,A3,20180503,MFO,18.1,
PPW1345,A4,20180503,MFO,14.2,
PPW1345,B4,20180503,MFO,13.7,
PPW1345,B3,20180503,MFO,13.8,
PPW1345,B2,20180503,MFO,13.9,
PPW1345,B1,20180503,MFO,15.4,
PPW1345,C1,20180503,MFO,13.2,
PPW1345,C2,20180503,MFO,16.4,
PPW1345,C3,20180503,MFO,13.5,
PPW1345,C4,20180503,MFO,10.9,
PPW1345,D4,20180503,MFO,18.8,
PPW1345,D3,20180503,MFO,18.5,
PPW1345,D2,20180503,MFO,16.1,
PPW1345,D1,20180503,MFO,18.2,
PPW1331,A1,20180503,MFO,6.4,
PPW1331,A2,20180503,MFO,5.4,
PPW1331,A3,20180503,MFO,14.8,
PPW1331,A4,20180503,MFO,11.6,
