Plot,Num
2,1034
2,1041
5,1069.1
7,1150
12,1379
12,1391
13,1732
15,2830
20,4729.1
20,4542
20,4712
21,2357
21,2457
21,2454
21,2464
26,3638
26,3410
27,4458.2
27,4464
27,4398.2
27,4379.2
28,4681
28,4749.1
28,4960
28,4960.1
28,4960.2
28,4861
28,4813
28,4998
30,4051
30,4057
30,4063.1
30,4069.1
30,4167.1
30,3946
30,4124
30,4111
30,4113
30,3933
30,3933.1
30,3933.2
30,3937
30,3937.1
30,3988
30,4000
30,4000.1
30,3415.1
30,3415.2
30,3460
30,3717.1
30,3732.1
30,3770
30,3742.1
30,3746.1
30,3794
30,3958.1
30,3957
30,3961
30,3962
30,3963
30,3974
30,3980
31,2677
31,2674
37,3293
37,3293.1
40,1685
40,1694
40,1637
41,1966
43,1785
43,1778
43,1791
43,1797
43,1798
43,1799
43,1802
43,1804
43,1806
43,1810
43,1811
43,1828
43,1813
43,1831
43,1839
43,1840
43,1841
43,1897
43,1844
43,1845
43,1846
43,1847
43,1854
43,1855
43,1861
43,2002
43,2003
43,2013
43,2019
43,1870
43,1875
43,1880
43,1890
43,2057
43,2068
43,2069
43,2071
43,2074
43,2071
43,2021
43,2086
43,2055
43,2095
43,2108
43,2216
43,2228
43,2127
43,2185
43,2190
43,2196
43,2209
43,2215
43,2224
43,2179
43,2160
43,2162
43,2232
43,2045
43,2035
43,2020
45,2285.1
45,2298
45,2298.1
45,2300.1
46,5127
47,2987
48,3220
48,3245
49,4017
50,4335
50,4344
50,4302
50,4181
50,4098
50,4098.2
