"Plot Title: PPW1312_10006340"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10006340, SEN S/N: 10006340)","RH, % (LGR S/N: 10006340, SEN S/N: 10006340)","Coupler Detached (LGR S/N: 10006340)","Coupler Attached (LGR S/N: 10006340)","Stopped (LGR S/N: 10006340)","End Of File (LGR S/N: 10006340)"
1,05/25/13 12:00:00 AM,10.834,69.049,Logged,,,
2,05/25/13 12:30:00 AM,9.731,72.588,,,,
3,05/25/13 01:00:00 AM,8.866,75.684,,,,
4,05/25/13 01:30:00 AM,8.070,78.165,,,,
5,05/25/13 02:00:00 AM,7.619,80.280,,,,
6,05/25/13 02:30:00 AM,7.242,82.171,,,,
7,05/25/13 03:00:00 AM,6.864,83.566,,,,
8,05/25/13 03:30:00 AM,6.509,84.429,,,,
9,05/25/13 04:00:00 AM,6.230,86.085,,,,
10,05/25/13 04:30:00 AM,6.102,87.117,,,,
11,05/25/13 05:00:00 AM,6.153,88.212,,,,
12,05/25/13 05:30:00 AM,6.051,88.212,,,,
13,05/25/13 06:00:00 AM,5.847,88.547,,,,
14,05/25/13 06:30:00 AM,5.924,88.950,,,,
15,05/25/13 07:00:00 AM,6.382,89.781,,,,
16,05/25/13 07:30:00 AM,8.045,86.104,,,,
17,05/25/13 08:00:00 AM,9.485,79.178,,,,
18,05/25/13 08:30:00 AM,10.663,75.393,,,,
19,05/25/13 09:00:00 AM,11.977,71.085,,,,
20,05/25/13 09:30:00 AM,13.112,65.522,,,,
21,05/25/13 10:00:00 AM,14.361,62.041,,,,
22,05/25/13 10:30:00 AM,16.082,55.041,,,,
23,05/25/13 11:00:00 AM,17.701,49.278,,,,
24,05/25/13 11:30:00 AM,18.485,47.371,,,,
25,05/25/13 12:00:00 PM,19.508,45.441,,,,
26,05/25/13 12:30:00 PM,20.889,40.202,,,,
27,05/25/13 01:00:00 PM,21.939,40.023,,,,
28,05/25/13 01:30:00 PM,22.824,36.773,,,,
29,05/25/13 02:00:00 PM,23.160,35.253,,,,
30,05/25/13 02:30:00 PM,23.184,39.110,,,,
31,05/25/13 03:00:00 PM,23.232,40.978,,,,
32,05/25/13 03:30:00 PM,22.920,41.367,,,,
33,05/25/13 04:00:00 PM,23.016,42.157,,,,
34,05/25/13 04:30:00 PM,22.944,42.344,,,,
35,05/25/13 05:00:00 PM,23.280,41.862,,,,
36,05/25/13 05:30:00 PM,23.376,41.189,,,,
37,05/25/13 06:00:00 PM,23.088,33.885,,,,
38,05/25/13 06:30:00 PM,22.250,34.736,,,,
39,05/25/13 07:00:00 PM,21.079,39.801,,,,
40,05/25/13 07:30:00 PM,19.413,44.952,,,,
41,05/25/13 08:00:00 PM,18.224,49.535,,,,
42,05/25/13 08:30:00 PM,17.272,53.221,,,,
43,05/25/13 09:00:00 PM,16.320,57.386,,,,
44,05/25/13 09:30:00 PM,15.652,60.947,,,,
45,05/25/13 10:00:00 PM,15.031,63.778,,,,
46,05/25/13 10:30:00 PM,14.361,66.443,,,,
47,05/25/13 11:00:00 PM,13.930,68.508,,,,
48,05/25/13 11:30:00 PM,13.449,71.483,,,,
49,05/26/13 12:00:00 AM,13.161,73.861,,,,
50,05/26/13 12:30:00 AM,12.847,76.011,,,,
51,05/26/13 01:00:00 AM,12.558,77.312,,,,
52,05/26/13 01:30:00 AM,12.485,77.878,,,,
53,05/26/13 02:00:00 AM,11.224,80.592,,,,
54,05/26/13 02:30:00 AM,10.394,82.837,,,,
55,05/26/13 03:00:00 AM,9.854,84.952,,,,
56,05/26/13 03:30:00 AM,9.460,86.916,,,,
57,05/26/13 04:00:00 AM,9.312,88.344,,,,
58,05/26/13 04:30:00 AM,9.262,88.254,,,,
59,05/26/13 05:00:00 AM,9.410,89.926,,,,
60,05/26/13 05:30:00 AM,9.583,89.347,,,,
61,05/26/13 06:00:00 AM,9.188,89.948,,,,
62,05/26/13 06:30:00 AM,8.916,90.704,,,,
63,05/26/13 07:00:00 AM,9.312,91.447,,,,
64,05/26/13 07:30:00 AM,10.883,91.796,,,,
65,05/26/13 08:00:00 AM,12.534,87.498,,,,
66,05/26/13 08:30:00 AM,13.978,80.844,,,,
67,05/26/13 09:00:00 AM,15.270,73.631,,,,
68,05/26/13 09:30:00 AM,16.463,66.790,,,,
69,05/26/13 10:00:00 AM,17.320,65.855,,,,
70,05/26/13 10:30:00 AM,18.390,61.394,,,,
71,05/26/13 11:00:00 AM,19.508,57.234,,,,
72,05/26/13 11:30:00 AM,19.793,55.435,,,,
73,05/26/13 12:00:00 PM,20.579,51.197,,,,
74,05/26/13 12:30:00 PM,21.676,46.184,,,,
75,05/26/13 01:00:00 PM,21.891,43.838,,,,
76,05/26/13 01:30:00 PM,22.657,37.809,,,,
77,05/26/13 02:00:00 PM,22.705,38.241,,,,
78,05/26/13 02:30:00 PM,22.465,38.085,,,,
79,05/26/13 03:00:00 PM,22.872,36.514,,,,
80,05/26/13 03:30:00 PM,23.016,37.846,,,,
81,05/26/13 04:00:00 PM,23.136,37.957,,,,
82,05/26/13 04:30:00 PM,23.256,39.936,,,,
83,05/26/13 05:00:00 PM,23.136,42.138,,,,
84,05/26/13 05:30:00 PM,22.944,41.954,,,,
85,05/26/13 06:00:00 PM,22.537,42.848,,,,
86,05/26/13 06:30:00 PM,21.915,43.390,,,,
87,05/26/13 07:00:00 PM,21.223,44.818,,,,
88,05/26/13 07:30:00 PM,20.317,48.710,,,,
89,05/26/13 08:00:00 PM,19.151,52.900,,,,
90,05/26/13 08:30:00 PM,17.368,59.121,,,,
91,05/26/13 09:00:00 PM,15.915,61.675,,,,
92,05/26/13 09:30:00 PM,14.098,67.093,,,,
93,05/26/13 10:00:00 PM,12.654,70.988,,,,
94,05/26/13 10:30:00 PM,11.856,75.110,,,,
95,05/26/13 11:00:00 PM,11.029,76.880,,,,
96,05/26/13 11:30:00 PM,10.541,79.245,,,,
97,05/27/13 12:00:00 AM,10.296,80.035,,,,
98,05/27/13 12:30:00 AM,9.829,81.284,,,,
99,05/27/13 01:00:00 AM,9.410,82.986,,,,
100,05/27/13 01:30:00 AM,9.114,83.664,,,,
101,05/27/13 02:00:00 AM,8.916,83.884,,,,
102,05/27/13 02:30:00 AM,8.593,84.762,,,,
103,05/27/13 03:00:00 AM,8.270,86.420,,,,
