Plot ID,1307,,Sampler(s),"KM, MO, GH, JB",,,,,Date ,20190709,,,,,,,,,
Notes,MK- MAKE NEW COLUMN FOR BD OF BSPRT,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A4,SA,1125,,,ARBMEN,0,1,,,,,0.63,0,,49,,,,BD OF BSPRT
A4,SA,5902,,,ARBMEN,0,1,,,,,0.6,0,,38.4,,,,BD OF BSPRT
A4,SA,5903,,,UMBCAL,0,1,,,,,0.36,0,,34.2,,,,BD OF BSPRT
A4,SA,6451,1,215,QUEKEL,0,1,,,,NA,0.91,1,,47.5,,,,"NEW SA, NO SOD, OG DEAD"
A4,TR,1123,,,ARBMEN,1,1,1,1,4,,,,58.9,NA,0,,,
A4,SA,1120,,,ARBMEN,0,0,,,,,,,,,,1,,
A4,SA,6450,260,160,ARBMEN,0,1,,,,NA,0.65,1,,64.5,,,,"NEW SA, OG DEAD"
A4,SA,1119,,,ARBMEN,0,1,,,,62.5,,1,,,,,,"UNDER 1124 BSPRT, BD OF BSPRT"
A4,TR,1124,,,QUEGAR,1,1,1,1,3,,,,26.3,81.4,40,,,CHANGE SP IN '18 DB
A4,SA,6449,372,233,UMBCAL,1,0,,,,92.6,0.47,2,,,,,,NEW UNDER SA 1124
A4,SA,6448,372,313,ARBMEN,0,1,,,,NA,1.06,2,,46,,,,"NEW SA, BD OF OG"
B4,SA,6447,2,315,ARBMEN,0,1,,,,NA,0.41,0,,47.7,,,,"NEW SA, BD OF OG"
A4,SA,1113,,,ARBMEN,1,0,,,,69.2,0.48,2,,,,,,BD OF BSPRT
A4,SA,6446,390,90,QUEGAR,1,0,,,,89.2,0.62,7,,,,,,"NEW BSPROUT/ SA, NO OG/ MAY BE 5819"
A4,SA,5822,,,ARBMEN,0,1,,,,NA,0.49,0,,43.2,,,,BD OF BSPRT
A3,SA,1116,,,ARBMEN,0,0,,,,,,,,,,,,
A4,SA,1117,,,ARBMEN,0,0,,,,,,,,,,,,NOT FOUND
A4,SA,1122,,,ARBMEN,0,0,,,,,,,,,,,,NOT FOUND
A4,SA,5819,,,ARBMEN,0,0,,,,,,,,,,,,DEAD
B4,SA,5818,,,ARBMEN,1,0,,,,60.8,0.6,1,,,,,,BD OF BSPRT
B4,TR,1126,,,QUEAGRI,1,1,1,0,2,,,,21.9,56.7,3,,,
B4,SA,6445,187,184,ARBMEN,1,0,,,,5.9,0.58,2,,,,,,NEW SA
B3,SA,6444,300,200,ARBMEN,1,0,,,,51.6,0.56,0,,,,,,NEW SA
A3,SA,5821,,,ARBMEN,0,1,,,,,0.8,1,,49.9,,,,BD OF OG= .8/ BD OF BSPRT
A3,SA,5823,,,ARBMEN,1,0,,,,63.1,0.84,6,,,,,,BD OF BSPRT
