Plot ID,1311,,Sampler(s),"MO, GH, TT",,,,,Date ,20190613,,,,,,,,,
Notes,INCOMPLETE LIST- SOME QUADS MIGHT BE OFF COMPARED TO 2018,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
D4,SA,6346,470,300,ARCMAN,,,,,,142.6,2.37,0,,,,,,
D4,TR,1270,,,QUEDOU,1,0,1,1,4,,,,30.2,,,,,
D2,TR,1271,,,QUEDOU,1,0,1,1,4,,,,29.5,,,,,
D2,TR,1271.1,,,QUEDOU,0,0,0,0,0,,,,14.3,,,,,
D1,TR,1272,,,QUEDOU,1,0,1,1,4,,,,36.2,,,,,
C1,TR,1264,,,QUEDOU,1,0,1,1,4,,,,31.2,,,,,
C1,TR,1264.1,,,QUEDOU,1,0,1,1,4,,,,24.9,,,,,
C2,TR,1265,,,QUEDOU,1,0,1,1,4,,,,28.1,,,,,
C2,TR,1265.1,,,QUEDOU,1,0,1,1,4,,,,19.6,,,,,
C2,TR,1266,,,QUEDOU,1,0,1,1,4,,,,26,,,,,
C2,TR,1266.1,,,QUEDOU,1,0,1,1,4,,,,16.7,,,,,
C2,TR,1267,,,QUEDOU,1,0,1,1,3,,,,26.5,,,,,
C4,TR,1268,,,QUEDOU,1,0,1,1,4,,,,37.7,,,,,
C4,TR,1268.1,,,QUEDOU,1,0,1,1,4,,,,29.4,,,,,
C4,TR,1268.2,,,QUEDOU,1,0,1,1,4,,,,23.4,,,,,
C4,TR,1269,,,ARCMAN,1,0,0,1,2,,,,19.5,,,,,
C4,TR,1269.1,,,ARCMAN,1,0,0,1,2,,,,15.4,,,,,
C4,TR,1269.2,,,ARCMAN,1,0,0,1,2,,,,11.3,,,,,
B3,TR,1258,,,ARCMAN,1,0,0,1,3,,,,13.7,,,,,
B3,TR,1258.1,,,ARCMAN,1,0,0,1,2,,,,9.9,,,,,
B3,TR,1258.2,,,ARCMAN,1,0,0,1,3,,,,7.2,,,,,
B3,TR,1258.3,,,ARCMAN,0,0,0,0,0,,,,10.3,,,,,
B3,TR,1258.4,,,ARCMAN,0,0,0,0,0,,,,13.4,,,,,
B3,TR,1258.5,,,ARCMAN,1,0,0,1,2,,,,11.5,,,,,
B3,TR,1258.6,,,ARCMAN,1,0,0,1,1,,,,9.3,,,,,
B3,TR,1258.7,,,ARCMAN,1,0,0,1,4,,,,9.6,,,,,
B1,TR,1262,,,HETARB,1,0,0,1,4,,,,14.3,,,,,
B1,TR,1262.1,,,HETARB,1,0,0,1,3,,,,10,,,,,
B1,TR,1262.2,,,HETARB,0,0,0,0,0,,,,6.6,,,,,
B1,TS,1262.3,,,HETARB,1,0,,,,115.8,0.6,0,,,,,,
B1,TS,1262.4,,,HETARB,1,0,,,,138.9,1.02,0,,,,,,
B1,TR,1262.5,,,HETARB,1,0,0,1,5,,,,2.28,,,,,
B1,TS,1262.6,,,HETARB,1,0,,,,163.2,0.97,0,,,,,,
B1,TS,1262.7,,,HETARB,1,0,,,,130.5,1.08,0,,,,,,
B1,TS,1262.8,,,HETARB,1,0,,,,69,0.96,0,,,,,,
B1,TR,1262.9,,,HETARB,1,0,0,,5,,,,2.21,,,,,NEW POINT
B1,TR,1260,,,ARCMAN,1,0,0,,2,,,,9.8,,,,,
B1,TR,1260.1,,,ARCMAN,1,0,0,,1,,,,6.4,,,,,
B1,TR,1263,,,QUEDOU,1,0,1,,4,,,,23.8,,,,,
B1,TR,1259,,,QUEDOU,1,0,1,,1,,,,34.9,,,,,
B1,TR,1259.1,,,QUEDOU,1,0,1,,1,,,,29,,,,,
B1,TR,1259.2,,,QUEDOU,1,0,1,,3,,,,37.8,,,,,
B1,TR,1261,,,ARCMAN,1,0,0,,4,,,,4.61,,,,,
B1,TR,1261.1,,,ARCMAN,1,0,0,,5,,,,3.27,,,,,
B1,SA,5586,,,HETARB,1,0,,,,84.5,1.01,12,,,,,,
B1,TR,1261.2,,,ARCMAN,1,0,0,1,4,,,,2.59,,,,,NEW POINT
B1,TR,1261.3,,,ARCMAN,1,0,0,1,4,,,,2.27,,,,,
B1,TR,1261.4,,,ARCMAN,1,0,0,1,5,,,,2.44,,,,,
