Plot ID,PPW1337,,Sampler(s),"MO, MK, MF",,,,,Date ,20190708,,,,,,,,,
Notes,"3304- PHOTO 1 BASAL SPROUT IS A TREE THE OTHER IS <1CM DBH: HOW TO HANDLE? / 3302-PHOTO BSPROUT 750 CM, FUTURE .1 AND .2? TALLEST BSPROUT DBH 1.5 HT 203 BD 1.84",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
D4,TR,3321,,,PSEMEN,0,0,0,0,0,,,,NA,,,,,
D4,SA,6394,,,BACPIL,1,0,,,,56.8,0.5,0,,,,,,NEW SA
D4,SA,3338,,,QUEAGRI,0,0,,,,,,,,,,1,,
C4,TR,3304,,,ARBMEN,1,1,1,1,5,,,,1.3,61,1,,,"OG DEAD, BSPRT DBH = 1.3"
C4,SA,5788,,,QUEAGRI,1,0,,,,60.6,0.56,2,,,,,,RESPROUT BD
C4,TR,3302,,,ARBMEN,1,1,1,1,5,,,,1.5,150,1,,,"BSPRT >50, TR: HT 230CM BD 2.3 "
C4,SA,3301,,,ARBMEN,1,0,,,,171.4,1.05,1,,,,,,
C4,SA,5789,,,BACPIL,1,0,,,,159.5,1.46,0,,,,,,
C4,TR,3329,,,PSEMEN,0,0,0,0,0,,,,,,,,,
C4,TR,3330,,,PSEMEN,0,0,0,0,0,,,,65.2,,,,,
C4,SA,3328,,,ARBMEN,0,0,,,,,,,,,,1,,
C4,SA,3303,,,ARBMEN,0,0,,,,,,,,,,,,GONE/ TAG NOT FOUND
C3,SA,3325,,,ARBMEN,0,0,,,,,,,,,,1,,
C3,SA,6395,410,420,BACPIL,1,0,,,,63.5,0.54,0,,,,,,NEW SA
B3,SA,3294,,,ARBMEN,1,0,,,,89,0.89,2,,,,,,RESPROUT BD/ TAG MOVED TO BSPRT
C3,SA,3332,,,ARBMEN,0,0,,,,,,,,,,1,,
C3,SA,3333,,,QUEAGRI,1,0,,,,68,0.64,2,,,,,,
C3,SA,6396,390,260,BACPIL,1,0,,,,112.6,0.94,0,,,,,,NEW SA
C3,SA,5786,,,BACPIL,1,0,,,,137.1,1.06,0,,,,,,
C3,TR,3084,,,ARBMEN,0,1,0,0,0,,,,,158.6,2,,,
C3,TS,3084.1,,,ARBMEN,0,0,,,,,,,,,,1,,
C3,TR,3336,,,PSEMEN,1,0,1,1,2,,,,61.7,,,,,
C2,SA,5787,,,UMBCAL,1,0,,,,96.5,0.77,1,,,,,,"NO SOD, RESPROUT BD"
C2,SA,6397,214,236,BACPIL,1,0,,,,74.4,0.51,0,,,,,,NEW SA
C1,TR,3310,,,PSEMEN,1,0,0,1,4,,,,28.3,,,,,QUAD WRONG IN '18 DB
D1,TR,3313,,,PSEMEN,1,0,0,1,4,,,,32.1,,,,,
D1,TR,3316,,,QUEKEL,1,0,1,1,4,,,,41.2,,,,,
D1,TR,3193,,,PSEMEN,1,0,0,1,4,,,,44.1,,,,,
D1,TR,3229,,,PSEMEN,1,0,0,1,4,,,,,,,,,was typo 3329 mkqc2022
D1,TR,3312,,,PSEMEN,1,0,0,1,4,,,,,,,,,
D2,SA,3314,,,QUEAGRI,0,0,,,,,,,,,,,,
D2,SA,3311,,,QUEAGRI,0,0,,,,,,,,,,1,,
D3,TR,3337,10,10,PSEMEN,0,0,0,0,0,,,,26.7,,,,,NOT ON LIST
