Plot ID,PPW1329,,Sampler(s),"MO, GF, GH",,,,,Date ,20190624,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A4,TR,2885,,,QUEGAR,1,0,1,1,3,,,,26.6,,,,,
A4,TR,2884,,,HETARB,0,1,0,0,0,,,,NA,60.5,3,,,
A4,TR,2884.1,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
A4,TR,2884.2,,,HETARB,0,0,0,0,0,,,,NA,,,1,,
A4,TR,2883,,,QUEAGRI,1,0,0,1,3,,,,25.1,,,,,
A4,TR,2883.1,,,QUEAGRI,0,0,0,0,0,,,,NA,,,,,TAG GONE
A4,TR,2883.2,,,QUEAGRI,0,0,0,0,0,,,,NA,,,,,TAG GONE
A3,TR,2882,,,QUEAGRI,1,1,1,1,4,,,,50.9,NA,0,,,DBH EFFECTED BY FIRE
A3,TS,5627,,,QUEAGRI,1,0,,,,41.8,0.45,0,,,,,,
A3,TS,5627.1,,,QUEAGRI,0,0,,,,NA,NA,,,,,,,TAG NOT FOUND
A1,TR,2881,,,QUEAGRI,1,0,0,1,4,,,,24.8,,,,,
A1,TR,2881.1,,,QUEAGRI,1,0,1,1,4,,,,15.9,,,,,
A1,TR,2881.2,,,QUEAGRI,1,1,1,1,4,,,,22.7,NA,0,,,
A1,TR,2881.3,,,QUEAGRI,1,0,1,1,4,,,,19,,,,,
B2,TR,2887,,,QUEAGRI,1,0,1,1,4,,,,26.4,,,,,
B2,TR,2888,,,QUEAGRI,1,0,1,1,4,,,,49.4,,,,,
B2,TR,2888.1,,,QUEAGRI,1,0,1,1,4,,,,34.5,,,,,
B2,TR,2886,,,QUEAGRI,1,0,1,1,4,,,,27.6,,,,,
B2,TR,2886.1,,,QUEAGRI,1,0,1,1,4,,,,20.9,,,,,
C4,TR,2892,,,QUEGAR,1,0,0,1,4,,,,20.1,,,,,WAS MISRECORDED AS QUEAGRI- CHANGED TO MATCH OTHER YRS- MKQC2022
C4,SA,5626,,,UMBCAL,1,0,,,,22.6,0.3,0,,,,,,BD OF BSPRT
C3,TR,2891,,,QUEGAR,1,0,1,1,4,,,,26.4,,,,,
C3,TR,2890,,,QUEGAR,0,0,0,0,0,,,,NA,,,1,,
C3,SA,5625,,,UMBCAL,1,0,,,,22.2,0.35,0,,,,,,BD OF BSPRT
C2,TR,2889,,,QUEAGRI,1,0,1,1,5,,,,33,,,,,
C2,TR,2889.1,,,QUEAGRI,1,0,1,1,5,,,,25,,,,,
D1,TR,2900,,,QUEAGRI,1,0,0,1,4,,,,33.5,,,,,
D1,TR,2899,,,QUEAGRI,1,0,1,1,3,,,,24.2,,,,,
D1,TR,2898,,,QUEAGRI,1,0,1,1,4,,,,39.9,,,,,
D1,TR,2898.1,,,QUEAGRI,1,0,1,1,3,,,,20.8,,,,,
D2,SA,5624,,,UMBCAL,1,0,,,,29,0.32,0,,,,,,NOT A TR BD OF RESPROUT- chancged to SA in 2018-mkqc2023
D3,TR,2897,,,QUEAGRI,1,0,1,1,4,,,,30.7,,,,,
D3,TR,2897.1,,,QUEAGRI,1,0,1,1,4,,,,33,,,,,
D4,TR,2893,,,QUEAGRI,1,0,1,1,4,,,,34.7,,,,,
D4,TR,2896,,,QUEAGRI,1,0,0,1,4,,,,36.4,,,,,
D4,TR,2895,,,QUEAGRI,1,0,1,1,1,,,,25,,,,,
D4,TR,2895.1,,,QUEAGRI,1,0,1,1,4,,,,29.5,,,,,
D4,SA,2894,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
