Plot ID,PPW1343,,Sampler(s),"MK, GH, MO, TT",,,,,Date ,20190606,,,,,,,,,,
Notes,"PSEMEN TREE IN D2 W/OUT TAG 2.3  60, 470",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes,
A1,SA,1796,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,GONE,
A1,SA,1784,,,ARBMEN,0,0,,,,NA,NA,NA,,,,1,,GONE,
A1,TR,1814,,,PSEMEN,1,0,0,1,2,,,,10.3,,,,,,
A1,SA,1786,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,GONE,
A1,SA,1828,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,GONE,
A1,SA,1830,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,GONE,
A1,TR,1815,,,QUEKEL,1,0,1,1,4,,,,29.1,,,,,,
A1,TR,1806,,,PSEMEN,0,0,0,0,0,,,,3.5,,,,,,
A1,TR,1807,,,PSEMEN,1,0,0,1,1,,,,5.4,,,,,,
A1,SA,1893,,,UMBCAL,0,0,,,,,0.64,0,,,,,,,
A1,TR,1809,,,PSEMEN,1,0,0,1,2,,,,4.5,,,,,,
A1,TR,1816,,,PSEMEN,1,0,0,1,2,,,,6.4,,,,,,
A1,TR,1810,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,GONE,
A1,TR,1811,,,PSEMEN,0,0,0,0,0,,,,3,,,,,DEAD,
A1,SA,1779,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,GONE,
A1,SA,1777,,,ARBMEN,0,0,,,,NA,NA,NA,,,,1,,GONE,
A1,TR,1817,,,PSEMEN,1,0,0,1,2,,,,12.8,,,,,,
A1,TR,1812,,,PSEMEN,1,0,0,1,1,,,,4.3,,,,,,
A1,TR,1837,,,PSEMEN,1,0,0,1,1,,,,4.9,,,,,,
A1,SA,1895,,,UMBCAL,0,0,,,,NA,NA,NA,,,,1,,GONE,
A1,TR,1808,,,PSEMEN,1,0,0,1,1,,,,4.4,,,,,,
A1,SA,1802,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,GONE,
A1,SA,1803,,,ARBMEN,0,0,,,,NA,NA,NA,,,,1,,GONE/ was typo psemen- mkqc2022,
A1,SA,1785,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,GONE,
A1,SA,1791,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,GONE,
A1,SA,1804,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,GONE,
A1,SA,1790,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,GONE,
A1,SA,1798,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,GONE,
A1,SA,1799,,,ARBMEN,0,0,,,,NA,NA,NA,,,,,,GONE/ NOT FOUND,
A2,TR,1823,,,PSEMEN,1,0,0,1,2,,,,9.7,,,,,1523 IN DB?,
A2,TR,1900,,,PSEMEN,0,0,0,0,0,,,,1.81,,,,,,
A2,TR,1826,,,PSEMEN,0,0,0,0,0,,,,3.09,,,,,,
A2,TR,1827,,,PSEMEN,1,0,0,1,2,,,,5.99,,,,,,
A2,TR,1820,,,PSEMEN,1,0,0,1,1,,,,4.26,,,,,,
A2,TR,1813,,,PSEMEN,0,0,0,0,0,,,,2.76,,,,,,
A2,TR,1818,,,PSEMEN,1,0,0,1,1,,,,5.11,,,,,,
A2,TR,1821,,,PSEMEN,0,0,0,0,0,,,,2.33,,,,,,
A2,TR,1819,,,PSEMEN,1,0,0,1,2,,,,8.1,,,,,,
A2,TR,1822,,,PSEMEN,1,0,0,1,2,,,,7.8,,,,,,
A2,TR,1841,,,PSEMEN,0,0,0,0,0,,,,2.42,,,,,,
D3,SA,2159,,,UMBCAL,0,1,,,,,,,,42.4,0,,,,
D3,TR,2165,,,PSEMEN,0,0,0,0,0,,,,5.8,,,,,,
D3,TR,2166,,,PSEMEN,0,0,0,0,0,,,,5.9,,,,,,
D3,SA,2158,,,ARBMEN,0,0,,,,NA,NA,,,,,1,,,GONE
D3,TR,2156,,,PSEMEN,0,0,0,0,0,,,,NA,,,,,,
D3,TR,2164,,,PSEMEN,0,0,0,0,0,,,,5.1,,,,,,
D3,TR,2163,,,PSEMEN,0,0,0,0,0,,,,NA,,,,,,
D3,TR,2157,,,PSEMEN,1,0,0,1,4,,,,14.4,,,,,,
D3,TR,2160,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,,FOR ALL ON GROUND CANT GET DBH
D3,TR,2161,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,,FOR ALL ON GROUND CANT GET DBH
D3,TR,2162,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,,FOR ALL ON GROUND CANT GET DBH
D4,TR,2148,,,PSEMEN,0,0,0,0,0,,,,2.4,,,,,,
D4,SA,2147,,,PSEMEN,0,0,,,,NA,1.5,,,,,,,,
D4,TR,2154,,,PSEMEN,0,0,0,0,0,,,,8.4,,,,,,
D4,TR,2155,,,PSEMEN,0,0,0,0,0,,,,NA,,,,,,
D4,TR,2151,,,PSEMEN,0,0,0,0,0,,,,NA,,,,,,
D4,SA,2150,,,PSEMEN,0,0,,,,NA,0.99,,,,,1,,,
D4,SA,2141,325,168,UMBCAL,0,1,,,,,,,,45.2,0,,,,
D4,SA,2140,,,PSEMEN,0,0,,,,NA,NA,,,,,1,,,
D4,SA,6338,385,302,UMBCAL,0,1,,,,NA,1.04,,,40.7,0,,,OG DEAD/ NEW SA {? ILLEGIBLE MARGIN SCAN},
D4,TR,2149,,,PSEMEN,0,0,0,0,0,,,,NA,,,,,,
D4,SA,2145,,,UMBCAL,1,0,,,,60.3,0.38,1,,,,,,,
D4,SA,2143,,,UMBCAL,0,1,,,,,,,,35.5,0,,,118 & 267 IS REAL XY DUP ON LIST,
D4,SA,2233,,,UMBCAL,0,0,,,,NA,0.67,,,,,,,,
D4,SA,2139,,,UMBCAL,0,0,,,,NA,NA,,,,,1,,,
D4,SA,2152,,,PSEMEN,0,0,,,,NA,NA,,,,,1,,,
D4,SA,2146,,,UMBCAL,0,0,,,,NA,NA,,,,,1,,,
D4,SA,2142,,,UMBCAL,0,0,,,,NA,0.53,,,,,,,,
A2,TR,1898,,,PSEMEN,0,0,0,0,0,,,,4.04,,,,,,
A2,TR,1894,,,PSEMEN,0,0,0,0,0,,,,3.68,,,,,,
A2,TR,1897,,,PSEMEN,0,0,0,0,0,,,,3.94,,,,,,
A2,TR,1836,,,PSEMEN,1,0,0,1,1,,,,5.25,,,,,,
A2,TR,1896,,,PSEMEN,0,0,0,0,0,,,,3.5,,,,,,
A2,TR,1832,,,PSEMEN,1,0,0,1,2,,,,14.3,,,,,,
A2,TR,1833,,,PSEMEN,1,0,0,1,2,,,,10.7,,,,,,
A2,TR,1831,,,PSEMEN,0,0,0,0,0,,,,2.39,,,,,,
A2,TR,1840,,,PSEMEN,0,0,0,0,0,,,,2.25,,,,,,
A2,TR,1843,,,PSEMEN,0,0,0,0,0,,,,4.41,,,,,,
A2,TR,1842,,,PSEMEN,1,0,0,1,1,,,,11.2,,,,,,
A2,TR,1834,,,PSEMEN,0,0,0,0,0,,,,4.13,,,,,,
A2,TR,1835,,,PSEMEN,0,0,0,0,0,,,,3.21,,,,,,
A2,TR,1838,,,PSEMEN,0,0,0,0,0,,,,13.3,,,,,,
A2,TR,1899,,,UMBCAL,0,0,0,0,0,NA,NA,NA,,,,1,,GONE,
A2,TR,1839,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,FALLEN,
A2,TR,1825,,,PSEMEN,1,0,0,1,3,,,,14,,,,,"2018 DBH 13.7 (?)/ deleted dup (noone is missing- with same data except in B2 and with a dbh of 14.1, this one was 13.9 so im splitting it 14- mkqc2022",
A2,TR,1824,,,QUEDEC,0,0,0,0,0,,,,,,,,,HOLE IN GROUND,
A2,TR,1824.1,,,QUEDEC,0,0,0,0,0,,,,,,,,,HOLE IN GROUND,
A2,SA,1829,,,UMBCAL,0,0,,,,NA,NA,NA,,,,1,,GONE,
A2,SA,1886,,,UMBCAL,0,1,,,,NA,NA,NA,,26.4,NA,,,OG DEAD,
A3,TR,1845,,,PSEMEN,0,0,0,0,0,,,,,2.59,,,,,
A3,TR,1846,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,FALLEN,
A3,TR,1848,,,PSEMEN,0,0,0,0,0,,,,,2.98,,,,,
A3,TR,1844,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,FALLEN,
A3,TR,1847,,,PSEMEN,0,0,0,0,0,,,,,2.11,,,,,
A3,TR,2019,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,FALLEN,
A3,TR,2013,,,PSEMEN,0,0,0,0,0,,,,,2.6,,,,,
D4,SA,2234,,,UMBCAL,0,0,,,,NA,0.89,,,,,,,,
D4,SA,2153,,,UMBCAL,0,0,,,,NA,NA,,,,,1,,,
D4,SA,2232,,,PSEMEN,0,0,,,,NA,NA,,,,,1,,,
D4,SA,2144,,,UMBCAL,0,0,,,,NA,NA,,,,,1,,,
C4,TR,2135,,,PSEMEN,1,0,0,1,3,,,,22.5,,,,,,
C4,SA,2124,,,UMBCAL,0,0,,,,,,,,,,1,,,
C4,SA,2125,,,PSEMEN,0,0,,,,,1.11,,,,,,,,
C4,TR,2130,,,PSEMEN,0,0,0,0,0,,,,4.9,,,,,,
