Plot ID,1301,,Sampler(s),"MK, MO, MF",,,,,Date ,20190703,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A2,TR,1001,,,QUEGAR,1,0,1,1,3,,,,20,,,0,,
A2,TR,1002,,,QUEGAR,0,0,0,0,0,,,,21.8,,,0,,
A2,TR,1003,,,QUEGAR,1,0,1,1,3,,,,20.5,,,0,,
A4,TR,1004,,,QUEGAR,1,0,1,1,4,,,,27.9,,,0,,
A4,TR,1005,,,QUEGAR,1,0,1,1,4,,,,33.2,,,0,,
A4,TR,1006,,,QUEGAR,1,1,1,1,4,,,,31.3,59.6,1,0,,
B1,TR,1007,,,QUEGAR,1,0,1,1,2,,,,29,,,0,,
B3,TR,1008,,,QUEGAR,1,0,1,1,3,,,,33.9,,,0,,
B4,TR,1009,,,QUEGAR,1,1,1,1,3,,,,13.3,111.8,3,0,,
B4,TR,1010,,,QUEGAR,1,0,1,1,4,,,,26.3,,,0,,
B4,TR,1011,,,QUEGAR,1,0,1,1,4,,,,22.9,,,0,,
C1,TR,1012,,,QUEGAR,1,0,1,1,2,,,,17.7,,,0,,BARK SEPERATION EFFECT DBH
C1,TR,1012.1,,,QUEGAR,1,0,1,1,2,,,,16.8,,,0,,
C2,TR,1014,,,QUEGAR,0,1,0,0,0,,,,,106,27,0,,
C2,TR,1014.1,,,QUEGAR,0,0,0,0,0,,,,,,,0,,
C2,TR,1015,,,QUEGAR,1,0,1,1,2,,,,30,,,0,,
C2,TR,1017,,,QUEGAR,1,1,1,1,3,,,,20.5,82.9,3,0,,
C2,TR,1018,,,QUEGAR,1,0,1,1,4,,,,25.9,,,0,,
C3,TR,1020,,,QUEGAR,1,0,1,1,4,,,,35.3,,,0,,
D2,TR,1022,,,QUEGAR,1,0,1,1,3,,,,28.8,,,0,,
D4,TR,1021,,,QUEGAR,1,0,1,1,4,,,,35.5,,,0,,
D1,SA,6393,370,499,QUEGAR,1,0,,,,50.5,0.63,0,,,,0,,UNDER FALLEN TREE ON LINE. 
