plot,date,device,quad,reading,notes
PPW1308,20220511,1591,D4,12.5,switched back to 1591 handle and probe
PPW1308,20220511,1591,D3,11.6,switched back to 1591 handle and probe
PPW1308,20220511,1591,D2,10.9,switched back to 1591 handle and probe
PPW1308,20220511,1591,D1,15.1,switched back to 1591 handle and probe
PPW1309,20220511,1591,A1,8.4,
PPW1309,20220511,1591,A2,6.7,
PPW1309,20220511,1591,A3,10.5,
PPW1309,20220511,1591,A4,10.2,
PPW1309,20220511,1591,B4,8.3,
PPW1309,20220511,1591,B3,9.6,
PPW1309,20220511,1591,B2,8.5,
PPW1309,20220511,1591,B1,6.2,
PPW1309,20220511,1591,C1,7.5,
PPW1309,20220511,1591,C2,7.8,
PPW1309,20220511,1591,C3,5.2,
PPW1309,20220511,1591,C4,5.9,
PPW1309,20220511,1591,D4,9.5,
PPW1309,20220511,1591,D3,8.9,
PPW1309,20220511,1591,D2,6.3,
PPW1309,20220511,1591,D1,10.4,
PPW1310,20220511,1591,A1,15.4,
PPW1310,20220511,1591,A2,12.9,
PPW1310,20220511,1591,A3,17.5,
PPW1310,20220511,1591,A4,17.9,
PPW1310,20220511,1591,B4,11.2,
PPW1310,20220511,1591,B3,17.6,
PPW1310,20220511,1591,B2,14.1,
PPW1310,20220511,1591,B1,16,
PPW1310,20220511,4500,C1,9.9,
PPW1310,20220511,4500,C2,11.8,
PPW1310,20220511,4500,C3,9.8,
PPW1310,20220511,4500,C4,10.9,
PPW1310,20220511,4500,D4,9.8,
PPW1310,20220511,4500,D3,8,
PPW1310,20220511,4500,D2,16.5,
PPW1310,20220511,4500,D1,12.3,
PPW1311,20220511,1591,A1,12.5,
PPW1311,20220511,1591,A2,3.9,
PPW1311,20220511,1591,A3,7.1,
PPW1311,20220511,1591,A4,4.6,
PPW1311,20220511,1591,B4,4.8,
PPW1311,20220511,1591,B3,8.6,
PPW1311,20220511,1591,B2,4.5,
PPW1311,20220511,1591,B1,4.2,
PPW1311,20220511,1591,C1,4.6,
PPW1311,20220511,1591,C2,5.9,
PPW1311,20220511,1591,C3,5.2,
PPW1311,20220511,1591,C4,5.9,
PPW1311,20220511,1591,D4,7.1,
PPW1311,20220511,1591,D3,6,
PPW1311,20220511,1591,D2,9.4,
PPW1311,20220511,1591,D1,8.6,
PPW1312,20220511,1591,A1,17.5,
PPW1312,20220511,1591,A2,10.1,
