Plot,Num
2,1025
7,1117
8,1253.1
10,1226
11,1258.4
11,1271.1
13,1719
13,1719.1
13,1757
13,1757.1
15,2819
17,2769
17,2773.1
21,2442
23,1963
25,3950
27,4374.1
27,4379.1
27,4391
28,4628
29,2883.1
29,2883.2
29,2884.1
30,3438.1
30,3949
30,3859
30,3979
30,4145
30,4145.1
30,3760.1
30,3819
30,3743
30,4083
33,3342.2
34,2656
34,2658
36,2917.2
37,3272.1
37,3272.2
38,2517.1
39,2548
40,1704.1
40,1711
42,2315
43,1803
43,1796
43,1824
43,1824.1
43,1852
43,2080
43,2067
43,2102
43,2227
43,2195
45,2259.1
47,2937
47,2996
47,3052
48,3158
48,3160
48,3111.1
48,3122
48,3082
48,3086
48,3088
48,3183
48,3090.1
48,3258
48,3256
48,3087
48,3191
48,3250
48,3231
50,4098.1
50,4098.3
50,4095.1
50,4094
50,4301
