Plot ID,PPW1338,,Sampler(s),"MK,MO,KO,AC",,,,,Date ,20180725,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,Notes
A1,SA,5790,402,9,UMBCAL,1,,,,,61.9,1.56,,,,,NO,NEW SA
A1,SA,2501,,,PSEMEN,1,,,,,202.5,3.56,,0.89,,,NO,
A1,SA,5791,126,415,PSEMEN,1,,,,,54,1.01,,,,,NO,NEW SA
A2,TR,2509,,,QUEAGR,1,0,0,1,4,,,,51.3,,,NO,
A2,TR,2509.1,,,QUEAGR,1,0,1,0,1,,,,25.9,,,NO,
A2,TR,2509.2,,,QUEAGR,1,0,0,1,3,,,,40.2,,,NO,
A2,TR,2509.3,,,QUEAGR,1,0,0,1,3,,,,41.3,,,NO,
A2,SA,999.1,,,PSEMEN,0,,,,,,0.85,,,,,NO,
A2,SA,2508,,,PSEMEN,0,,,,,,1.7,,,,,NO,
A2,SA,2510,,,PSEMEN,0,,,,,,1.15,,,,,NO,
A3,SA,2511,,,PSEMEN,0,,,,,,2.15,,,,,NO,
A4,TR,2512,,,QUEAGR,1,0,1,1,3,,,,42.8,,,NO,
A4,TR,2512.1,,,QUEAGR,1,0,1,1,2,,,,23.7,,,NO,
A4,TR,2513,,,PSEMEN,1,0,1,1,4,,,,10.6,,,NO,
A4,SA,5792,410,305,UMBCAL,0,1,,,,,0.41,1,,47.5,,NO,NEW SA OG DEAD 
A4,SA,5793,309,104,UMBCAL,0,1,,,,,0.79,,,37.5,,NO,NEW SA OG DEAD 
B3,SA,2514,,,PSEMEN,0,,,,,,1.29,,,,,NO,
B2,SA,2516,,,PSEMEN,1,,,,,130,2.99,,,,,NO,
B2,SA,2515,,,PSEMEN,1,,,,,102.1,2.03,,,,,NO,
B1,TR,2517,,,QUEAGR,1,0,0,1,4,,,,41.3,,,NO,
B1,TR,2517.1,,,QUEAGR,0,0,0,0,0,,,,,,,NO,DEAD/GONE/ TAG NOT FOUND 
B1,TR,2517.2,,,QUEAGR,1,0,1,1,2,,,,24.5,,,NO,
C2,TR,2518,,,QUEAGR,1,0,0,1,3,,,,32.2,,,NO,
C2,TR,2518.1,,,QUEAGR,1,0,1,0,1,,,,22.3,,,NO,
D4,TR,2520,,,QUEAGR,1,0,0,1,3,,,,59.4,,,NO,
D4,SA,2519,,,UMBCAL,1,,,,,89.5,1.35,1,,,,NO,
D2,SA,2521,,,UMBCAL,0,1,,,,,1.45,1,,67.7,2,NO,
D2,SA,5794,235,321,UMBCAL,0,1,,,,,0.73,,,28.5,,NO,NEW SA OG DEAD
C2,SA,5795,384,257,PSEMEN,1,,,,,45,0.71,0,,,,NO,
D1,SA,2522,,,UMBCAL,0,1,,,,,1.08,0,,30,,NO,
D1,TR,2523,,,QUEAGR,1,0,1,1,4,,,,31.4,,,NO,
D1,TR,2523.1,,,QUEAGR,1,0,1,1,2,,,,30.1,,,NO,
D1,SA,5796,236,184,UMBCAL,0,1,,,,,0.61,,,40.3,,NO,NEW SA OG DEAD 
D1,SA,5884,432,186,UMBCAL,0,1,,,,,6.65,,,39.9,,NO,NEW SA OG DEAD 
D1,SA,5885,445,462,UMBCAL,0,1,,,,,1.01,,,36,,NO,NEW SA OG DEAD 
