Plot ID,1350,,Sampler(s),"MK,DK,MO,AK",,,,,Date ,20180809,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,Notes
A1,SA,4118,,,AMOCAL,0,1,,,,,,,,78,7,,OG DEAD/GONE
A1,SA,4119,,,AMOCAL,0,1,,,,,,,,105.5,3,,OG DEAD/GONE
A1,SA,4067,,,AMOCAL,0,1,,,,,1.25,,,140.9,10,,OG DEAD
A1,TR,4120,,,UMBCAL,0,1,0,0,0,,,,1.93,105.3,5,,OG DEAD
A1,SA,4116,,,HETARB,0,1,,,,,2.37,1,,66.1,4,,OG DEAD
B4,TR,4088,,,HETARB,0,1,0,0,0,,,,4.04,142.4,14,,OG DEAD
B4,TR,4088.1,,,HETARB,0,0,0,0,0,,,,2.88,,,,
B4,TR,4088.2,,,HETARB,0,1,0,0,0,,,,1.42,88.1,3,,OG DEAD
B4,TS,4088.4,,,HETARB,0,0,,,,,1.11,,,,,YES,
B4,SA,4087,,,HETARB,0,0,,,,,,,,,,YES,GONE
C3,TR,4098,,,HETARB,0,1,0,0,0,,,,1.72,72,7,,
C3,TR,4098.2,,,HETARB,0,0,0,0,0,,,,,,,YES,GONE
C3,TS,4098.3,,,HETARB,0,1,,,,,3.08,,,75.1,3,,
C3,TR,4098.1,,,HETARB,0,0,0,0,0,,,,,,,,GONE/NOT FOUND
B3,TR,4099,,,HETARB,0,0,0,0,0,,,,,,,YES,GONE
B3,TS,4099.1,,,HETARB,0,0,,,,,,,,,,,GONE/NOT FOUND
,,,,,,,,,,,,,,,,,,
D3,TR,4301,,,HETARB,0,1,,,,,,,3.7,94,6,,DEAD/GONE
D3,TS,4301.1,,,HETARB,0,0,,,,,,,,,,,DEAD/GONE
D3,TR,4298,,,QUEGAR,1,1,0,1,3,,,,18.5,83.9,4,,
D3,SA,4286,,,AMOCAL,0,1,,,,,0.68,1,,104.6,15,,OG DEAD
D3,SA,4295,,,AMOCAL,0,1,,,,,,,,127.5,3,,"OG DEAD, NO BD"
D3,SA,4303,,,AMOCAL,0,1,,,,,1.73,2,,178,23,,OG DEAD
D3,TR,4304,,,PSEMEN,0,0,0,1,3,,,,41,,,,
D3,SA,4302,,,AMOCAL,0,1,,,,,,,,83.2,3,,"OG DEAD, NO BD, TAG REPLACED"
D3,SA,4305,,,AMOCAL,0,1,,,,,0.95,0,,98.9,3,,OG DEAD
D3,SA,4306,,,AMOCAL,0,1,,,,,,,,109,9,,"OG DEAD, NO BD, TAG REPLACED"
D3,SA,4313,,,AMOCAL,0,1,,,,,1.02,1,,106,5,,OG DEAD
D3,SA,4312,,,AMOCAL,0,1,,,,,1.23,1,,129.4,10,,OG DEAD
D3,SA,4280,,,AMOCAL,0,1,,,,,1.25,,,100.7,11,,OG DEAD
D3,SA,4279,,,AMOCAL,0,1,,,,,0.98,1,,166.1,7,,OG DEAD
D3,SA,4309,,,AMOCAL,0,1,,,,,,,,73.4,2,,"OG DEAD, NO BD"
D3,TR,4307,,,UMBCAL,0,1,0,0,0,,3.05,,1.78,85.4,4,,OG DEAD
D3,SA,4308,,,UMBCAL,0,,,,,,,,,,,YES,DEAD/GONE
D3,SA,4311,,,AMOCAL,0,1,,,,,,,,91.4,10,,"OG DEAD, NO BD, TAG REPLACED"
D3,SA,4310,,,AMOCAL,0,0,,,,,0.87,,,,,YES,DEAD/GONE
D3,SA,4294,,,AMOCAL,0,1,,,,,,,,118.8,3,,"OG DEAD/GONE, NO BD"
D3,SA,4287,,,FRACAL,0,,,,,,,,,,,YES,DEAD/GONE
D3,SA,4296,,,UMBCAL,0,,,,,,,,,,,YES,DEAD/GONE
D3,SA,6050,365,375,AMOCAL,1,0,,,,83,0.43,1,,,,,
D3,SA,6051,371,320,AMOCAL,0,1,,,,,0.6,,,80.5,2,,OG DEAD
D3,SA,4284,69,475,UMBCAL,0,0,,,,,0.98,,,,,,CHANGED COORDINATES
D3,SA,6052,74,445,AMOCAL,0,1,,,,,0.32,,,87.2,5,,OG DEAD
D3,SA,6053,177,214,AMOCAL,0,1,,,,,1.23,3,,143.2,6,,OG DEAD
D3,SA,6054,91,199,AMOCAL,0,1,,,,,1.07,,,104.4,5,,OG DEAD
,,,,,,,,,,,,,,,,,,
B3,TR,4089,,,QUEKEL,1,1,1,1,2,,,,15.2,,,,
B3,TR,4090,,,QUEKEL,1,1,0,1,2,,,,2.6,,,,
B3,SA,4091,,,AMOCAL,0,1,,,,,,,,89.1,3,,OG DEAD/GONE
B3,TR,4093,,,PSEMEN,1,0,0,1,2,,,,13.1,,,,
B3,TR,4092,,,PSEMEN,1,0,0,1,2,,,,19.6,,,,
B3,TR,4096,,,HETARB,0,1,0,0,0,,,,2.05,84.2,5,,OG DEAD
B3,TS,4096.1,,,HETARB,0,1,,,,,1.63,,,59.3,1,,OG DEAD
B2,TR,4095,,,HETARB,0,1,0,0,0,,,,2.53,55.1,1,,OG DEAD
B2,TS,4095.1,,,HETARB,0,0,,,,,,,,,,,GONE
B2,TR,4094,,,HETARB,0,0,0,0,0,,,,,,,YES,GONE
B2,TS,4094.1,,,HETARB,0,0,,,,,,,,,,,GONE
B2,SA,4206,,,AMOCAL,0,1,,,,,1.59,0,,123.6,14,,OG DEAD
B2,SA,6024,300,284,AMOCAL,1,,,,,100.4,0.51,,,,,,NEW SA
B2,TR,4202,,,PSEMEN,1,0,0,1,2,,,,34.6,,,,
B2,TR,4201,,,HETARB,0,1,0,0,0,,,,1.32,100.7,12,,OG DEAD
B2,TS,4201.1,,,HETARB,0,0,,,,,1.73,,,,,,
B2,SA,4100,,,AMOCAL,0,0,,,,,,,,124.3,7,,OG DEAD/GONE
B2,SA,4203,,,UMBCAL,0,1,,,,,1.18,0,,51,1,,OG DEAD
B2,SA,4205,,,AMOCAL,0,1,,,,,,,,133.5,10,,OG DEAD/GONE
B1,SA,6025,452,448,AMOCAL,1,,,,,82.1,0.4,3,,,,,NEW SA
B1,SA,6026,478,365,AMOCAL,1,,,,,73,0.39,4,,,,,NEW SA
B1,SA,4207,,,QUEAGRI,0,1,,,,,1.03,2,,57.5,1,,OG DEAD
B1,TR,4204,,,QUEAGRI,1,1,1,1,3,,,,31.5,,,,
B1,TR,4261,,,QUEAGRI,1,1,1,0,1,,,,15.9,59.5,1,,DBH @TAG NOT AT 1.4M
B1,TS,4208,,,QUEAGRI,0,1,,,,,,,,58.2,2,,OG DEAD
B1,SA,6027,83,346,AMOCAL,1,,,,,89.1,0.45,5,,,,,NEW SA
B1,SA,4209,,,HETARB,0,,,,,,1.16,,,,,,
B1,SA,6028,163,180,AMOCAL,1,,,,,95.1,0.5,5,,,,,NEW SA
,,,,,,,,,,,,,,,,,,
B1,SA,4212,,,PSEMEN,0,,,,,,0.78,0,,,,,
B1,SA,4213,,,PSEMEN,0,,,,,,1.75,0,0.94,,,,
B1,SA,4214,,,PSEMEN,0,,,,,,0.89,0,,,,,
B1,SA,4211,,,UMBCAL,0,,,,,,1.22,,,,,,
B1,SA,4217,,,PSEMEN,0,,,,,,,,,,,YES,GONE
B1,SA,4216,,,PSEMEN,0,,,,,,0.63,,,,,,
B1,SA,4215,,,PSEMEN,0,,,,,,1.01,,,,,,
B1,SA,4210,,,UMBCAL,0,,,,,,,,,,,YES,DEAD/GONE
C1,SA,4233,,,PSEMEN,0,,,,,,,,,,,YES,DEAD/GONE
C1,SA,4230,,,AMOCAL,0,1,,,,,,,,85.4,2,,
C1,SA,4228,,,PSEMEN,0,,,,,,0.35,,,,,,
C1,SA,4229,,,PSEMEN,0,,,,,,0.52,,,,,,
C1,SA,4227,,,PSEMEN,0,,,,,,1.29,,,,,,
C1,TR,4226,,,UMBCAL,0,0,0,0,0,,2.3,,1.2,,,,
C1,SA,4231,,,AMOCAL,0,,,,,,,,,,,YES,DEAD/GONE
C1,TR,4223,,,PSEMEN,0,0,0,0,0,,,,1.88,,,,
C1,SA,4222,,,PSEMEN,0,,,,,,1.42,,,,,,
C1,SA,4180,,,PSEMEN,0,,,,,,1.54,,,,,,
C1,SA,4221,,,PSEMEN,0,,,,,,,,,,,YES,DEAD/GONE
C1,SA,4220,,,PSEMEN,0,,,,,,0.36,,,,,,
C1,SA,4218,,,PSEMEN,0,,,,,,,,,,,YES,DEAD/GONE
C1,SA,4219,,,PSEMEN,0,,,,,,1.27,,,,,,
C1,SA,4241,,,PSEMEN,0,,,,,,1.82,,,,,,
C1,SA,4238,,,PSEMEN,0,,,,,,1.94,,,,,,
C1,SA,4239,,,PSEMEN,0,,,,,,1.17,,,,,,
C1,SA,4237,,,PSEMEN,0,,,,,,1.5,,,,,,
C1,SA,4235,,,PSEMEN,0,,,,,,1.52,,,,,,
C1,SA,4234,,,PSEMEN,0,,,,,,0.84,,,,,,
,,,,,,,,,,,,,,,,,,
C1,TR,4240,,,PSEMEN,0,0,0,0,0,,,,2.68,,,,
C1,SA,4225,,,AMOCAL,0,,,,,,,,,67.4,2,,BD UNAVAILABLE
C1,SA,4224,,,UMBCAL,0,,,,,,,,,68.5,1,,BD UNAVAILABLE
C1,SA,4242,,,PSEMEN,0,,,,,,,,,,,YES,DEAD/GONE
C1,SA,4232,,,PSEMEN,0,,,,,,,,,,,YES,DEAD/GONE
C1,SA,6029,141,262,AMOCAL,0,1,,,,,0.62,,,75.3,4,,
C2,TR,4254,,,PSEMEN,1,0,1,1,2,,,,23.3,,,,
C2,TR,4256,,,PSEMEN,1,0,0,0,0,,,,3.15,,,,
C2,SA,4252,,,AMOCAL,0,1,,,,,1.32,,,153.4,19,,
C2,SA,4253,,,AMOCAL,0,1,,,,,0.74,,,83,4,,
C2,SA,4249,,,AMOCAL,0,1,,,,,0.96,3,,130.3,10,,
