LAI_File	Date	TransComp	Model	A-B-?-1-2	LAI	SMP
1322A3	20140619 17:03:54	a-p-s	Horizontal	6-6-0-0-0	3.36	3
1322C1	20140619 17:07:03	a-p-s	Horizontal	6-6-0-0-0	2.46	3
1322C3	20140619 17:05:03	a-p-s	Horizontal	6-6-0-0-0	2.2	2
1322CENT	20140619 17:00:24	a-p-s	Horizontal	6-6-0-0-0	3.02	4
1322NE	20140619 17:05:50	a-p-s	Horizontal	6-6-0-0-0	1.52	4
1322NW	20140619 17:02:04	a-p-s	Horizontal	6-6-0-0-0	2.51	5
1322SE	20140619 17:07:59	a-p-s	Horizontal	6-6-0-0-0	2.16	4
1322SW	20140619 16:58:09	a-p-s	Horizontal	6-6-0-0-0	1.09	4
1325A1	20140619 07:25:18	a-p-s	Horizontal	6-6-0-0-0	3.58	6
1325A3	20140619 07:27:15	a-p-s	Horizontal	6-6-0-0-0	1.26	6
1325C1	20140619 07:31:42	a-p-s	Horizontal	6-6-0-0-0	1.79	6
1325C3	20140619 07:29:28	a-p-s	Horizontal	6-6-0-0-0	1.4	6
1325CENT	20140619 07:26:13	a-p-s	Horizontal	6-6-0-0-0	1.98	6
1325NE	20140619 07:30:29	a-p-s	Horizontal	6-6-0-0-0	1.32	6
1325NW	20140619 07:28:07	a-p-s	Horizontal	6-6-0-0-0	1.03	6
1325SE	20140619 07:32:35	a-p-s	Horizontal	6-6-0-0-0	1.73	6
1325SW	20140619 07:23:35	a-p-s	Horizontal	6-6-0-0-0	1.92	6
1337A1	20140619 10:01:29	a-p-s	Horizontal	6-6-0-0-0	1.79	6
1337A3	20140619 10:03:00	a-p-s	Horizontal	6-6-0-0-0	2.11	6
1337C1	20140619 10:06:52	a-p-s	Horizontal	6-6-0-0-0	2.79	6
1337C3	20140619 10:05:04	a-p-s	Horizontal	6-6-0-0-0	2.28	6
1337CENT	20140619 10:02:10	a-p-s	Horizontal	6-6-0-0-0	1.65	6
1337NE	20140619 10:05:53	a-p-s	Horizontal	6-6-0-0-0	3.29	6
1337NW	20140619 10:03:43	a-p-s	Horizontal	6-6-0-0-0	2.95	6
1337SE	20140619 10:07:39	a-p-s	Horizontal	6-6-0-0-0	3.24	6
1337SW	20140619 10:00:42	a-p-s	Horizontal	6-6-0-0-0	1.56	6
1338A1	20140619 17:30:17	a-p-s	Horizontal	6-6-0-0-0	2.86	6
1338A3	20140619 17:38:49	a-p-s	Horizontal	6-6-0-0-0	2.3	6
1338C1	20140619 17:46:56	a-p-s	Horizontal	6-6-0-0-0	2.73	6
1338C3	20140619 17:43:02	a-p-s	Horizontal	6-6-0-0-0	2.66	6
1338CENT	20140619 17:32:08	a-p-s	Horizontal	6-6-0-0-0	2.18	3
1338NE	20140619 17:41:26	a-p-s	Horizontal	6-6-0-0-0	2.32	6
1338NW	20140619 17:39:55	a-p-s	Horizontal	6-6-0-0-0	2.51	6
1338SE	20140619 17:44:41	a-p-s	Horizontal	6-6-0-0-0	3.16	6
1338SW	20140619 17:26:25	a-p-s	Horizontal	6-6-0-0-0	4.3	6
1339A1	20140619 18:05:12	a-p-s	Horizontal	6-6-0-0-0	2.8	6
1339A3	20140619 18:18:16	a-p-s	Horizontal	6-6-0-0-0	2.07	6
1339C1	20140619 18:14:29	a-p-s	Horizontal	6-6-0-0-0	2.44	6
1339C3	20140619 18:11:42	a-p-s	Horizontal	6-6-0-0-0	0.44	4
1339CENT	20140619 18:06:26	a-p-s	Horizontal	6-6-0-0-0	2.06	6
1339NE	20140619 18:09:57	a-p-s	Horizontal	6-6-0-0-0	2	6
1339NW	20140619 18:07:51	a-p-s	Horizontal	6-6-0-0-0	3.26	6
1339SE	20140619 18:13:18	a-p-s	Horizontal	6-6-0-0-0	2.32	6
1339SW	20140619 18:03:37	a-p-s	Horizontal	6-6-0-0-0	0.81	6
1343A1	20140623 17:21:43	a-p-s	Horizontal	6-6-0-0-0	7.1	6
1343A3	20140623 17:24:23	a-p-s	Horizontal	6-6-0-0-0	5.22	6
1343C1	20140623 17:31:11	a-p-s	Horizontal	6-6-0-0-0	6.1	6
1343C3	20140623 17:29:46	a-p-s	Horizontal	6-6-0-0-0	5.42	6
1343CENT	20140623 17:22:56	a-p-s	Horizontal	6-6-0-0-0	6.5	6
1343NE	20140623 17:27:23	a-p-s	Horizontal	6-6-0-0-0	6.32	6
1343NW	20140623 17:25:51	a-p-s	Horizontal	6-6-0-0-0	5.64	6
1343SE	20140623 17:32:46	a-p-s	Horizontal	6-6-0-0-0	5.33	6
1343SW	20140623 17:19:20	a-p-s	Horizontal	6-6-0-0-0	6.98	6
1344A1	20140623 19:04:02	a-p-s	Horizontal	6-6-0-0-0	0	0
1344A3	20140623 19:05:22	a-p-s	Horizontal	6-6-0-0-0	2.59	6
1344C1	20140623 19:00:16	a-p-s	Horizontal	6-6-0-0-0	1.73	6
1344C3	20140623 18:58:08	a-p-s	Horizontal	6-6-0-0-0	1.95	6
1344CENT	20140623 18:59:12	a-p-s	Horizontal	6-6-0-0-0	1.59	6
1344NE	20140623 18:56:57	a-p-s	Horizontal	6-6-0-0-0	2.85	6
1344NW	20140623 19:06:06	a-p-s	Horizontal	6-6-0-0-0	2.64	6
1344SE	20140623 19:01:18	a-p-s	Horizontal	6-6-0-0-0	1.56	6
1344SW	20140623 19:03:02	a-p-s	Horizontal	6-6-0-0-0	0	0
1349A1	20140619 07:52:23	a-p-s	Horizontal	6-6-0-0-0	3.68	6
1349A3	20140619 07:54:12	a-p-s	Horizontal	6-6-0-0-0	2.53	6
1349C1	20140619 07:58:34	a-p-s	Horizontal	6-6-0-0-0	3.35	6
1349C3	20140619 07:56:39	a-p-s	Horizontal	6-6-0-0-0	2.73	6
1349CENT	20140619 07:53:13	a-p-s	Horizontal	6-6-0-0-0	3.75	6
1349NE	20140619 08:08:10	a-p-s	Horizontal	6-6-0-0-0	3.27	6
1349NW	20140619 08:09:19	a-p-s	Horizontal	6-6-0-0-0	2.26	6
1349SE	20140619 08:07:04	a-p-s	Horizontal	6-6-0-0-0	2.7	6
1349SW	20140619 07:51:15	a-p-s	Horizontal	6-6-0-0-0	2.78	6
