Site,Species,Sample.number,Alternate.number,DBH,Height,Date,Time ,Predawn.mean,Midday.mean,Leaf.weight.change,Stem.weight.change,Bulk.weight.change
ST,ADEFAS,10996,,,,20211009,PreDawn,2.48,3.45,NA,NA,2.895
WTH,QUEAGRI,10800,,89.8,,20211009,PreDawn,2.03,3.43,5.65824,1.958,NA
WTH,QUEDOU,10801,,50.9,,20211009,PreDawn,2.50,4.48,5.6994,1.3921,NA
WTH,QUEKEL,10803,,83.4,,20211009,PreDawn,3.58,4.47,8.41818,1.3481,NA
WTH,QUEAGRI,10805,,73.4,,20211009,PreDawn,1.97,3.03,8.76749,2.2206,NA
WTH,QUEKEL,10806,,35.9,,20211009,PreDawn,3.48,4.48,6.2169,1.0515,NA
WTH,QUEGAR,10864,,33.8,,20211009,PreDawn,4.28,5.20,9.333,1.9349,NA
WTH,QUEGAR,10865,,94.3,,20211009,PreDawn,1.45,3.23,9.2109,2.952,NA
WTH,QUEKEL,10896,,72.5,,20211009,PreDawn,3.68,4.72,17.7567,2.5086,NA
WTH,QUEKEL,10898,,58.6,,20211010,PreDawn,1.45,3.69,7.3918,2.7275,NA
WTH,QUEKEL,10899,,80.2,,20211009,PreDawn,3.63,4.75,12.31647,2.4282,NA
WTH,UMBCAL,10956,,8.6,,20211009,PreDawn,1.08,2.75,9.1566,1.1604,NA
WTH,ARBMEN,10986,,30.1,,20211009,PreDawn,4.98,5.55,7.6779,1.71115,NA
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
