"Plot Title: PPW1301_9850211"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 9850211, SEN S/N: 9850211)","RH, % (LGR S/N: 9850211, SEN S/N: 9850211)","Coupler Attached (LGR S/N: 9850211)","Coupler Detached (LGR S/N: 9850211)","Stopped (LGR S/N: 9850211)","End Of File (LGR S/N: 9850211)"
1,07/25/14 12:00:00 PM,93.375,23.391,,Logged,,
2,07/25/14 12:30:00 PM,93.992,17.808,,,,
3,07/25/14 01:00:00 PM,95.806,17.790,,,,
4,07/25/14 01:30:00 PM,96.773,17.388,,,,
5,07/25/14 02:00:00 PM,97.599,17.699,,,,
6,07/25/14 02:30:00 PM,96.773,17.747,,,,
7,07/25/14 03:00:00 PM,95.662,18.359,,,,
8,07/25/14 03:30:00 PM,94.658,18.578,,,,
9,07/25/14 04:00:00 PM,95.040,17.481,,,,
10,07/25/14 04:30:00 PM,92.151,18.893,,,,
11,07/25/14 05:00:00 PM,90.936,19.529,,,,
12,07/25/14 05:30:00 PM,89.269,22.751,,,,
13,07/25/14 06:00:00 PM,86.572,25.300,,,,
14,07/25/14 06:30:00 PM,84.272,26.798,,,,
15,07/25/14 07:00:00 PM,82.218,29.622,,,,
16,07/25/14 07:30:00 PM,79.041,31.645,,,,
17,07/25/14 08:00:00 PM,78.339,29.955,,,,
18,07/25/14 08:30:00 PM,76.636,31.697,,,,
19,07/25/14 09:00:00 PM,76.507,31.624,,,,
20,07/25/14 09:30:00 PM,77.335,31.529,,,,
21,07/25/14 10:00:00 PM,74.856,34.418,,,,
22,07/25/14 10:30:00 PM,73.342,36.886,,,,
23,07/25/14 11:00:00 PM,74.856,35.613,,,,
24,07/25/14 11:30:00 PM,72.826,38.041,,,,
25,07/26/14 12:00:00 AM,75.333,34.875,,,,
26,07/26/14 12:30:00 AM,74.077,35.770,,,,
27,07/26/14 01:00:00 AM,69.514,41.201,,,,
28,07/26/14 01:30:00 AM,67.971,43.101,,,,
29,07/26/14 02:00:00 AM,66.729,46.113,,,,
30,07/26/14 02:30:00 AM,65.788,47.912,,,,
31,07/26/14 03:00:00 AM,64.888,56.222,,,,
32,07/26/14 03:30:00 AM,64.332,65.466,,,,
33,07/26/14 04:00:00 AM,64.974,62.342,,,,
34,07/26/14 04:30:00 AM,64.117,63.308,,,,
35,07/26/14 05:00:00 AM,62.447,67.632,,,,
36,07/26/14 05:30:00 AM,61.720,70.607,,,,
37,07/26/14 06:00:00 AM,62.919,69.893,,,,
38,07/26/14 06:30:00 AM,66.043,64.443,,,,
39,07/26/14 07:00:00 AM,69.557,58.207,,,,
40,07/26/14 07:30:00 AM,73.818,50.642,,,,
41,07/26/14 08:00:00 AM,76.768,46.545,,,,
42,07/26/14 08:30:00 AM,79.347,43.344,,,,
43,07/26/14 09:00:00 AM,81.244,40.408,,,,
44,07/26/14 09:30:00 AM,84.767,35.572,,,,
45,07/26/14 10:00:00 AM,88.488,33.190,,,,
46,07/26/14 10:30:00 AM,87.847,32.545,,,,
47,07/26/14 11:00:00 AM,89.454,31.014,,,,
48,07/26/14 11:30:00 AM,91.170,28.955,,,,
49,07/26/14 12:00:00 PM,92.763,27.915,,,,
50,07/26/14 12:30:00 PM,94.276,26.793,,,,
51,07/26/14 01:00:00 PM,94.896,24.820,,,,
52,07/26/14 01:30:00 PM,95.374,25.085,,,,
53,07/26/14 02:00:00 PM,97.160,23.105,,,,
54,07/26/14 02:30:00 PM,95.374,27.816,,,,
